INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
1	1	38002520	C¦m Lân H°n Ng÷c	1	0	1	1	1	1
2	1	38002521	Huy­n Ði®p H°n Ng÷c	1	0	1	1	1	1
3	1	38002522	Sß½ng HÕc H°n Ng÷c	1	0	1	1	1	1
4	1	38002523	Kim ô H°n Ng÷c	1	0	1	1	1	1
5	1	38002524	Lµc Thøc H°n Ng÷c	1	0	1	1	1	1
6	1	38002515	Thanh Long H°n Ng÷c	1	0	1	1	4	1
7	1	38002516	Huy«n Vû H°n Ng÷c	1	0	1	1	4	1
8	1	38002517	BÕch H± H°n Ng÷c	1	0	1	1	4	1
9	1	38002518	Chu Tß¾c H°n Ng÷c	1	0	1	1	4	1
10	1	38002519	CØu vî H°n Ng÷c	1	0	1	1	4	1
11	2	38002520	C¦m Lân H°n Ng÷c	1	0	1	2	3	1
12	2	38002521	Huy­n Ði®p H°n Ng÷c	1	0	1	2	3	1
13	2	38002522	Sß½ng HÕc H°n Ng÷c	1	0	1	2	3	1
14	2	38002523	Kim ô H°n Ng÷c	1	0	1	2	3	1
15	2	38002524	Lµc Thøc H°n Ng÷c	1	0	1	2	3	1
16	2	38002515	Thanh Long H°n Ng÷c	1	0	1	2	15	1
17	2	38002516	Huy«n Vû H°n Ng÷c	1	0	1	2	15	1
18	2	38002517	BÕch H± H°n Ng÷c	1	0	1	2	15	1
19	2	38002518	Chu Tß¾c H°n Ng÷c	1	0	1	2	15	1
20	2	38002519	CØu vî H°n Ng÷c	1	0	1	2	15	1
