INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	1	0	0	21000000	Lúa të	1	1	10000	1	200	1	1	1	2
2	1	0	1	21000001	Giao bÕch	1	1	20000	1	200	1	1	1	2
3	1	0	2	21000002	Doanh Nguy®t Du¦n	1	1	40000	1	200	1	1	1	2
4	1	0	3	21000003	Lßu Hoa Tùng Lµ	1	1	60000	1	200	1	1	1	2
5	1	0	4	21000044	Nh¤t T¸ch Thu¥n Hoä	1	1	10000	1	100	1	1	1	3
6	1	0	5	21000045	Th§p toàn Chân Hoä	1	1	20000	1	100	1	1	1	3
7	1	0	6	21000046	Bách Biªn C½ Hoä	1	1	30000	1	100	1	1	1	3
8	1	0	7	21000047	Thiên Luy®n Huy«n Höa	1	1	40000	1	100	1	1	1	3
9	1	0	8	21000048	M£c Quân Thiên Hoä	1	1	100000	1	5	1	1	1	3
10	2	0	0	21000004	Cam Thäo	1	1	10000	1	200	1	1	1	2
11	2	0	1	21000005	Cö chi và cö lan	1	1	20000	1	200	1	1	1	2
12	2	0	2	21000006	Huyªt Phøc Linh	1	1	40000	1	200	1	1	1	2
13	2	0	3	21000007	Bï NgÕn Linh Hoa	1	1	60000	1	200	1	1	1	3
14	2	0	4	21000044	Nh¤t T¸ch Thu¥n Hoä	1	1	10000	1	100	1	1	1	3
15	2	0	5	21000045	Th§p toàn Chân Hoä	1	1	20000	1	100	1	1	1	3
16	2	0	6	21000046	Bách Biªn C½ Hoä	1	1	30000	1	100	1	1	1	3
17	2	0	7	21000047	Thiên Luy®n Huy«n Höa	1	1	40000	1	100	1	1	1	3
18	2	0	8	21000048	M£c Quân Thiên Hoä	1	1	100000	1	5	1	1	1	3
19	3	0	0	21000008	Thanh Ð°ng	1	1	10000	1	200	1	1	1	2
20	3	0	1	21000009	Huy«n thiªt Kh¯i	1	1	20000	1	200	1	1	1	2
21	3	0	2	21000010	ÐoÕn Nguy®t Ngân	1	1	40000	1	200	1	1	1	2
22	3	0	3	21000011	Tiêu Hoa Lßu Kim	1	1	60000	1	200	1	1	1	2
23	3	0	4	21000044	Nh¤t T¸ch Thu¥n Hoä	1	1	10000	1	100	1	1	1	3
24	3	0	5	21000045	Th§p toàn Chân Hoä	1	1	20000	1	100	1	1	1	3
25	3	0	6	21000046	Bách Biªn C½ Hoä	1	1	30000	1	100	1	1	1	3
26	3	0	7	21000047	Thiên Luy®n Huy«n Höa	1	1	40000	1	100	1	1	1	3
27	3	0	8	21000048	M£c Quân Thiên Hoä	1	1	100000	1	5	1	1	1	3
28	4	0	0	21000016	Hoa Chi	1	1	10000	1	200	1	1	1	2
29	4	0	1	21000017	Sß½ng Trúc	1	1	20000	1	200	1	1	1	2
30	4	0	2	21000018	Trinh Vân Tùng	1	1	40000	1	200	1	1	1	2
31	4	0	3	21000019	Hoài Nha Ðàn Mµc	1	1	60000	1	200	1	1	1	2
32	4	0	4	21000044	Nh¤t T¸ch Thu¥n Hoä	1	1	10000	1	100	1	1	1	3
33	4	0	5	21000045	Th§p toàn Chân Hoä	1	1	20000	1	100	1	1	1	3
34	4	0	6	21000046	Bách Biªn C½ Hoä	1	1	30000	1	100	1	1	1	3
35	4	0	7	21000047	Thiên Luy®n Huy«n Höa	1	1	40000	1	100	1	1	1	3
36	4	0	8	21000048	M£c Quân Thiên Hoä	1	1	100000	1	5	1	1	1	3
