INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
0	Tân thü	1	275000	80000	80000	80000	80000	80000	80000	80000	80000	80000	30000	30000	80000	0	0	80000	0	0	-160000	0	0	30000	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	275000	80000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC0
1	Thiªu Lâm	1	80000	275000	-80000	-30000	0	0	-30000	30000	80000	30000	30000	-30000	30000	-30000	30000	30000	-30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC1
2	Minh Giáo	1	80000	-80000	275000	0	80000	-80000	80000	-30000	0	30000	-30000	-30000	30000	30000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC2
3	Cái Bang	1	80000	-30000	0	275000	-80000	0	0	80000	30000	0	30000	30000	30000	30000	30000	30000	-60000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC3
4	Võ Ðang	1	80000	0	80000	-80000	275000	0	0	0	0	0	0	0	30000	0	30000	30000	0	30000	-160000	0	0	0	0	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC4
5	?ëáÒ	1	80000	0	-80000	0	0	275000	0	0	80000	0	-30000	30000	30000	30000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC5
6	Tinh Túc	1	80000	-30000	80000	0	0	0	275000	0	0	-80000	30000	30000	-30000	30000	-30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC6
7	Thiên Long	1	80000	30000	-30000	80000	0	0	0	275000	-30000	0	30000	30000	30000	30000	30000	80000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC7
8	Thiên S½n	1	80000	80000	0	30000	0	80000	0	-30000	275000	0	30000	30000	30000	30000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC8
9	Tiêu dao	1	80000	30000	30000	0	0	0	-80000	0	0	275000	0	0	0	0	0	30000	0	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC9
10	ÐÕi T¯ng Tri«u Ðình	1	30000	30000	-30000	30000	0	-30000	30000	30000	30000	0	275000	30000	30000	-30000	-30000	30000	-80000	60000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	30000	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC10
11	ÐÕi T¯ng Ðoan vß½ng phü	1	30000	-30000	-30000	30000	0	30000	30000	30000	30000	0	30000	275000	-30000	30000	-30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	30000	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC11
