INT	STRING	INT	INT	INT	STRING
INT	STRING	INT	INT	INT	STRING
0	洛阳	0	159	285	通往嵩山
1	洛阳	0	31	129	通往敦煌
2	洛阳	0	287	127	通往雁南
3	苏州	1	183	287	通往西湖
4	苏州	1	31	162	通往镜湖
5	苏州	1	182	31	通往太湖
6	大理	2	159	288	通往洱海
7	大理	2	28	151	通往剑阁
8	大理	2	291	152	通往无量山
9	嵩山	3	287	247	通往太湖
10	嵩山	3	287	135	通往少林寺
11	嵩山	3	31	55	通往洛阳
12	太湖	4	288	232	通往光明顶
13	太湖	4	216	282	通往苏州
14	太湖	4	279	32	通往丐帮总舵
15	太湖	4	90	22	通往嵩山
16	太湖	4	29	200	通往曼陀山庄
17	镜湖	5	36	286	通往无量山
18	镜湖	5	28	234	通往武当山
19	镜湖	5	286	43	通往苏州
20	无量山	6	31	175	通往大理
21	无量山	6	116	31	通往凌波洞
22	无量山	6	94	287	通往天龙寺
23	无量山	6	284	77	通往镜湖
24	剑阁	7	35	287	通往大理
25	剑阁	7	105	38	通往敦煌
26	剑阁	7	286	172	通往峨眉山
27	敦煌	8	286	144	通往洛阳
28	敦煌	8	231	288	通往剑阁
29	敦煌	8	55	34	通往天山
30	敦煌	8	33	277	通往星宿海
31	少林寺	9	95	168	通往嵩山
32	丐帮总舵	10	91	159	通往太湖
33	光明顶	11	97	173	通往太湖
34	武当山	12	95	191	通往镜湖
35	天龙寺	13	96	146	通往无量山
36	凌波洞	14	37	130	通往无量山
37	峨嵋山	15	89	158	通往剑阁
38	星宿海	16	96	159	通往敦煌
39	天山	17	94	160	通往敦煌
40	雁南	18	32	57	通往草原
41	雁南	18	247	32	通往雁北
42	雁南	18	264	287	通往洛阳
43	雁北	19	229	280	通往雁南
44	草原	20	287	257	通往雁南
45	草原	20	271	31	通往长白山
46	草原	20	119	31	通往辽西
47	辽西	21	61	297	通往草原
48	长白山	22	32	269	通往草原
49	长白山	22	287	72	通往黄龙府
50	黄龙府	23	48	287	通往长白山
51	洱海	24	288	31	通往大理
52	洱海	24	32	155	通往苍山
53	洱海	24	32	281	通往石林
54	苍山	25	288	56	通往洱海
55	石林	26	31	251	通往南诏
56	石林	26	270	128	通往洱海
57	石林	26	112	33	通往玉溪
58	玉溪	27	37	46	通往石林
59	南诏	28	282	46	通往石林
60	南诏	28	106	287	通往苗疆
61	苗疆	29	69	35	通往南诏
62	西湖	30	265	288	通往武夷
63	西湖	30	32	51	通往苏州
64	西湖	30	288	55	通往龙泉
65	龙泉	31	31	276	通往西湖
66	武夷	32	35	30	通往西湖
67	武夷	32	248	287	通往南海
68	武夷	32	284	181	通往梅岭
69	梅岭	33	32	275	通往武夷
70	南海	34	32	36	通往武夷
71	南海	34	288	174	通往琼州
72	琼州	35	280	287	通往南海
73	水牢	66	96	95	通往洛阳
74	水牢	67	96	95	通往洛阳
75	水牢	68	96	95	通往洛阳
76	水牢	69	96	95	通往洛阳
77	水牢	70	96	95	通往洛阳
78	珍珑棋局	61	39	39	通往洛阳
79	珍珑棋局	62	39	39	通往洛阳
80	珍珑棋局	63	39	39	通往洛阳
81	珍珑棋局	64	39	39	通往洛阳
