INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING
INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING
1	0	8	150	45	0	0	0		Bäo Tàng Nh¤t T¢ng-Ðµi Hoàng(400086)
2	0	126	231	225	0	0	0		Bäo Tàng Nh¤t T¢ng-Bäo Tàng Ðµng T¥ng 2(400087)
3	0	123	18	23	0	0	0		Bäo Tàng Nh¸ T¢ng-Bäo Tàng Ðµng T¥ng 1(400088)
4	0	148	18	230	0	0	0		Bäo Tàng Nh¸ T¢ng-Bäo Tàng Ðµng T¥ng 3(400089)
5	0	126	20	20	0	0	0		Bäo Tàng Tam T¢ng-Bäo Tàng Ðµng T¥ng 2(400090)
6	0	149	25	240	0	0	0		Bäo Tàng Tam T¢ng-Bäo Tàng Ðµng T¥ng 4(400091)
7	0	148	232	15	0	0	0		Bäo Tàng TÑ T¢ng-Bäo Tàng Ðµng T¥ng 3(400092)
8	0	150	128	238	0	0	0		Bäo Tàng TÑ T¢ng-Bäo Tàng Ðµng T¥ng 5(400093)
9	0	149	238	21	0	0	0		Bäo Tàng Ngû T¢ng-Bäo Tàng Ðµng T¥ng 4(400094)
10	0	160	87	89	0	0	0		C± MÕc Nh¤t T¢ng-Yên Vß½ng C± MÕc T¥ng 2(400096)
11	0	159	31	66	0	0	0		C± MÕc Nh¸ T¢ng-Yên Vß½ng C± MÕc T¥ng 1(400097)
12	0	161	13	25	0	0	0		C± MÕc Nh¸ T¢ng-Yên Vß½ng C± MÕc T¥ng 3(400098)
13	0	160	108	25	0	0	0		C± MÕc Tam T¢ng-Yên Vß½ng C± MÕc T¥ng 2(400099)
14	0	162	102	18	0	0	0		C± MÕc Tam T¢ng-Yên Vß½ng C± MÕc T¥ng 4(400100)
15	0	161	109	105	0	0	0		C± MÕc TÑ T¢ng-Yên Vß½ng C± MÕc T¥ng 3(400101)
16	0	163	24	24	0	0	0		C± MÕc TÑ T¢ng-Yên Vß½ng C± MÕc T¥ng 5(400102)
17	0	162	59	44	0	0	0		C± MÕc Ngû T¢ng-Yên Vß½ng C± MÕc T¥ng 4(400103)
18	0	164	65	108	0	0	0		C± MÕc Ngû T¢ng-Yên Vß½ng C± MÕc T¥ng 6(400104)
19	0	163	105	18	0	0	0		C± MÕc Løc T¢ng-Yên Vß½ng C± MÕc T¥ng 5(400105)
20	0	165	25	108	0	0	0		C± MÕc Løc T¢ng-Yên Vß½ng C± MÕc T¥ng 7(400106)
21	0	164	64	64	0	0	0		C± MÕc Th¤t T¢ng-Yên Vß½ng C± MÕc T¥ng 6(400107)
22	0	166	14	14	0	0	0		C± MÕc Th¤t T¢ng-Yên Vß½ng C± MÕc T¥ng 8(400108)
23	0	165	80	24	0	0	0		C± MÕc Bát T¢ng-Yên Vß½ng C± MÕc T¥ng 7(400109)
24	0	167	20	18	0	0	0		C± MÕc Bát T¢ng-Yên Vß½ng C± MÕc T¥ng 9(400110)
25	0	166	42	27	0	0	0		C± MÕc CØu T¢ng-Yên Vß½ng C± MÕc T¥ng 8(400111)
26	0	21	275	54	0	0	0		Ngân Ngai Tuyªt Nguyên-Liêu Tây(400924)
27	0	24	41	159	0	0	0		Thß½ng S½n-Nh¸ Häi(400047)
28	0	171	27	66	0	0	0		Thß½ng S½n-Dã Nhân Câu(400134)
29	212127	0	0	0	0	0	0		Thß½ng S½n anh hùng nhi®m vø
