INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT
52340	165	1	1	1	1	1	1424	-1	-1	-1	-1	-1	#{ZNDB_230215_63}						1	attach1								12	-1	-1	-1	-1	-1
52341	165	1	1	1	1	1	1423	-1	-1	-1	-1	-1	#{ZNDB_230215_121}						1	attach1								13	-1	-1	-1	-1	-1
52342	165	1	1	1	1	1	1425	-1	-1	-1	-1	-1	#{ZNDB_230215_122}						1	attach1								12	-1	-1	-1	-1	-1
52343	165	1	1	1	1	1	1426	-1	-1	-1	-1	-1	#{ZNDB_230215_123}						1	attach1								14	-1	-1	-1	-1	-1
52344	165	1	1	1	1	1	1427	-1	-1	-1	-1	-1	#{ZNDB_230215_124}						1	attach1								15	-1	-1	-1	-1	-1
52794	166	1	1	1	1	1	1452	-1	-1	-1	-1	-1	#{ERMP_240620_71}						1	attach1								10	-1	-1	-1	-1	-1
53292	166	1	1	1	1	1	1452	-1	-1	-1	-1	-1	#{ERMP_240620_71}						1	attach1								10	-1	-1	-1	-1	-1
53293	166	1	1	1	1	1	1452	-1	-1	-1	-1	-1	#{ERMP_240620_71}						1	attach1								10	-1	-1	-1	-1	-1
53324	1	1	1	1	1	1	1457	1458	-1	-1	-1	-1	#{BXDSJ_240920_90}						2	attach1	attach2							60	-1	-1	-1	-1	-1
53325	1	1	1	1	1	1	1459	1460	-1	-1	-1	-1	#{BXDSJ_240920_90}						2	attach1	attach2							60	-1	-1	-1	-1	-1
53326	1	1	1	1	1	1	1461	1462	-1	-1	-1	-1	#{BXDSJ_240920_90}						2	attach1	attach2							60	-1	-1	-1	-1	-1
53327	1	1	1	1	1	1	1459	1460	-1	-1	-1	-1	#{BXDSJ_240920_90}						2	attach1	attach2							60	-1	-1	-1	-1	-1
53328	1	1	1	1	1	1	1457	1458	-1	-1	-1	-1	#{BXDSJ_240920_90}						2	attach1	attach2							60	-1	-1	-1	-1	-1
53336	165	165	1	1	1	1	165	166	-1	-1	-1	-1	#{BXDSJ_240920_48}	#{BXDSJ_240920_88}					1	½ÅÏÂ¹âÈ¦µã								30	-1	-1	-1	-1	-1
53337	165	165	1	1	1	1	165	166	-1	-1	-1	-1	#{BXDSJ_240920_48}	#{BXDSJ_240920_88}					1	½ÅÏÂ¹âÈ¦µã								30	-1	-1	-1	-1	-1
53348	1	1	1	1	1	1	165	-1	-1	-1	-1	-1	#{BXJR_240913_6}						8	attach1	attach2	attach3	attach4	attach5	attach6	attach7	attach8	60	-1	-1	-1	-1	-1
53351	1	1	1	1	1	1	165	-1	-1	-1	-1	-1	#{BXJR_240913_79}						8	attach1	attach2	attach3	attach4	attach5	attach6	attach7	attach8	60	-1	-1	-1	-1	-1
53361	1	1	1	1	1	1	165	-1	-1	-1	-1	-1	#{BXJR_240913_6}						8	attach1	attach2	attach3	attach4	attach5	attach6	attach7	attach8	60	-1	-1	-1	-1	-1
53362	1	1	1	1	1	1	165	-1	-1	-1	-1	-1	#{BXJR_240913_79}						8	attach1	attach2	attach3	attach4	attach5	attach6	attach7	attach8	60	-1	-1	-1	-1	-1
54369	1	1	1	1	1	1	115	-1	-1	-1	-1	-1	#{XRQF_250418_02}						1	attach1								10	-1	-1	-1	-1	-1
54381	1	1	1	1	1	1	983	-1	-1	-1	-1	-1	#{XRQF_250418_10}						1	attach1								10	-1	-1	-1	-1	-1
54383	1	1	1	1	1	1	1482	-1	-1	-1	-1	-1	#{QXCJ_250609_13}						1	attach1								15	-1	-1	-1	-1	-1
