INT	STRING	INT	INT	INT	STRING
INT	STRING	INT	INT	INT	STRING
0	LÕc Dß½ng	0	159	285	Ði thông Tung S½n
1	LÕc Dß½ng	0	31	129	Ði thông Ðµi Hoàng
2	LÕc Dß½ng	0	287	127	Ði thông NhÕn Nam
3	Tô Châu	1	183	287	Ði thông Tây H°
4	Tô Châu	1	31	162	Ði thông Kính H°
5	Tô Châu	1	182	31	Ði thông Thái H°
6	ÐÕi Lý	2	159	288	Ði thông Nh¸ Häi
7	ÐÕi Lý	2	28	151	Ði thông Kiªm Các
8	ÐÕi Lý	2	291	152	Ði thông Vô Lßþng S½n
9	Tung S½n	3	287	247	Ði thông Thái H°
10	Tung S½n	3	287	135	Ði thông Thiªu Lâm Tñ
11	Tung S½n	3	31	55	Ði thông LÕc Dß½ng
12	Thái H°	4	288	232	Ði thông Quang Minh Ðïnh
13	Thái H°	4	216	282	Ði thông Tô Châu
14	Thái H°	4	279	32	Ði thông Cái Bang T±ng Ðà
15	Thái H°	4	90	22	Ði thông Tung S½n
16	Kính K°	5	36	286	Ði thông Vô Lßþng S½n
17	Kính K°	5	28	234	Ði thông Núi Võ Ðang
18	Kính K°	5	286	43	Ði thông Tô Châu
19	Vô Lßþng S½n	6	31	175	Ði thông ÐÕi Lý
20	Vô Lßþng S½n	6	116	31	Ði thông Lång Ba Ðµng
21	Vô Lßþng S½n	6	94	287	Ði thông Thiên Long Tñ
22	Vô Lßþng S½n	6	284	77	Ði thông Kính H°
23	Kiªm Các	7	35	287	Ði thông ÐÕi Lý
24	Kiªm Các	7	105	38	Ði thông Ðµi Hoàng
25	Kiªm Các	7	286	172	Ði thông Nga Mi S½n
26	Ðôn Hoàng	8	286	144	Ði thông LÕc Dß½ng
27	Ðôn Hoàng	8	231	288	Ði thông Kiªm Các
28	Ðôn Hoàng	8	55	34	Ði thông Thiên S½n
29	Ðôn Hoàng	8	33	277	Ði thông Tinh Tú Häi
30	Thiªu Lâm Tñ	9	95	168	Ði thông Tung S½n
31	Cái Bang T±ng Ðà	10	91	159	Ði thông Thái H°
32	Quang Minh Ðïnh	11	97	173	Ði thông Thái H°
33	Võ Ðang S½n	12	95	191	Ði thông Kính H°
34	Thiên Long Tñ	13	96	146	Ði thông Vô Lßþng S½n
35	Lång Ba Ðµng	14	37	130	Ði thông Vô Lßþng S½n
36	Nga Mi S½n	15	89	158	Ði thông Kiªm Các
37	Tinh Túc Häi	16	96	159	Ði thông Ðµi Hoàng
38	Thiên S½n	17	94	160	Ði thông Ðµi Hoàng
39	NhÕn Nam	18	32	57	Ði thông Thäo Nguyên
40	NhÕn Nam	18	247	32	Ði thông NhÕn B¡c
41	NhÕn Nam	18	264	287	Ði thông LÕc Dß½ng
42	NhÕn B¡c	19	229	280	Ði thông NhÕn Nam
43	Thäo Nguyên	20	287	257	Ði thông NhÕn Nam
44	Thäo Nguyên	20	271	31	Ði thông Trß¶ng BÕch S½n
45	Thäo Nguyên	20	119	31	Ði thông Liêu Tây
46	Liêu Tây	21	61	297	Ði thông Thäo Nguyên
47	Trß¶ng BÕch S½n	22	32	269	Ði thông Thäo Nguyên
48	Trß¶ng BÕch S½n	22	287	72	Ði thông Hoàng Long Phü
49	Hoàng Long Phü	23	48	287	Ði thông Trß¶ng BÕch S½n
50	Nhî Häi	24	288	31	Ði thông ÐÕi Lý
51	Nhî Häi	24	32	155	Ði thông Thß½ng S½n
52	Nhî Häi	24	32	281	Ði thông ThÕch Lâm
53	Thß½ng S½n	25	288	56	Ði thông Nh¸ Häi
54	ThÕch Lâm	26	31	251	Ði thông Nam Chiªu
55	ThÕch Lâm	26	270	128	Ði thông Nh¸ Häi
56	ThÕch Lâm	26	112	33	Ði thông Ng÷c Khê
57	Ng÷c Khê	27	37	46	Ði thông ThÕch Lâm
58	Nam Chiêu	28	282	46	Ði thông ThÕch Lâm
59	Nam Chiêu	28	106	287	Ði thông Miêu Cß½ng
60	Miêu Cß½ng	29	69	35	Ði thông Nam Chiªu
61	Tây H°	30	265	288	Ði thông Vû Di
62	Tây H°	30	32	51	Ði thông Tô Châu
63	Tây H°	30	288	55	Ði thông Long Tuy«n
64	Long Tuy«n	31	31	276	Ði thông Tây H°
65	Võ Di	32	35	30	Ði thông Tây H°
66	Võ Di	32	248	287	Ði thông Nam Häi
67	Võ Di	32	284	181	Ði thông Mai Lînh
68	Mai Lînh	33	32	275	Ði thông Vû Di
69	Nam Vñc	34	32	36	Ði thông Vû Di
70	Nam Vñc	34	288	174	Ði thông QuÏnh Châu
71	QuÏnh Châu	35	280	287	Ði thông Nam Häi
72	Thüy lao	66	96	95	Ði thông LÕc Dß½ng
73	Trân Long KÏ Cuµc	61	39	39	Ði thông LÕc Dß½ng
74	Mµc Nhân HÕng	47	22	12	Ði thông ÐÕi Lý
75	Các\u0020hÕ Quân Dinh Ð¸a	42	57	115	Ði thông LÕc Dß½ng
76	Quang Minh ðµng	102	12	41	Ði thông Quang Minh Ðïnh
77	Tiêu Dao C¯c Ð¬	103	43	57	Ði thông Lång Ba Ðµng
78	Linh Tính Phong	104	44	53	Ði thông Núi Võ Ðang
79	Cái Bang TØu Giáo	105	45	53	Ði thông Cái Bang T±ng Ðà
80	Ðào Hoa Tr§n	106	16	53	Ði thông Nga Mi S½n
81	Tháp Lâm	107	34	53	Ði thông Thiªu Lâm Tñ
82	Ngû Th¥n Ðµng	108	8	39	Ði thông Tinh Tú Häi
83	Chiªt Mai Phong	109	24	55	Ði thông Thiên S½n
84	Chân tháp	111	53	48	Ði thông Thiên Long Tñ
85	Ti¬u Mµc Nhân HÕng	122	81	84	Ði thông ÐÕi Lý
86	H§u Hoa Viên	123	111	109	Ði thông ÐÕi Lý
87	NhÕn Nam S½n Ðµng	129	89	180	Ði thông NhÕn Nam
88	NhÕn B¡c S½n Ðµng	130	89	180	Ði thông NhÕn B¡c
89	Tây H° S½n Ðµng	131	89	180	Ði thông Tây H°
90	Thß½ng S½n S½n Ðµng	132	89	180	Ði thông Thß½ng S½n
91	Lôi ðài	82	9	33	Ði thông ÐÕi Lý
92	Lôi ðài	92	50	31	Ði thông LÕc Dß½ng
93	Ðôn Hoàng	8	149	37	Ði thông Bäo Tàng Ðµng T¥ng 1
94	Bäo Tàng Ðµng T¥ng 1	166	233	239	Ði thông Ðµi Hoàng
95	Bäo Tàng Ðµng T¥ng 1	166	18	15	Ði thông Bäo Tàng Ðµng T¥ng 2
96	Bäo Tàng Ðµng T¥ng 2	169	232	234	Ði thông Bäo Tàng Ðµng T¥ng 1
97	NhÕn Nam	18	34	38	Ði thông NhÕn Nam S½n Ðµng
98	NhÕn B¡c	19	60	60	Ði thông NhÕn B¡c S½n Ðµng
99	Tây H°	30	42	227	Ði thông Tây H° S½n Ðµng
100	Thß½ng S½n	25	277	122	Ði thông Thß½ng S½n S½n Ðµng
101	Hoä Di®m S½n	244	40	220	Ði thông Cao Xß½ng
102	Cao Xß½ng	245	220	220	Ði thông Höa Di®m S½n
103	ThÕch Lâm	26	46	270	Ði thông Diêm H°
104	Diêm H°	235	50	30	Ði thông ThÕch Lâm
105	Cao Xß½ng	424	26	36	Ði thông Lâu Lan
106	Ðáp Lý Mµc	425	31	29	Ði thông Lâu Lan
107	Lâu Lan	186	295	143	Ði thông Cao Xß½ng
108	Lâu Lan	186	160	300	Ði thông Tháp Lý Mµc
109	Thúc Hà C± Tr¤n	420	27	289	Ði thông Thß½ng S½n
110	Thß½ng S½n	25	166	56	Ði thông Thúc Hà C± Tr¤n
111	Huy«n Vû Ðäo	112	139	206	Huy«n Võ Ðäo Phän
112	Huy«n Võ Ðäo Phän	579	102	35	Huy«n Vû Ðäo
113	Huy«n Võ Ðäo k¨ nÑt	578	153	87	Huy«n Vû Ðäo
114	MÕn Ðà S½n Trang	592	145	196	Ði thông Thái H°
115	Thái H°	4	29	200	Ði thông MÕn Ðà S½n Trang
116	BÕch Khê H°	1292	221	55	Ði thông Thäo Nguyên
117	Thäo Nguyên	20	258	183	BÕch Khê H°
118	Thøc tre Häi	1293	129	224	Thß½ng S½n
119	Thß½ng S½n	25	48	54	Thøc tre Häi
120	Tây Lß½ng Phong Lâm	1294	199	219	Hoä Di®m S½n
121	Ðôn Hoàng	8	93	40	Tây Lß½ng Phong Lâm
122	Trß¶ng Xuân C¯c·Hoành Nhai	1295	46	57	Trß¶ng Xuân C¯c·Ô Y HÕng
