INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
1	LÕc Dß½ng	0	33	129	Ðôn Hoàng	8	284	146	0	1	0
2	LÕc Dß½ng	0	159	288	Tung S½n	3	34	55	0	1	0
3	LÕc Dß½ng	0	289	127	NhÕn Nam	18	264	286	0	1	0
4	Tô Châu	1	32	162	Kính K°	5	285	44	0	0	0
5	Tô Châu	1	182	33	Thái H°	4	215	281	0	1	0
6	Tô Châu	1	182	289	Tây H°	30	34	50	0	1	0
7	ÐÕi Lý	2	160	289	Nhî Häi	24	287	32	0	1	10
8	ÐÕi Lý	2	28	152	Kiªm Các	7	36	286	0	1	0
9	ÐÕi Lý	2	292	152	Vô Lßþng S½n	6	32	176	0	1	0
10	Tung S½n	3	34	55	LÕc Dß½ng	0	256	465	0	0	0
11	Tung S½n	3	285	135	Thiªu Lâm Tñ	9	96	156	0	0	0
12	Tung S½n	3	286	247	Thái H°	4	91	23	0	1	0
13	Thái H°	4	280	32	Cái Bang T±ng Ðà	10	91	158	0	0	0
14	Thái H°	4	286	230	Quang Minh Ði®n	11	97	173	0	0	0
15	Thái H°	4	91	23	Tung S½n	3	286	247	0	1	0
16	Thái H°	4	215	281	Tô Châu	1	279	44	0	0	0
17	Kính K°	5	285	44	Tô Châu	1	65	270	0	0	0
18	Kính K°	5	38	284	Vô Lßþng S½n	6	287	77	0	1	0
19	Kính K°	5	29	232	Võ Ðang S½n	12	95	191	0	0	0
20	Vô Lßþng S½n	6	32	176	ÐÕi Lý	2	304	149	0	0	0
21	Vô Lßþng S½n	6	287	77	Kính K°	5	38	284	0	0	10
22	Vô Lßþng S½n	6	116	32	Lång Ba Ðµng	14	37	130	0	0	0
23	Vô Lßþng S½n	6	94	286	Thiên Long Tñ	13	95	145	0	0	0
24	Kiªm Các	7	36	286	ÐÕi Lý	2	32	149	0	0	0
25	Kiªm Các	7	105	40	Ðôn Hoàng	8	231	286	0	1	10
26	Kiªm Các	7	285	172	Nga Mi S½n	15	89	156	0	0	0
27	Ðôn Hoàng	8	149	38	Bäo Tàng Ðµng T¥ng 1	166	234	238	0	1	0
28	Ðôn Hoàng	8	231	286	Kiªm Các	7	105	40	0	1	0
29	Ðôn Hoàng	8	284	146	LÕc Dß½ng	0	85	257	0	0	0
30	Ðôn Hoàng	8	55	34	Thiên S½n	17	94	158	0	0	0
31	Ðôn Hoàng	8	33	277	Tinh Túc Häi	16	96	159	0	0	0
32	Thiªu Lâm Tñ	9	96	156	Tung S½n	3	285	135	0	1	20
33	Cái Bang T±ng Ðà	10	91	158	Thái H°	4	280	32	0	1	20
34	Quang Minh Ði®n	11	97	173	Thái H°	4	286	230	0	1	20
