INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	set:Huodong_12 image:Huodong_12_1	Di®t G÷n	30	0	65	6	120	1	5	50000	0	0	1	Dß Ðµc	set:FightNPCHeader1 image:FightNPCHeader1_17											30	77326	129	321082	50100	5	1	3	5	-1	1	4	4	4	4	6	6	9	9	9	1	0	1	100000
2	set:Huodong_12 image:Huodong_12_2	Tr× hÕi	30	0	65	6	120	1	5	50000	0	0	1	H°ng Hùng Vß½ng	set:FightNPCHeader7 image:FightNPCHeader7_8											30	75360	129	288800	50101	5	1	3	5	-1	1	4	4	4	4	6	6	9	9	9	1	0	1	100000
3	set:Huodong_12 image:Huodong_12_5	Sào huy®t cüa phï	30	0	65	6	120	1	5	50000	0	0	1	Cát Vinh	set:FightNPCHeader7 image:FightNPCHeader7_13											30	45216	129	150576	50102	5	1	3	5	-1	1	4	4	4	4	6	6	9	9	9	1	0	1	100000
4	set:Huodong_12 image:Huodong_12_6	Kiªm Tr× Yêu Ma	75	45	90	6	120	1	5	50000	0	0	1	Vß½ng Diêm	set:CommonNPCHeader2 image:CommonNPCHeader2_15											75	164294	129	301174	50220	5	0	2	4	6	2	0	0	0	0	4	6	9	9	9	1	0	1	100000
5	set:Huodong_12 image:Huodong_12_3	Huy«n Ph§t Châu	75	45	90	6	120	1	5	50000	0	0	1	H°ng CÑc Yêu Vß½ng	set:FightNPCHeader8 image:FightNPCHeader8_7											75	253835	129	464635	50221	5	0	2	4	6	2	0	0	0	0	4	6	9	9	9	1	0	1	100000
6	set:Huodong_12 image:Huodong_12_4	Dung Nham Chi Ð¸a	75	45	90	6	120	1	5	50000	0	0	1	Höa Di®m Yêu Ma	set:FightNPCHeader8 image:FightNPCHeader8_13											75	283860	129	521740	50222	5	0	2	4	6	2	0	0	0	0	4	6	9	9	9	1	0	1	100000
7	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	Thäo phÕt Yªn TØ ‘	60	0	65	8	80	1	15	200000	0	0	3	Ðoàn Diên Khánh	set:SweepBoss1 image:SweepBoss1_8	Cßu Ma Trí	set:SweepBoss1 image:SweepBoss1_15	Mµ Dung Phøc	set:SweepBoss2 image:SweepBoss2_2							60	347373	129	893216	401040	3	2	4	6	-1	3	0	0	0	4	5	6	7	8	8	1	0	-1	-1
8	set:SalaryMission image:SalaryMission_12	Sát Tinh	70	45	80	8	80	1	5	200000	0	0	6	1Hào BOSS	set:CommonNPCHeader15 image:CommonNPCHeader15_23	2Hào BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_3	3Hào BOSS	set:CommonNPCHeader15 image:CommonNPCHeader15_22	4Hào BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_1	5Hào BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_7	6Hào BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_6	0	0	0	0	402048	2	-1	-1	-1	-1	4	0	0	0	0	4	5	6	8	8	1	0	1	400000
9	set:Huodong_9 image:Huodong_9_6	Tr§n chiªn m· màn Phiêu Mi¬u Phong	75	0	-1	8	80	1	5	-1	0	0	5	Cáp ÐÕi Bá	set:FightNPCHeader9 image:FightNPCHeader9_16	Tang Th± Công	set:FightNPCHeader9 image:FightNPCHeader9_18	Ô Lão ÐÕi	set:FightNPCHeader9 image:FightNPCHeader9_14	Nh§m Bình Sinh	set:CommonNPCHeader14 image:CommonNPCHeader14_17	Lý Thu Thüy	set:FightNPCHeader9 image:FightNPCHeader9_17			75	7190	109	11572	402276	2	2	3	5	-1	5	0	0	0	0	4	5	6	8	8	1	0	-1	-1
10	set:Huodong_9 image:Huodong_9_6	Khiêu chiªn Phiêu Mi¬u Phong	90	0	-1	8	80	1	20	-1	0	0	5	Cáp ÐÕi Bá	set:FightNPCHeader9 image:FightNPCHeader9_16	Tang Th± Công	set:FightNPCHeader9 image:FightNPCHeader9_18	Ô Lão ÐÕi	set:FightNPCHeader9 image:FightNPCHeader9_14	Nh§m Bình Sinh	set:CommonNPCHeader14 image:CommonNPCHeader14_17	Lý Thu Thüy	set:FightNPCHeader9 image:FightNPCHeader9_17			95	9992	109	11572	402263	3	0	1	4	-1	6	0	0	0	0	0	0	4	6	8	1	0	-1	-1
11	set:Huodong_12 image:Huodong_12_9	ThuÖ Nguy®t S½n Trang	80	0	80	8	80	1	20	200000	0	0	4	Mß¶i ba	set:FightNPCHeader12 image:FightNPCHeader12_5	PhÕn Vô CÑu	set:FightNPCHeader12 image:FightNPCHeader12_4	A Oanh	set:FightNPCHeader12 image:FightNPCHeader12_6	Gia Lu§t Ho¢ng Hñu	set:FightNPCHeader12 image:FightNPCHeader12_7					80	41198	119	46355	891070	2	-1	1	5	-1	7	0	0	0	0	0	4	6	8	8	1	11	-1	-1
12	set:Huodong_14 image:Huodong_14_4	Thanh Khâu Thí Luy®n(bình thß¶ng)	85	0	-1	8	80	1	20	-1	0	0	4	Vân Quy¬n Thß	set:FightNPCHeader13 image:FightNPCHeader13_15	D§t	set:FightNPCHeader13 image:FightNPCHeader13_16	Ngäi H±	set:FightNPCHeader13 image:FightNPCHeader13_18	Vân Phiêu Phiêu	set:FightNPCHeader13 image:FightNPCHeader13_17					85	29250	119	70960	893020	2	3	6	-1	-1	8	0	0	0	0	0	4	4	4	4	1	13	-1	-1
