INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
1	Thß Tuý Thß Cu°ng	TalentSkillGaiBang2_3	Mµt	#{WUDAO_20220402_01}	#{WUDAO_20220402_379}	15;10					1
2	Bàn Long Kích·th¥n uy	TalentSkillGaiBang_8	Mµt	#{WUDAO_20220402_02}	#{WUDAO_20220402_380}	20	40	60	80	100	1
3	Long TÑc	TalentSkillGaiBang_6	Mµt	#{WUDAO_20220402_03}	#{WUDAO_20220402_381}	4	8	12	16	20	3
4	Phá tr§n C¤p T¤u	TalentSkillGaiBang_9	Mµt	#{WUDAO_20220402_04}	#{WUDAO_20220402_382}	2	4	6	8	10	1
5	Yên Toä Mê Tr§n	TalentSkillGaiBang2_1	Mµt	#{WUDAO_20220402_05}	#{WUDAO_20220402_383}	10	20	30	40	50	2
6	Lãm Bôi Khuynh Trän	TalentSkillGaiBang_4	Mµt	#{WUDAO_20220402_06}	#{WUDAO_20220402_384}	1	2	3	4	5	3
7	C¥u Long Phän	TalentSkillGaiBang_14	Mµt	#{WUDAO_20220402_07}	#{WUDAO_20220402_385}	6	12	18	24	30	1
8	Tuý Lý xê d¸ch	TalentSkillGaiBang2_4	Mµt	#{WUDAO_20220402_08}	#{WUDAO_20220402_386}	10	20	30	40	50	2
9	Say bí tï Long Vû	TalentSkillGaiBang_7	Mµt	#{WUDAO_20220402_09}	#{WUDAO_20220402_387}	100;150;200	200;300;400	300;450;600	400;600;800	500;750;1000	1
10	Say sßa Nh¤t Tuý	TalentSkillGaiBang_3	Mµt	#{WUDAO_20220402_10}	#{WUDAO_20220402_388}	103;108;113	106;116;126	109;124;139	112;132;152	115;140;165	2
11	Thôn Phong †m Vû	TalentSkillGaiBang_16	Mµt	#{WUDAO_20220402_11}	#{WUDAO_20220402_389}	1;2;3	2;4;6	3;6;9	4;8;12	5;10;15	3
12	Sát Phá Lang	TalentSkillGaiBang2_2	Mµt	#{WUDAO_20220402_12}	#{WUDAO_20220402_390}	10					1
13	Bàn Long Kích·th¥n uy	TalentSkillGaiBang_8	Mµt	#{WUDAO_20220402_13}	#{WUDAO_20220402_391}	20	40	60	80	100	1
14	Ngàn d§m Yên Chß¾ng	TalentSkillGaiBang_11	Mµt	#{WUDAO_20220402_14}	#{WUDAO_20220402_392}	150	300	450	600	750	3
15	T¯c chiªn t¯c th¡ng	TalentSkillGaiBang_15	Mµt	#{WUDAO_20220402_15}	#{WUDAO_20220402_393}	20	40	60	80	100	1
16	Phong Lßþc Quäng MÕch	TalentSkillGaiBang_2	Mµt	#{WUDAO_20220402_16}	#{WUDAO_20220402_394}	6	7	8	9	10	2
17	Ngàn d§m bay nhanh	TalentSkillGaiBang_10	Mµt	#{WUDAO_20220402_17}	#{WUDAO_20220402_395}	5	10	15	20	25	3
18	Long Hành Càn Khôn	TalentSkillGaiBang_5	Mµt	#{WUDAO_20220402_18}	#{WUDAO_20220402_396}	6	12	18	24	30	1
19	Ði®p Bµ Súc Thª	TalentSkillGaiBang2_5	Mµt	#{WUDAO_20220402_19}	#{WUDAO_20220402_397}	5	10	15	20	25	3
20	ÐoÕn Trß¶ng thiên nhai	TalentSkillGaiBang_1	Mµt	#{WUDAO_20220402_20}	#{WUDAO_20220402_398}	100	200	300	400	500	1
21	Càn Khôn Phúc	TalentSkillGaiBang_12	Mµt	#{WUDAO_20220402_21}	#{WUDAO_20220402_399}	105;6	110;6	110;7	115;7	115;8	2
22	Ti«m long Nh§p Häi	TalentSkillGaiBang_13	Mµt	#{WUDAO_20220402_22}	#{WUDAO_20220402_400}	5	10	15	20	25	3
23	Thi«n Võ „n	TalentSkillShaoLin2_2	Mµt	#{WUDAO_20220402_23}	#{WUDAO_20220402_401}	6;3;2					1
24	Phøc H± Quy«n·th¥n uy	TalentSkillShaoLin_8	Mµt	#{WUDAO_20220402_24}	#{WUDAO_20220402_402}	20	40	60	80	100	1
25	Ph§t Ðång Áp Ðïnh	TalentSkillShaoLin_3	Mµt	#{WUDAO_20220402_25}	#{WUDAO_20220402_403}	150	300	450	600	750	3
