INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
ID	NAME	??ID	MenPaiID	????	????	??????	????	????	???	????	???	????	???	????	???	????	???	????	param1	param2	??ID?????	??ID?????	??ID?????	??????????	DESC
1	Thß Tuý Thß Cu°ng	-1	2	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Cái Bang Th¥n Cái b¸ ðµng
2	Bàn Long Kích·th¥n uy	39	2	0	2	341	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Cái Bang Th¥n Cái X1
3	Long TÑc	4	2	0	2	351	5	10	40	20	80	30	120	50	160	80	200	-1	-1	-1	-1	-1	-1	-1	Cái Bang Th¥n Cái X2
4	Phá tr§n C¤p T¤u	2	2	0	3	343	5	20	2000	30	4000	50	6000	80	8000	130	10000	2	5	-1	-1	-1	-1	-1	Cái Bang Th¥n Cái X3
5	Yên Toä Mê Tr§n	3	2	0	3	343	5	20	100	30	200	50	300	80	400	130	500	2	5	-1	-1	42841	-1	-1	Cái Bang Th¥n Cái X4
6	Lãm Bôi Khuynh Trän	5	2	0	3	351	5	20	10	30	20	50	30	80	40	130	50	3	5	-1	-1	-1	-1	-1	Cái Bang Th¥n Cái X5
7	C¥u Long Phän	7	2	0	4	341	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	-1	-1	-1	-1	Cái Bang Th¥n Cái X6
8	Tuý Lý xê d¸ch	8	2	0	4	-1	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	-1	-1	-1	-1	Cái Bang Th¥n Cái X7
9	Say bí tï Long Vû	11	2	0	5	347	5	80	100	120	200	200	300	320	400	520	500	-1	-1	15	50	-1	-1	-1	Cái Bang Th¥n Cái X8
