INT	INT
INT	INT
1	15
2	15
3	50
4	50
5	53
6	53
7	56
8	56
9	59
10	59
11	62
12	62
13	65
14	65
15	70
16	70
17	70
18	70
19	70
20	70
21	70
22	75
23	75
24	75
25	75
26	75
27	75
28	75
29	78
30	78
31	78
32	78
33	78
34	78
35	78
36	81
37	81
38	81
39	81
40	81
41	81
42	81
43	84
44	84
45	84
46	84
47	84
48	84
49	84
50	86
51	86
52	86
53	86
54	86
55	86
56	86
57	88
58	88
59	88
60	88
61	88
62	88
63	88
64	90
65	90
66	90
67	90
68	90
69	90
70	90
71	91
72	91
73	91
74	91
75	91
76	91
77	91
78	92
79	92
80	92
81	92
82	92
83	92
84	92
85	93
86	93
87	93
88	93
89	93
90	93
91	93
92	94
93	94
94	94
95	94
96	94
97	94
98	94
99	95
100	95
101	95
102	95
103	95
104	95
105	95
106	96
107	96
108	96
109	96
110	96
111	96
112	96
113	97
114	97
115	97
116	97
117	97
118	97
119	97
120	98
121	98
122	98
123	98
124	98
125	98
126	98
127	99
128	99
129	99
130	99
131	99
132	99
133	99
134	100
135	100
136	100
137	100
138	100
139	100
140	100
141	101
142	101
143	101
144	101
145	101
146	101
147	101
148	102
149	102
150	102
