INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
10158007	1	353	354	4435	0	4	0	4	0	3938	4408	3975	4018	3945	3955	3965	38002969	38002970	38002971	#c009933c¡t hi®u quä: M²i l¥n công kích møc tiêu Hµi SÑ møc tiêu Trung 1T¢ng khói nh© „n, M²i T¢ng khói nh© „n M²i 0. 5Sao Khä tÕo thành nhân v§t cao nh¤t thuµc tính công kích*5%T¢ng S± Ðích thß½ng t±n, cao nh¤t Khä ch°ng 5T¢ng, liên tøc 5Sao	8607	47302	0.6	4.4	0.28
10158008	2	353	354	4435	0	4	0	4	0	3939	4409	4168	4018	4415	4425	4436	38002969	38002970	38002971	#c009933c¡t hi®u quä: Công kích 5M­ Nµi Ðích møc tiêu Th¶i, tÕo thành Ðích thß½ng t±n giäm b¾t 8%, công kích 5Chí 10M­ Ðích møc tiêu Th¶i, tÕo thành Ðích thß½ng t±n không thay ð±i, công kích 10M­ ðã ngoài Ðích møc tiêu Th¶i, tÕo thành Ðích thß½ng t±n gia tång 8%	8603	47303	1.16	6.4	0.28
10158009	3	353	354	4435	0	4	0	4	0	3940	4410	4178	4018	4446	4456	4466	38002969	38002970	38002971	#c009933c¡t hi®u quä: C¡t Th¶i d¤u hi®u ngß¶i ch½i møc tiêu, M²i ðánh trúng 3ThÑ d¤u hi®u H§u Ðích møc tiêu Th¶i, Quân có th¬ møc tiêu Hß¾ng tñ thân phß½ng hß¾ng LÕp Du® 7M­	8608	47304	1.65	9	0.28
10158010	4	353	354	4435	0	4	0	4	0	3941	4411	4188	4018	4476	4486	4496	38002969	38002970	38002971	#c009933c¡t hi®u quä: Phóng thích t¤t cä Ðích công kích kÛ nång Quân Nhu tiªn hành v§n khí, ð°ng th¶i v§n khí 1Sao Ðích kÛ nång tÕo thành Ðích thß½ng t±n ð« cao 100%	8602	47305	1.3	6.3	0.28
10158011	5	353	354	4435	0	4	0	4	0	3942	4412	4198	4018	4506	4516	4526	38002969	38002970	38002971	#c009933c¡t hi®u quä: M²i l¥n công kích Quân Hæu 25%xác su¤t phát ra Nh¤t Phiªn ðao khí, ðao khí Khä tÕo thành tñ thân 15%thß½ng t±n Tính thêm vào SÑ møc tiêu Th¤t Minh 0. 5Sao	8606	47306	0.95	5.4	0.28
10158012	6	353	354	4435	0	4	0	4	0	3943	4413	4208	4018	4536	4546	4556	38002969	38002970	38002971	#c009933c¡t hi®u quä: Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i thêm vào SÑ møc tiêu mê muµi 1Sao	8604	47307	0.63	5.4	0.28
10158013	7	353	354	4435	0	4	0	4	0	4566	4414	4218	4018	4567	4577	4587	38002969	38002970	38002971	#c009933c¡t hi®u quä: Thu¤n di ðªn 10M­ Nµi Ðích ngß¶i ch½i møc tiêu v¸ trí, cùng t°n tÕi TÑc tiªn vào 3Sao Ðích ¦n thân trÕng thái, ¦n thân Th¶i di ðµng t¯c ðµ r½i ch§m lÕi 65%, ð°ng th¶i nh§n ðßþc tñ thân Thi¬m T¸ Su¤t gia tång 15%, tÕo thành thß½ng t±n r½i ch§m lÕi 15%Ðích Thân Nhß Khinh Vû trÕng thái, liên tøc 3Sao	8605	47308	0.6	3.8	0.28
10158014	1	353	354	4435	0	5	1000	5	0	3938	4408	3975	4018	3945	3955	3965	38002969	38002970	38002971	#c009933c¡t hi®u quä: M²i l¥n công kích møc tiêu Hµi SÑ møc tiêu Trung 1T¢ng khói nh© „n, M²i T¢ng khói nh© „n M²i 0. 5Sao Khä tÕo thành nhân v§t cao nh¤t thuµc tính công kích*5%T¢ng S± Ðích thß½ng t±n, cao nh¤t Khä ch°ng 5T¢ng, liên tøc 5Sao	8607	47302	0.6	4.4	0.28
10158015	2	353	354	4435	0	5	1000	5	0	3939	4409	4168	4018	4415	4425	4436	38002969	38002970	38002971	#c009933c¡t hi®u quä: Công kích 5M­ Nµi Ðích møc tiêu Th¶i, tÕo thành Ðích thß½ng t±n giäm b¾t 8%, công kích 5Chí 10M­ Ðích møc tiêu Th¶i, tÕo thành Ðích thß½ng t±n không thay ð±i, công kích 10M­ ðã ngoài Ðích møc tiêu Th¶i, tÕo thành Ðích thß½ng t±n gia tång 8%	8603	47303	1.16	6.4	0.28
