INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT
ID	策划专用ID	效果的简要逻辑说明$1$	技能描述(FOR TIP)$1$	技能描述(FOR Interface)$1$	技能逻辑ID	冷却时间	聚气时间(ms)	引导时间(ms)	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	目标级别	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值					
0	0	普通攻击	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-2米#r瞬间释放#r#c5BC257自动连续释放	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-2米#r瞬间释放#r#c5BC257自动连续释放#r（拖至快捷栏中使用）	0	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		-1		0		0
1	0	捕兽	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-8米#r运气时间：15秒#r捕捉珍兽 如果该珍兽同时被多人捕捉，则有一定几率捕捉失败	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-8米#r运气时间：15秒#r捕捉珍兽 如果该珍兽同时被多人捕捉，则有一定几率捕捉失败	10	1300	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	生效一次的附加效果1	100		0		0		0		0		0		0		0		0		-1		0		0
2	0	珍兽出战	召唤珍兽	召唤珍兽	11	1300	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	无	0		0		0		0		0		0		0		0		0		-1		0		0
3	0	打开	打开	打开	641	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	给自己的效果	-1	给目标的效果	169		0		0		0		0		0		0		0		0		0		0
21	0	标准聚气乘骑	召唤坐骑，坐骑可以提升一定的移动速度#c54FF00（拖至快捷栏中使用）#r#c5BC257需要装备坐骑	召唤坐骑，坐骑可以提升一定的移动速度#c54FF00（拖至快捷栏中使用）#r#c5BC257需要装备坐骑	14	3000	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	所有骑乘buff的集合ID	66		0		0		0		0		0		0		0		0		0		0		0
22	0	回城	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF返回大理#r冷却时间：40分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF返回大理#r冷却时间：40分钟	16	2400000	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	回城术的效果	22	相冲突的物品的物品表中的索引	40002109	相冲突的物品的物品表中的索引	40002000	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1		0		0		0
23	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
24	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
25	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
26	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
27	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
28	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
29	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
