INT	INT	STRING
INT	INT	STRING
1	47	UIsai l¥m
2	60	Thu ðßþc ðµi ngû m¶i
3	61	R¶i ði ðµi ngû
4	62	Gia nh§p ðµi ngû, Bái Nh§p sß môn
5	63	Thß½ng ph¦m cao th¤p Giá, Bài Than Ðích cao th¤p Giá
6	64	SØa chæa
7	65	Tr¸ Li®u Thanh
8	66	C¤p b§c tång lên
9	67	Trang b¸ vû khí Ho£c Phòng Cø
10	68	Ði¬m Kích tiªn vào trò ch½i
11	70	Nhi®m vø gia tång
12	79	Hþp thành b¡t ð¥u Chú: Hþp thành B¤t Toán cuµc s¯ng kÛ nång
13	80	Hþp thành thành công Chú: Hþp thành B¤t Toán cuµc s¯ng kÛ nång
14	84	Nh§n ðßþc ti«n tài
15	96	Tay nãi Mãn
16	99	Các\u0020hÕ t¯t cao th¤p Tuyªn nêu lên
17	435	Ði¬m Kích cái nút thông døng Âm Hi®u
18	434	Ði¬m Kích cØa s± ðóng cØa cái nút thông døng Âm Hi®u
19	441	CØa s± Tá Khai thông døng Âm Hi®u
20	440	CØa s± ðóng cØa thông døng Âm Hi®u
21	430	H® th¯ng phän h°i th¤t bÕi tin tÑc
22	446	Scroll_upthông døng Âm Hi®u
23	445	Scroll_downthông døng Âm Hi®u
24	438	L¤y ra ti«n xu Ðích thanh âm
25	450	Tá Khai h® th¯ng cØa s±
26	449	Ðóng cØa h® th¯ng cØa s±
27	442	Thu ðßþc tin tÑc
28	444	Tá Khai v§t ph¦m cØa s±
29	443	Ðóng cØa v§t ph¦m cØa s±
30	437	Tá Khai nhi®m vø cØa s±
31	436	Ðóng cØa nhi®m vø cØa s±
32	448	Tá Khai kÛ nång cØa s±
33	447	Ðóng cØa kÛ nång cØa s±
34	439	Tá Khai nhân v§t cØa s±
35	434	Ðóng cØa nhân v§t cØa s±
36	2050	Tin tÑc C¥u h® th¯ng tin tÑc
37	2051	Tin tÑc C¥u bình thß¶ng tin tÑc
38	82	Con ngß¶i m¾i m· thß·ng Ðäo th¶i trß¾c
39	2113	Nguyên ðán ÐÕi Chung
