INT	INT	STRING	STRING	STRING	STRING	STRING
INT	INT	STRING	STRING	STRING	STRING	STRING
0	71		2			
1	72		3			
2	73		2			
3	74		3			
4	75		2			
5	76		3			
6	50		2			
7	81		3			
8	82		2			
9	182		3			
10	17012		·Thanh Long Nh¤t			
11	17013		·Thanh Long Nh¸			
12	17014		·Thanh Long Tam			
13	17015		·Thanh Long TÑ			
14	17016		·Thanh Long Ngû			
15	17017		·BÕch H± Nh¤t			
16	17018		·BÕch H± Nh¸			
17	17019		·BÕch H± Tam			
18	17020		·BÕch H± TÑ			
19	17021		·BÕch H± Ngû			
20	17022		·Chu Tß¾c Nh¤t			
21	17023		·Chu Tß¾c Nh¸			
22	17024		·Chu Tß¾c Tam			
23	17025		·Chu Tß¾c TÑ			
24	17026		·Chu Tß¾c Ngû			
25	17027		·Huy«n Vû Nh¤t			
26	17028		·Huy«n Vû Nh¸			
27	17029		·Huy«n Vû Tam			
28	17030		·Huy«n Vû TÑ			
29	17031		·Huy«n Vû Ngû			
30	17112		·Thanh Long Nh¤t			
31	17113		·Thanh Long Nh¸			
32	17114		·Thanh Long Tam			
33	17115		·Thanh Long TÑ			
34	17116		·Thanh Long Ngû			
35	17117		·BÕch H± Nh¤t			
36	17118		·BÕch H± Nh¸			
37	17119		·BÕch H± Tam			
38	17120		·BÕch H± TÑ			
39	17121		·BÕch H± Ngû			
40	17122		·Chu Tß¾c Nh¤t			
41	17123		·Chu Tß¾c Nh¸			
42	17124		·Chu Tß¾c Tam			
43	17125		·Chu Tß¾c TÑ			
44	17126		·Chu Tß¾c Ngû			
45	17127		·Huy«n Vû Nh¤t			
46	17128		·Huy«n Vû Nh¸			
47	17129		·Huy«n Vû Tam			
48	17130		·Huy«n Vû TÑ			
49	17131		·Huy«n Vû Ngû			
50	17132		·KÏ Lân Nh¤t			
51	17133		·KÏ Lân Nh¸			
52	17134		·KÏ Lân Tam			
53	17135		·KÏ Lân TÑ			
54	17136		·KÏ Lân Ngû			
55	17137		·KÏ Lân Nh¤t			
56	17138		·KÏ Lân Nh¸			
57	17139		·KÏ Lân Tam			
58	17140		·KÏ Lân TÑ			
59	17141		·KÏ Lân Ngû			
