INT	STRING
INT	STRING
0	Không thì t¯t r°i
1	Ti«n mµt ðoÕn nghe nói thª tØ còn tÕi Thành ÐÕi Lý, sau lÕi nghe nói phäi ði Li­u Trung Nguyên Li­u.
2	Nghe theo Trung Nguyên tr· v« Ðích b¢ng hæu Thuyªt, Tr¤n Nam Vß½ng Phü thª tØ T¢ng TÕi Tô Châu vùng xu¤t hi®n Quá.
3	Tr¤n Nam Vß½ng Phü thª tØ yêu thích du l¸ch thiên hÕ, nh¤t th¶i mu¯n höi tin tÑc, nhßng cûng không quá chu¦n xác, nghe nói Tha T¢ng ði Tô Châu.
4	Khác không biªt, chính là Thính Vô Tích th§t là t¯t Hæu Thuyªt, T¢ng Kiªn Tr¤n Nam Vß½ng thª tØ Dß ðÕi hán TÕi tØu quán Trung u¯ng rßþu.
5	Hß, vi®c này tråm tri®u không th¬ cùng ngß¶i khác biªt, nghe nói Tr¤n Nam Vß½ng thª tØ là b¸ mµt cái H° Tång b¡t ði Li­u.
6	Nga Nga, thª tØ Ðích màu s¡c ð©p ð¨ kinh ngß¶i, Giai Vån nh¤t ð¸nh chuy¬n giao C¤p MÕnh tiên sinh.
7	A Di Ðà Ph§t, thi®n tai thi®n tai, ÐÕi Lý Tr¤n Nam Vß½ng Ðích thª tØ trí tu® h½n ngß¶i, cùng ta Ph§t có chút hæu duyên, Trß¶ng ThØ Tinh Nghiên Ph§t Lý, Công l¾n lao Hî.
8	Thi®n tai thi®n tai, b¥n tång Tiên bái ðµc Li­u.
9	A Di Ðà Ph§t, ða tÕ%Rbôn ba Chi Lao, b¥n tång n½i này ch¡p tay Li­u.
10	Vô Lßþng Thiên Tôn, ÐÕi Lý Tr¤n Nam Vß½ng Ðích thª tØ trí tu® h½n ngß¶i, ðÕo gia kinh vån Nghiên T§p r¤t có tÕo ngh®, Trß¶ng ThØ Tinh Nghiên ðÕo lý, Công l¾n lao Hî.
11	R¤t t¯t r¤t t¯t, b¥n ðÕo Tiên bái ðµc Li­u.
12	Vô Lßþng Thiên Tôn, ða tÕ%Rbôn ba Chi Lao, b¥n ðÕo n½i này ch¡p tay Li­u.
13	Di®u Tai Di®u Tai, th§t sñ là tuy®t di®u Häo Vån, Tr¤n Nam Vß½ng thª tØ trí tu® h½n ngß¶i, ngh® thu§t tinh thâm, Linh Ngô bµi phøc không thôi.
14	R¤t t¯t r¤t t¯t, Ðãi Ngô Tiên bái ðµc bái ðµc.
15	R¤t t¯t, làm phi«n%RÐÕi T¯ng vån vë.
16	Hanh, Thïnh chuy¬n cáo cái kia ÐÕi Lý Ðích thª tØ, Ngã bi¬u muµi chuy®n không c¥n Tha xen vào vi®c cüa ngß¶i khác.
17	Không phäi v§y, phi l­ V§t V¤n m¾i là Quân TØ Chi ÐÕo, ÐÕi Lý Ðích thª tØ hay là không phäi quân tØ?
18	Vß½ng Cô Nß½ng vçn ði theo Trß¾c công tØ Gia, höi nàng Ðích tin tÑc nói cho Nhî nhßng cûng vô phß½ng.
19	Vß½ng Cô Nß½ng vçn ði theo Trß¾c công tØ Gia, höi nàng Ðích tin tÑc nói cho Nhî nhßng cûng vô phß½ng.
20	Vß½ng Cô Nß½ng vçn ði theo Trß¾c công tØ Gia, höi nàng Ðích tin tÑc nói cho Nhî nhßng cûng vô phß½ng.
21	A Døc! Tín Thßþng Th¸ V¤n Vß½ng Cô Nß½ng Ðích tin tÑc? Vß½ng Cô Nß½ng vçn ði theo công tØ Ni!
22	Tín Trung cß nhiên Th¸ V¤n Yên Nhi Ðích tin tÑc, ðÑa nhö này lßng Ngã trµm Ðích ly khai MÕn Ðà S½n Trang, Ngã nhßng cûng không biªt cüa nàng tin tÑc, nghî ðªn ði theo Mµ Dung Gia Na ti¬u tØ Li­u.
23	Công tØ Ðích ý tÑ, Ngã hi¬u ðßþc, ta s¨ Thª Tha höi thåm Vß½ng……Nga, höi thåm ngß¶i này tin tÑc Ðích.
24	Ki«u Bang Chü……Tiêu ÐÕi vß½ng……Ðích th¸nh tình tâm lînh Li­u, chúng ta Cái Bang không th¬ Liêu Qu¯c Nhân Ðích ân hu®.
25	Nhî thª nhßng Vi Liêu Qu¯c Nhân truy«n tin, Ai, ðáng tiªc, ðáng tiªc.
26	Ngã bình sinh Tñu bµi phøc Ki«u ðÕi ca mµt ngß¶i, Ai, không nghî Tha cûng Liêu Nhân.
27	Thïnh chuy¬n cáo Ki«u……Tiêu ÐÕi Ca, ít nh¤t Cái Bang Trung ta s¨ không ðã quên Tha Ðích ðÕi ân ðÕi ðÑc Ðích.
28	Ngã ðã nghe Thuyªt vi®c này, vi®c ðã ðªn nß¾c này, Tiêu Huynh lÕi là xu¤t phát t× không lòng dÕ nào, không c¥n quá mÑc tñ trách.
29	Ngã ðã nghe Chính Thu¥n theo nhß l¶i vi®c này, Ai, chuy¬n cáo Quý Vß½ng, ðã không lòng dÕ nào, sinh tØ Hæu M®nh, không c¥n tñ trách Li­u.
30	Tái tña nhß Hà Thuyªt, Ngã Na s¯ kh± Ðích A Chu Dã Thø ThØ b¸ thß½ng n£ng, nªu có th¬ chØa Häo cûng ðßþc.
31	TÖ cüa ta Phu ðä thß½ng tÖ tÖ cüa ta Ngã chính là t§n m¡t Ðáo Ðích, tÖ phu Hoàn ðáp Ñng tÖ tÖ Yêu chiªu c¯ cüa ta.
32	Ngã Tri®u Tiê`n Tôn tuy r¢ng b×a bãi, Ðãn Giá ði ð¥u ðÕi ca ta là Ninh TØ cûng s¨ không Thuyªt Ðích.
33	Na Tiêu Phong cho dù Tß¾ng Ngã Toä C¯t Dß½ng Khôi, Giá ði ð¥u ðÕi ca Ngã Dã quyªt ý s¨ không nói Ðích.
34	Nhî chuy¬n cáo Tiêu Phong Na Liêu C¦u, Yêu Thung Ngã n½i này nh§n ðßþc ði ð¥u ðÕi ca Ðích tin tÑc Th¸ quyªt ý không có khä nång Ðích.
35	A Di Ðà Ph§t, chï mong Tiêu thí chü Dî thiên hÕ thß½ng sinh linh Vi Ni®m, ch¾ ð¬ Tái truy v¤n ði xu¯ng Li­u.
