INT	STRING	INT
INT	STRING	INT
1	江泽民	1
2	胡锦涛	1
3	炮打中宣部	1
4	焦国标	1
5	六四	1
6	天安门事件	1
7	北京之春	1
8	八九风波	1
9	八九事件	1
10	八九运动	1
11	丁子霖	1
12	梓霖	1
13	刘晓竹	1
14	丁加班	1
15	何加栋	1
16	鲍彤	1
17	柴玲	1
18	吾尔开希	1
19	追查国际	1
20	新闻管制	1
21	舆论钳制	1
22	动态网	1
23	自由之门	1
24	大纪元	1
25	人民报	1
26	博讯新闻	1
27	明慧网	1
28	燕玲论坛	1
29	希望之声	1
30	新唐人	1
31	宗教迫害	1
32	全球公审	1
33	真善忍	1
34	法輪	1
35	轮子功	1
36	洗脑班	1
37	610办公室	1
38	鸡巴	1
39	肉缝	1
40	肉棒	1
41	淫水	1
42	肉壁	1
43	肉棍	1
44	八九学潮	1
45	“冰点”周刊	1
46	天安门	1
47	共产党	1
48	帐号	1
49	法轮	1
50	法轮功	1
51	张朝阳	1
52	GM	1
53	系统	2
54	系统管理员	1
55	管理员	1
56	系统邮件	1
57	系统的邮件	1
58	系统消息	1
59	系统的消息	1
60	GM邮件	1
61	队伍	2
62	中国	2
63	少林	3
64	少林寺	3
65	少林派	3
66	少林帮	3
67	武当	3
68	武当山	3
69	武当派	3
70	武当帮	3
71	峨嵋	3
72	峨嵋山	3
73	峨嵋派	3
74	峨嵋帮	3
75	丐帮	3
76	丐帮派	3
77	明教	3
78	明教派	3
79	明教帮	3
80	天山	3
81	天山派	3
82	天山帮	3
83	天山教	3
84	逍遥	3
85	逍遥派	3
86	逍遥帮	3
87	逍遥教	3
88	大理	3
89	大理派	3
90	大理帮	3
91	大理教	3
92	星宿	3
93	星宿派	3
94	星宿帮	3
95	星宿海	3
96	星宿教	3
97	洛阳	3
98	苏州	3
99	嵩山	3
100	太湖	3
101	镜湖	3
102	无量山	3
103	剑阁	3
104	敦煌	3
105	丐帮总舵	3
106	光明殿	3
107	天龙寺	3
108	凌波洞	3
109	雁南	3
110	雁北	3
111	草原	3
112	辽西	3
113	长白山	3
114	黄龙府	3
115	洱海	3
116	苍山	3
117	石林	3
118	玉溪	3
119	南诏	3
120	苗疆	3
121	西湖	3
122	龙泉	3
123	武夷	3
124	梅岭	3
125	南海	3
126	琼州	3
127	聚贤庄	3
128	燕子坞	3
129	一品堂	3
130	雁南正南	3
131	雁南正东	3
132	雁南正北	3
133	雁北正西	3
134	雁北西北	3
135	雁北东北	3
136	西湖正西	3
137	西湖正南	3
138	西湖正东	3
139	龙泉正北	3
140	龙泉正东	3
141	龙泉东南	3
142	苍山正西	3
143	苍山正东	3
144	苍山正南	3
145	洱海正西	3
146	洱海正南	3
147	洱海正东	3
148	草原正西	3
149	草原正东	3
150	草原正南	3
151	辽西西北	3
152	辽西正西	3
153	辽西东南	3
154	武夷正西	3
155	武夷正南	3
156	武夷东北	3
157	梅岭西北	3
158	梅岭东南	3
159	梅岭东北	3
160	石林正南	3
161	石林正西	3
162	石林东北	3
163	玉溪西南	3
164	玉溪西北	3
165	玉溪正北	3
166	长白山西北	3
167	长白山正东	3
168	长白山东南	3
169	黄龙府西北	3
170	黄龙府东南	3
171	黄龙府正东	3
172	南海正北	3
173	南海东北	3
174	南海西南	3
175	琼州正西	3
176	琼州正南	3
177	琼州正东	3
178	南诏西南	3
179	南诏东南	3
180	南诏正北	3
181	苗疆正东	3
182	苗疆正北	3
183	苗疆正西	3
184	A	3
185	B	3
186	C	3
187	D	3
188	E	3
189	F	3
190	G	3
191	H	3
192	I	3
193	J	3
194	K	3
195	L	3
196	M	3
197	N	3
198	O	3
199	P	3
200	Q	3
201	R	3
202	S	3
203	T	3
204	U	3
205	V	3
206	W	3
207	X	3
208	Y	3
209	Z	3
210	NPC	2
211	乔峰	3
212	萧峰	3
213	王建军	3
214	王滔	3
215	尚进	3
216	火狐	3
217	搜狐	2
218	火狐数码	3
219	1	3
220	2	3
221	3	3
222	4	3
223	5	3
224	6	3
225	7	3
226	8	3
227	9	3
228	天龙八部	1
229	fuck	1
230	日本	1
231	小泉	1
232	外挂	1
233	http	1
234	http:	1
235	http://	1
236	www.	1
237	.com	1
238	.net	1
239	.org	1
240	.int	1
241	.edu	1
242	.gov	1
243	.mil	1
244	.arpa	1
245	.biz	1
246	.info	1
247	.name	1
248	.pro	1
249	.coop	1
250	.aero	1
251	.museum	1
252	.tv	1
253	.ad	1
254	.ae	1
255	.af	1
256	.ag	1
257	.ai	1
258	.al	1
259	.am	1
260	.an	1
261	.ao	1
262	.aq	1
263	.ar	1
264	.as	1
265	.at	1
266	.au	1
267	.aw	1
268	.az	1
269	.ba	1
270	.bb	1
271	.bd	1
272	.be	1
273	.bf	1
274	.bg	1
275	.bh	1
276	.bi	1
277	.bj	1
278	.bm	1
279	.bn	1
280	.bo	1
281	.br	1
282	.bs	1
283	.bt	1
284	.bv	1
285	.bw	1
286	.by	1
287	.bz	1
288	.ca	1
289	.cc	1
290	.cf	1
291	.cg	1
292	.ch	1
293	.ci	1
294	.ck	1
295	.cl	1
296	.cm	1
297	.cn	1
298	.co	1
299	.cq	1
300	.cr	1
301	.cu	1
302	.cv	1
303	.cx	1
304	.cy	1
305	.cz	1
306	.de	1
307	.dj	1
308	.dk	1
309	.dm	1
310	.do	1
311	.dz	1
312	.ec	1
313	.ee	1
314	.eg	1
315	.eh	1
316	.es	1
317	.et	1
318	.ev	1
319	.fi	1
320	.fj	1
321	.fk	1
322	.fm	1
323	.fo	1
324	.fr	1
325	.ga	1
326	.gb	1
327	.gd	1
328	.ge	1
329	.gf	1
330	.gh	1
331	.gi	1
332	.gl	1
333	.gm	1
334	.gn	1
335	.gp	1
336	.gr	1
337	.gt	1
338	.gu	1
339	.gw	1
340	.gy	1
341	.hk	1
342	.hm	1
343	.hn	1
344	.hr	1
345	.ht	1
346	.hu	1
347	.id	1
348	.ie	1
349	.il	1
350	.in	1
351	.io	1
352	.iq	1
353	.ir	1
354	.is	1
355	.it	1
356	.jm	1
357	.jo	1
358	.jp	1
359	.ke	1
360	.kg	1
361	.kh	1
362	.ki	1
363	.km	1
364	.kn	1
365	.kp	1
366	.kr	1
367	.kw	1
368	.ky	1
369	.kz	1
370	.la	1
371	.lb	1
372	.lc	1
373	.li	1
374	.lk	1
375	.lr	1
376	.ls	1
377	.lt	1
378	.lu	1
379	.lv	1
380	.ly	1
381	.ma	1
382	.mc	1
383	.md	1
384	.mg	1
385	.mh	1
386	.ml	1
387	.mm	1
388	.mn	1
389	.mo	1
390	.mp	1
391	.mq	1
392	.mr	1
393	.ms	1
394	.mt	1
395	.mv	1
396	.mw	1
397	.mx	1
398	.my	1
399	.mz	1
400	.na	1
401	.nc	1
402	.ne	1
403	.nf	1
404	.ng	1
405	.ni	1
406	.nl	1
407	.no	1
408	.np	1
409	.nr	1
410	.nt	1
411	.nu	1
412	.nz	1
413	.om	1
414	.pa	1
415	.pe	1
416	.pf	1
417	.pg	1
418	.ph	1
419	.pk	1
420	.pl	1
421	.pm	1
422	.pn	1
423	.pr	1
424	.pt	1
425	.pw	1
426	.py	1
427	.qa	1
428	.re	1
429	.ro	1
430	.ru	1
431	.rw	1
432	.sa	1
433	.sb	1
434	.sc	1
435	.sd	1
436	.se	1
437	.sg	1
438	.sh	1
439	.si	1
440	.sj	1
441	.sk	1
442	.sl	1
443	.sm	1
444	.sn	1
445	.so	1
446	.sr	1
447	.st	1
448	.su	1
449	.sy	1
450	.sz	1
451	.tc	1
452	.td	1
453	.tf	1
454	.tg	1
455	.th	1
456	.tj	1
457	.tk	1
458	.tm	1
459	.tn	1
460	.to	1
461	.tp	1
462	.tr	1
463	.tt	1
464	.tw	1
465	.tz	1
466	.ua	1
467	.ug	1
468	.uk	1
469	.us	1
470	.uy	1
471	.va	1
472	.vc	1
473	.ve	1
474	.vg	1
475	.vn	1
476	.vu	1
477	.wf	1
478	.ws	1
479	.ye	1
480	.yu	1
481	.za	1
482	.zm	1
483	.zr	1
484	.zw	1
485	R.O.C.	1
486	ROC	1
487	SOHU	1
488	SARS	1
489	非典	1
490	731	1
491	七三一	1
