INT	INT	INT	INT	INT	INT	INT	INT
index	品质	金币	INT	聚灵石	返还数量	玄兵石	返还数量
1	41	20000	1	30505818	1	30505821	0
2	42	33800	2	30505818	1	30505821	5
3	43	70500	2	30505818	1	30505821	14
4	44	111000	2	30505818	1	30505821	28
5	45	156100	2	30505818	1	30505821	50
6	46	206700	2	30505818	1	30505821	79
7	47	263600	3	30505818	1	30505821	115
8	48	327600	3	30505818	1	30505821	158
9	49	399600	4	30505818	1	30505821	208
10	50	481600	4	30505818	1	30505821	208
11	51	481600	4	30505818	1	30505821	258
12	52	572100	4	30505818	1	30505821	312
13	53	673100	5	30505818	1	30505821	370
14	54	785400	5	30505818	1	30505821	432
15	55	909900	6	30505818	1	30505821	498
16	56	1047400	6	30505818	1	30505821	568
17	57	1198800	7	30505818	1	30505821	642
18	58	1364900	8	30505818	1	30505821	720
19	59	1546500	9	30505818	1	30505821	720
20	60	1546500	9	30505818	1	30505821	720
21	61	20000	1	30505818	1	30505821	0
22	62	33800	2	30505818	1	30505821	5
23	63	70500	2	30505818	1	30505821	14
24	64	111000	2	30505818	1	30505821	28
25	65	156100	2	30505818	1	30505821	50
26	66	206700	2	30505818	1	30505821	79
27	67	263600	3	30505818	1	30505821	115
28	68	327600	3	30505818	1	30505821	158
29	69	399600	4	30505818	1	30505821	208
30	71	481600	4	30505818	1	30505821	208
31	72	572100	4	30505818	1	30505821	258
32	73	673100	5	30505818	1	30505821	312
33	74	785400	5	30505818	1	30505821	370
34	75	909900	6	30505818	1	30505821	432
35	76	1047400	6	30505818	1	30505821	498
36	77	1198800	7	30505818	1	30505821	568
37	78	1364900	8	30505818	1	30505821	642
38	79	1546500	9	30505818	1	30505821	720
39	80	1728100	9	30505818	1	30505821	720
40	81	1728100	9	30505818	1	30505821	720
