INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INDEX	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	86	6	0	576	576	2	57	57	57	57	324	4	31	31	31	31	17	6	18	18	18	18
2	86	6	1	597	597	2	59	59	59	59	342	4	32	32	32	32	18	6	18	18	18	18
3	86	6	2	619	619	2	61	61	61	61	361	4	34	34	34	34	19	6	19	19	19	19
4	86	6	3	640	640	2	63	63	63	63	380	4	36	36	36	36	20	7	20	20	20	20
5	86	6	4	662	662	2	65	65	65	65	399	4	38	38	38	38	21	7	20	20	20	20
6	86	6	5	684	684	2	67	67	67	67	418	4	40	40	40	40	22	8	21	21	21	21
7	86	6	6	705	705	2	69	69	69	69	437	4	41	41	41	41	23	8	22	22	22	22
8	86	6	7	727	727	2	71	71	71	71	456	4	43	43	43	43	24	8	22	22	22	22
9	86	6	8	748	748	2	73	73	73	73	475	4	45	45	45	45	25	9	23	23	23	23
10	86	6	9	770	770	2	75	75	75	75	494	4	47	47	47	47	26	9	24	24	24	24
11	86	7	1	792	792	2	78	78	78	78	513	5	49	49	49	49	27	10	25	25	25	25
12	86	7	2	848	848	2	83	83	83	83	546	5	52	52	52	52	28	10	25	25	25	25
13	86	7	3	904	904	2	88	88	88	88	579	5	55	55	55	55	30	11	26	26	26	26
14	86	7	4	960	960	2	93	93	93	93	612	5	58	58	58	58	32	11	27	27	27	27
15	86	7	5	1016	1016	2	98	98	98	98	645	5	61	61	61	61	33	12	28	28	28	28
16	86	7	6	1072	1072	2	104	104	104	104	678	6	64	64	64	64	35	12	29	29	29	29
17	86	7	7	1128	1128	2	109	109	109	109	711	6	67	67	67	67	37	13	30	30	30	30
18	86	7	8	1184	1184	2	114	114	114	114	744	6	70	70	70	70	38	13	31	31	31	31
19	86	7	9	1240	1240	2	119	119	119	119	777	6	73	73	73	73	40	14	32	32	32	32
20	86	8	1	1296	1296	2	125	125	125	125	810	7	77	77	77	77	42	15	33	33	33	33
21	96	6	0	648	648	14	66	66	66	66	364	4	34	34	34	34	20	7	22	22	22	22
22	96	6	1	672	672	14	68	68	68	68	385	4	36	36	36	36	21	7	22	22	22	22
23	96	6	2	696	696	14	71	71	71	71	406	4	38	38	38	38	22	7	23	23	23	23
24	96	6	3	720	720	14	73	73	73	73	427	4	40	40	40	40	23	8	24	24	24	24
25	96	6	4	745	745	14	76	76	76	76	448	4	42	42	42	42	24	8	25	25	25	25
26	96	6	5	769	769	14	78	78	78	78	470	4	44	44	44	44	26	9	26	26	26	26
27	96	6	6	793	793	14	81	81	81	81	491	4	46	46	46	46	27	9	26	26	26	26
28	96	6	7	818	818	14	83	83	83	83	512	4	48	48	48	48	28	9	27	27	27	27
29	96	6	8	842	842	14	86	86	86	86	533	4	50	50	50	50	29	10	28	28	28	28
30	96	6	9	866	866	14	88	88	88	88	554	4	52	52	52	52	30	10	29	29	29	29
31	96	7	1	891	891	15	91	91	91	91	576	5	54	54	54	54	32	11	30	30	30	30
32	96	7	2	954	954	15	97	97	97	97	613	5	57	57	57	57	34	11	31	31	31	31
33	96	7	3	1017	1017	15	103	103	103	103	650	5	60	60	60	60	36	12	32	32	32	32
34	96	7	4	1080	1080	15	109	109	109	109	687	5	64	64	64	64	38	13	33	33	33	33
35	96	7	5	1143	1143	15	115	115	115	115	724	5	67	67	67	67	40	14	34	34	34	34
36	96	7	6	1206	1206	15	121	121	121	121	761	6	70	70	70	70	42	14	35	35	35	35
