INT	INT	INT	INT	STRING
INDEX	SlotIndex	ImpactIndex	Level	Desc
1	1	1	1	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF00500#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m)
2	1	1	2	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m)
3	1	1	3	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m)
4	1	1	4	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m)
5	1	1	5	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m)
6	1	1	6	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m)
7	1	1	7	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m)
8	1	1	8	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m)
9	1	1	9	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m)
10	1	1	10	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Bång Thuµc Tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
11	1	2	1	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF00500#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m)
12	1	2	2	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m)
13	1	2	3	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m)
14	1	2	4	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m)
15	1	2	5	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m)
