INT	INT	INT	STRING	STRING
INDEX	SlotIndex	ImpactIndex	Name	Icon
1	1	1	Ãü»ê¡¤±ù	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_4
2	1	2	Ãü»ê¡¤»ð	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_3
3	1	3	Ãü»ê¡¤Ðþ	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_2
4	1	4	Ãü»ê¡¤¶¾	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_1
5	2	1	µØ»ê¡¤±ù	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_8
6	2	2	µØ»ê¡¤»ð	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_6
7	2	3	µØ»ê¡¤Ðþ	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_5
8	2	4	µØ»ê¡¤¶¾	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_7
9	3	1	Ìì»ê¡¤±ù	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_12
10	3	2	Ìì»ê¡¤»ð	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_11
11	3	3	Ìì»ê¡¤Ðþ	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_10
12	3	4	Ìì»ê¡¤¶¾	set:FightSkillSuperWeapon1 image:FightSkillSuperWeapon1_9
