INT	INT	STRING	INT	STRING	INT	INT	INT
INDEX	?????	???????	??	????	??	????	??
1	10300006	Xích Di­m CØu Vån Ðao	86	Tø Linh ThÕch	30505818	1	30000
2	10301000	Träm ¿u ÐoÕn S¥u Thß½ng	86	Tø Linh ThÕch	30505818	1	30000
3	10301198	D¸ch Thiên Phá Tà Trßþng	86	Tø Linh ThÕch	30505818	1	30000
4	10302006	Hàm Quang Lµng Änh Kiªm	86	Tø Linh ThÕch	30505818	1	30000
5	10302008	VÕn Nh§n Long Uyên Kiªm	86	Tø Linh ThÕch	30505818	1	30000
6	10302010	Tinh Di Vô Ngân Kiªm	86	Tø Linh ThÕch	30505818	1	30000
7	10303000	Chuy¬n H°n Di®t Phách Câu	86	Tø Linh ThÕch	30505818	1	30000
8	10304006	Lôi Minh Ly Höa Phiªn	86	Tø Linh ThÕch	30505818	1	30000
9	10304008	Lôi Minh Ly Höa Phiªn	86	Tø Linh ThÕch	30505818	1	30000
10	10305006	Toái Tình Vø Änh Hoàn	86	Tø Linh ThÕch	30505818	1	30000
11	10305008	Thiên Tinh Di®u Dß½ng Hoàn	86	Tø Linh ThÕch	30505818	1	30000
12	10300007	Xích Di­m CØu Vån Ðao	96	Tø Linh ThÕch	30505818	1	40000
13	10301001	Träm ¿u ÐoÕn S¥u Thß½ng	96	Tø Linh ThÕch	30505818	1	40000
14	10301199	D¸ch Thiên Phá Tà Trßþng	96	Tø Linh ThÕch	30505818	1	40000
15	10302007	Hàm Quang Lµng Änh Kiªm	96	Tø Linh ThÕch	30505818	1	40000
16	10302009	VÕn Nh§n Long Uyên Kiªm	96	Tø Linh ThÕch	30505818	1	40000
17	10302011	Tinh Di Vô Ngân Kiªm	96	Tø Linh ThÕch	30505818	1	40000
18	10303001	Chuy¬n H°n Di®t Phách Câu	96	Tø Linh ThÕch	30505818	1	40000
19	10304007	Lôi Minh Ly Höa Phiªn	96	Tø Linh ThÕch	30505818	1	40000
20	10304009	Lôi Minh Ly Höa Phiªn	96	Tø Linh ThÕch	30505818	1	40000
21	10305007	Toái Tình Vø Änh Hoàn	96	Tø Linh ThÕch	30505818	1	40000
22	10305009	Thiên Tinh Di®u Dß½ng Hoàn	96	Tø Linh ThÕch	30505818	1	40000
23	10300103	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
24	10300104	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
25	10300105	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
26	10300106	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
27	10300107	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
28	10300108	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
29	10300109	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
30	10300110	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
31	10300111	ÐÕi HÕ Long Tß¾c	102	Tø Linh ThÕch	30505818	1	50000
32	10301103	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
33	10301104	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
34	10301105	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
35	10301106	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
36	10301107	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
37	10301108	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
38	10301109	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
