INT	INT	INT	INT	INT	INT
神器ID	进阶ID	进阶金币消耗	消耗材料数量	材料1	材料2
10300006	10300400	90000	1	30505827	30505828
10301000	10301400	90000	1	30505827	30505828
10301198	10301401	90000	1	30505827	30505828
10302006	10302400	90000	1	30505827	30505828
10302008	10302401	90000	1	30505827	30505828
10302010	10302402	90000	1	30505827	30505828
10303000	10303400	90000	1	30505827	30505828
10304006	10304400	90000	1	30505827	30505828
10304008	10304401	90000	1	30505827	30505828
10305006	10305400	90000	1	30505827	30505828
10305008	10305401	90000	1	30505827	30505828
10300007	10300402	120000	1	30505827	30505828
10301001	10301404	120000	1	30505827	30505828
10301199	10301405	120000	1	30505827	30505828
10302007	10302406	120000	1	30505827	30505828
10302009	10302407	120000	1	30505827	30505828
10302011	10302408	120000	1	30505827	30505828
10303001	10303402	120000	1	30505827	30505828
10304007	10304404	120000	1	30505827	30505828
10304009	10304405	120000	1	30505827	30505828
10305007	10305404	120000	1	30505827	30505828
10305009	10305405	120000	1	30505827	30505828
10300103	10300404	150000	1	30505827	30505828
10300104	10300405	150000	1	30505827	30505828
10300105	10300406	150000	1	30505827	30505828
10300106	10300407	150000	1	30505827	30505828
10300107	10300408	150000	1	30505827	30505828
10300108	10300409	150000	1	30505827	30505828
10300109	10300410	150000	1	30505827	30505828
10300110	10300411	150000	1	30505827	30505828
10300111	10300412	150000	1	30505827	30505828
10301103	10301408	150000	1	30505827	30505828
10301104	10301409	150000	1	30505827	30505828
10301105	10301410	150000	1	30505827	30505828
10301106	10301411	150000	1	30505827	30505828
10301107	10301412	150000	1	30505827	30505828
10301108	10301413	150000	1	30505827	30505828
10301109	10301414	150000	1	30505827	30505828
10301110	10301415	150000	1	30505827	30505828
10301111	10301416	150000	1	30505827	30505828
10301203	10301417	150000	1	30505827	30505828
10301204	10301418	150000	1	30505827	30505828
10301205	10301419	150000	1	30505827	30505828
10301206	10301420	150000	1	30505827	30505828
10301207	10301421	150000	1	30505827	30505828
10301208	10301422	150000	1	30505827	30505828
10301209	10301423	150000	1	30505827	30505828
10301210	10301424	150000	1	30505827	30505828
10301211	10301425	150000	1	30505827	30505828
10302103	10302412	150000	1	30505827	30505828
10302104	10302413	150000	1	30505827	30505828
10302105	10302414	150000	1	30505827	30505828
10302106	10302415	150000	1	30505827	30505828
10302107	10302416	150000	1	30505827	30505828
10302108	10302417	150000	1	30505827	30505828
10302109	10302418	150000	1	30505827	30505828
10302110	10302419	150000	1	30505827	30505828
10302111	10302420	150000	1	30505827	30505828
10302203	10302421	150000	1	30505827	30505828
10302204	10302422	150000	1	30505827	30505828
10302205	10302423	150000	1	30505827	30505828
10302206	10302424	150000	1	30505827	30505828
10302207	10302425	150000	1	30505827	30505828
10302208	10302426	150000	1	30505827	30505828
10302209	10302427	150000	1	30505827	30505828
10302210	10302428	150000	1	30505827	30505828
10302211	10302429	150000	1	30505827	30505828
10303103	10303404	150000	1	30505827	30505828
10303104	10303405	150000	1	30505827	30505828
10303105	10303406	150000	1	30505827	30505828
10303106	10303407	150000	1	30505827	30505828
10303107	10303408	150000	1	30505827	30505828
10303108	10303409	150000	1	30505827	30505828
