INT	INT	STRING	INT	INT	INT	INT
INDEX	EQUIPID	EQUIPNAME	level	money	??1	??2
1	10300401	Sí Di®m CØu Long Ðao	86	100000	6936	713
2	10301402	Vong ¿u Tiêu H°n Thß½ng	86	100000	6932	709
3	10301403	Pháp Thiên Tích Tà Trßþng	86	100000	6934	711
4	10302403	Thiên Quang Lßu Änh Kiªm	86	100000	6940	717
5	10302404	CØu Chuy¬n Long Tuy«n Kiªm	86	100000	6937	714
6	10302405	Tinh Di Nguy®t Ðµng Kiªm	86	100000	6941	718
7	10303401	Di®t H°n Luân H°i Câu	86	100000	6933	710
8	10304402	Thiên Lôi Chân Höa Phiªn	86	100000	6935	712
9	10304403	Thiên Lôi Chân Höa Phiªn	86	100000	6935	712
10	10305402	Tuy®t Tình Li®t Änh Hoàn	86	100000	6938	715
11	10305403	Tinh Vân Tø Nh§t Hoàn	86	100000	6939	716
12	10300403	Sí Di®m CØu Long Ðao	96	100000	6936	713
13	10301406	Vong ¿u Tiêu H°n Thß½ng	96	100000	6932	709
14	10301407	Pháp Thiên Tích Tà Trßþng	96	100000	6934	711
15	10302409	Thiên Quang Lßu Änh Kiªm	96	100000	6940	717
16	10302410	CØu Chuy¬n Long Tuy«n Kiªm	96	100000	6937	714
17	10302411	Tinh Di Nguy®t Ðµng Kiªm	96	100000	6941	718
18	10303403	Di®t H°n Luân H°i Câu	96	100000	6933	710
19	10304406	Thiên Lôi Chân Höa Phiªn	96	100000	6935	712
20	10304407	Thiên Lôi Chân Höa Phiªn	96	100000	6935	712
21	10305406	Tuy®t Tình Li®t Änh Hoàn	96	100000	6938	715
22	10305407	Tinh Vân Tø Nh§t Hoàn	96	100000	6939	716
23	10300413	CØu Tiêu Di®m Dß½ng	102	100000	6946	668
24	10300414	CØu Tiêu Di®m Dß½ng	102	100000	6956	667
25	10300415	CØu Tiêu Di®m Dß½ng	102	100000	6966	669
26	10300416	CØu Tiêu Di®m Dß½ng	102	100000	6946	668
27	10300417	CØu Tiêu Di®m Dß½ng	102	100000	6956	667
28	10300418	CØu Tiêu Di®m Dß½ng	102	100000	6966	669
29	10300419	CØu Tiêu Di®m Dß½ng	102	100000	6946	668
30	10300420	CØu Tiêu Di®m Dß½ng	102	100000	6956	667
31	10300421	CØu Tiêu Di®m Dß½ng	102	100000	6966	669
32	10301426	H°ng Hoang Long Vû	102	100000	6942	665
33	10301427	H°ng Hoang Long Vû	102	100000	6952	664
34	10301428	H°ng Hoang Long Vû	102	100000	6962	666
35	10301429	H°ng Hoang Long Vû	102	100000	6942	665
36	10301430	H°ng Hoang Long Vû	102	100000	6952	664
37	10301431	H°ng Hoang Long Vû	102	100000	6962	666
38	10301432	H°ng Hoang Long Vû	102	100000	6942	665
39	10301433	H°ng Hoang Long Vû	102	100000	6952	664
40	10301434	H°ng Hoang Long Vû	102	100000	6962	666
41	10301435	ÐÕt Ma Nh¤t Thán	102	100000	6944	689
42	10301436	ÐÕt Ma Nh¤t Thán	102	100000	6954	688
43	10301437	ÐÕt Ma Nh¤t Thán	102	100000	6964	690
44	10301438	ÐÕt Ma Nh¤t Thán	102	100000	6944	689
45	10301439	ÐÕt Ma Nh¤t Thán	102	100000	6954	688
46	10301440	ÐÕt Ma Nh¤t Thán	102	100000	6964	690
47	10301441	ÐÕt Ma Nh¤t Thán	102	100000	6944	689
48	10301442	ÐÕt Ma Nh¤t Thán	102	100000	6954	688
49	10301443	ÐÕt Ma Nh¤t Thán	102	100000	6964	690
50	10302430	ÐÕi Di­n Thiên Huy«n	102	100000	6947	673
51	10302431	ÐÕi Di­n Thiên Huy«n	102	100000	6957	674
52	10302432	ÐÕi Di­n Thiên Huy«n	102	100000	6967	675
53	10302433	ÐÕi Di­n Thiên Huy«n	102	100000	6947	673
54	10302434	ÐÕi Di­n Thiên Huy«n	102	100000	6957	674
55	10302435	ÐÕi Di­n Thiên Huy«n	102	100000	6967	675
56	10302436	ÐÕi Di­n Thiên Huy«n	102	100000	6947	673
57	10302437	ÐÕi Di­n Thiên Huy«n	102	100000	6957	674
58	10302438	ÐÕi Di­n Thiên Huy«n	102	100000	6967	675
59	10302439	MÕt Thª Vß½ng Quy«n	102	100000	6951	721
60	10302440	MÕt Thª Vß½ng Quy«n	102	100000	6961	720
61	10302441	MÕt Thª Vß½ng Quy«n	102	100000	6971	719
62	10302442	MÕt Thª Vß½ng Quy«n	102	100000	6951	721
63	10302443	MÕt Thª Vß½ng Quy«n	102	100000	6961	720
64	10302444	MÕt Thª Vß½ng Quy«n	102	100000	6971	719
65	10302445	MÕt Thª Vß½ng Quy«n	102	100000	6951	721
66	10302446	MÕt Thª Vß½ng Quy«n	102	100000	6961	720
67	10302447	MÕt Thª Vß½ng Quy«n	102	100000	6971	719
68	10303422	 Thiên Trß¶ng Sinh	102	100000	6950	670
69	10303423	 Thiên Trß¶ng Sinh	102	100000	6960	671
70	10303424	 Thiên Trß¶ng Sinh	102	100000	6970	672
71	10303425	 Thiên Trß¶ng Sinh	102	100000	6950	670
72	10303426	 Thiên Trß¶ng Sinh	102	100000	6960	671
73	10303427	 Thiên Trß¶ng Sinh	102	100000	6970	672
74	10303428	 Thiên Trß¶ng Sinh	102	100000	6950	670
75	10303429	 Thiên Trß¶ng Sinh	102	100000	6960	671
76	10303430	 Thiên Trß¶ng Sinh	102	100000	6970	672
77	10303431	Løc ÐÕo Hoàng Tuy«n	102	100000	6943	676
78	10303432	Løc ÐÕo Hoàng Tuy«n	102	100000	6953	677
79	10303433	Løc ÐÕo Hoàng Tuy«n	102	100000	6963	678
80	10303434	Løc ÐÕo Hoàng Tuy«n	102	100000	6943	676
81	10303435	Løc ÐÕo Hoàng Tuy«n	102	100000	6953	677
82	10303436	Løc ÐÕo Hoàng Tuy«n	102	100000	6963	678
83	10303437	Løc ÐÕo Hoàng Tuy«n	102	100000	6943	676
84	10303438	Løc ÐÕo Hoàng Tuy«n	102	100000	6953	677
85	10303439	Løc ÐÕo Hoàng Tuy«n	102	100000	6963	678
86	10304417	Thái C± Phiêu Linh	102	100000	6945	686
87	10304418	Thái C± Phiêu Linh	102	100000	6955	685
88	10304419	Thái C± Phiêu Linh	102	100000	6965	687
89	10304420	Thái C± Phiêu Linh	102	100000	6945	686
90	10304421	Thái C± Phiêu Linh	102	100000	6955	685
