INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
1	38002625	Tài phú Thông Bäo	1	1	1	100	0	40	2
2	20310168	Kim Tàm Ti	1	2	1	100	1	10	7
3	20800013	Hµi Kim Tr¥n	1	2	1	100	2	20	20
4	30900006	Thiên Canh Cß¶ng Hóa Tinh Hoa	1	1	1	100	3	20	13
5	38002676	Hoang Thú H°n Ng÷c L­ HÕp	1	1	1	100	4	6	60
6	38002675	Th¥n thú H°n Ng÷c L­ HÕp	1	1	1	100	5	3	240
7	38002533	Tôi H°n D¸ch	1	1	1	100	6	20	20
8	30501361	Công Lñc Ðan	1	1	1	100	7	5	40
9	20502003	Bí Ngân C¤p 3	1	2	1	100	8	5	180
10	20501003	Miên B¯ C¤p 3	1	2	1	100	9	5	180
11	20502013	C¤p 3 Bí Ngân·Trån Ph¦m(Bäng)	1	2	1	100	10	3	300
12	20501009	C¤p 3 Miên B¯·Trån Ph¦m(Bäng)	1	2	1	100	11	3	300
