INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
1	0Thiên C¤p 5 bäo thÕch	1	77	20231013	20231209	1	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	0	#{JZF_230821_30}
2	0Thiên m· ra 9Cá Ðiêu Vån, Tr× vû khí Võ H°n Hµ Kiên ám khí cái bao tay mû	3	77	20231013	20231209	0	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	-1	
3	0Thiên ð¸a cung	18	77	20231013	20231108	0	T¥n Cung Bí Cänh						-1	
4	7Thiên võ ðÕo	8	77	20231020	20231209	1	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	1	#{JZF_230821_31}
5	7Thiên m· ra 10Cá Ðiêu Vån, Tr× Võ H°n Hµ Kiên ám khí cái bao tay mû	4	77	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
6	7Thiên th¤t tình Nhçn	9	77	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
7	7Thiên th¤t tình Nhçn Ðoàn B±n	9	77	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
8	7Thiên ngày xßa cänh trong m½	10	77	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
9	14Thiên m· ra 11Cá Ðiêu Vån, Tr× Hµ Kiên ám khí cái bao tay mû	5	77	20231027	20231209	1	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	2	#{JZF_230821_32}
10	14Thiên Huy­n H°n	11	77	20231027	20231209	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
11	14Thiên ThuÖ Nguy®t S½n Trang	11	77	20231027	20231209	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
12	21Thiên m· ra 13Cá Ðiêu Vån, Tr× cái bao tay mû	6	77	20231103	20231209	1	#{JZF_230821_43}	set:TimingPlay01 image:TimingPlay_JJBX1	set:TimingPlay01 image:TimingPlay_JJBX2	set:TimingPlay01 image:TimingPlay_JJBX3	#{JZF_230821_17}	#{JZF_230821_18}	3	#{JZF_230821_33}
13	28Thiên Thú H°n	12	77	20231110	20231209	1	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	4	#{JZF_230821_34}
14	28Thiên Thanh Khâu(ð½n giän, khó khån)	13	77	20231110	20231209	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
15	28Thiên Thú H°n Chi LoÕn	14	77	20231110	20231209	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
16	35Thiên m· ra 15Cá Ðiêu Vån(tÕm th¶i có Ðiêu Vån toàn bµ khai höa)	7	77	20231117	20231209	1	#{JZF_230821_45}	set:TimingPlay02 image:TimingPlay_LHCQ1	set:TimingPlay02 image:TimingPlay_LHCQ2	set:TimingPlay02 image:TimingPlay_LHCQ3	#{JZF_230821_21}	#{JZF_230821_22}	5	#{JZF_230821_35}
17	42Thiên Linh Võ	15	77	20231124	20231209	1	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	6	#{JZF_230821_36}
18	42Thiên Phöng C¯c T¥m Ng÷c	16	77	20231124	20231209	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
19	42Thiên Thiên Giám Tranh Phong	17	77	20231124	20231209	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
20	56Thiên C¤p 7 bäo thÕch	2	77	20231208	20231209	1	#{JZF_230821_47}	set:TimingPlay01 image:TimingPlay_DFZJ1	set:TimingPlay01 image:TimingPlay_DFZJ2	set:TimingPlay01 image:TimingPlay_DFZJ3	#{JZF_230821_25}	#{JZF_230821_26}	7	#{JZF_230821_39}
21	0Thiên C¤p 5 bäo thÕch	1	81	20231013	20231209	1	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	0	#{JZF_230821_30}
22	0Thiên m· ra 9Cá Ðiêu Vån, Tr× vû khí Võ H°n Hµ Kiên ám khí cái bao tay mû	3	81	20231013	20231209	0	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	-1	
23	0Thiên ð¸a cung	18	81	20231013	20231108	0	T¥n Cung Bí Cänh						-1	
24	7Thiên võ ðÕo	8	81	20231020	20231209	1	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	1	#{JZF_230821_31}
25	7Thiên m· ra 10Cá Ðiêu Vån, Tr× Võ H°n Hµ Kiên ám khí cái bao tay mû	4	81	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
26	7Thiên th¤t tình Nhçn	9	81	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
27	7Thiên th¤t tình Nhçn Ðoàn B±n	9	81	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
28	7Thiên ngày xßa cänh trong m½	10	81	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
29	14Thiên m· ra 11Cá Ðiêu Vån, Tr× Hµ Kiên ám khí cái bao tay mû	5	81	20231027	20231209	1	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	2	#{JZF_230821_32}
