INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
1	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	1001	-1	-1	1	Tô Châu	10	111	160
2	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	1007	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
3	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	1002	-1	-1	2	ÐÕi Lý	10	241	136
4	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	1011	-1	-1	186	Lâu Lan	75	285	130
5	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	1010	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
6	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
7	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
8	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
9	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
10	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
11	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
12	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
13	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
14	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
15	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	1001	-1	-1	1	Tô Châu	10	111	160
16	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	1007	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
17	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	1002	-1	-1	2	ÐÕi Lý	10	241	136
18	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	1011	-1	-1	186	Lâu Lan	75	285	130
19	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	1010	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
20	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
21	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
22	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
23	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
24	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
25	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
26	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
27	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
