INT	INT	INT
INT	INT	INT
0	0	46
1	1	46
2	2	77
3	3	71
4	4	71
5	5	68
6	80101001	116
7	80101101	115
8	23	334
9	23	122
10	24	19
11	25	122
12	25	89
13	26	69
14	27	122
15	27	85
16	28	59
17	30	50
18	30	52
19	31	50
20	31	52
21	41	117
22	42	107
23	43	294
24	100	63
25	101	47
26	101	48
27	102	78
28	103	51
29	103	63
30	104	44
31	105	83
32	123	109
33	123	38
34	124	38
35	150	108
36	220	313
37	223	229
38	255	19
39	555	54
40	556	54
41	901	288
42	80502901	152
43	1000	38
44	1001	62
45	1002	171
46	1003	58
47	1004	58
48	1005	57
49	1008	161
50	1009	161
51	1010	136
52	1100	247
53	1206	192
54	1207	193
55	1208	191
56	2001	138
57	2002	141
58	2003	138
59	2004	142
60	2005	142
61	2006	142
62	2007	142
63	2008	142
64	5421	106
65	5422	162
66	5423	49
67	5424	49
68	5425	49
69	5426	19
70	8121	251
71	13906	30
72	19821	201
73	19822	203
74	19823	206
75	19824	213
76	19999	183
77	25702	122
78	25702	199
79	70825	245
80	71525	248
81	75117	122
82	75117	197
83	91109	276
84	91111	278
85	112233	62
86	112235	161
87	112236	168
88	112236	122
89	112237	204
90	112237	122
91	80503001	182
92	147000	189
93	147005	189
94	147005	38
95	147006	38
96	171717	265
97	171718	273
98	198122	305
99	260001	30
100	300039	19
101	300077	30
102	300088	30
103	332004	30
104	332207	19
105	335815	19
106	403004	263
107	500505	30
108	502010	19
109	502011	38
110	502011	368
111	502023	363
112	701800	76
113	701900	298
114	701900	306
115	713587	64
116	751107	198
117	751107	122
118	800034	221
119	800107	71
120	800108	154
121	800119	230
122	800120	244
123	805047	19
124	805048	19
125	808147	30
126	809270	19
127	831020	97
128	831021	158
129	888888	299
130	888901	169
131	888902	222
132	889102	295
133	889103	297
134	889103	302
135	891049	353
136	892663	19
137	892675	358
138	892676	357
139	892676	359
140	910281	276
141	910282	277
142	910283	277
143	1000156	290
144	1999986	183
145	2000156	292
146	3000156	291
147	3000771	271
148	4000156	293
149	5020192	19
150	8050191	214
151	8050192	214
152	8050193	214
153	8910321	344
154	8910322	346
155	8910461	345
156	8910800	36
157	8910801	373
158	8910802	373
159	8910803	377
160	8910810	374
161	8910850	375
162	8910950	376
163	9111601	281
164	9111602	284
165	12032203	30
166	18100001	326
167	19810222	76
168	19810222	166
169	19810313	137
170	19810424	66
171	19810424	122
172	19820424	70
173	19820425	148
174	19830424	103
175	19830424	122
176	19831114	246
177	19831204	254
178	19831205	255
179	19840424	139
180	19841120	139
181	19841121	139
182	19850424	156
183	19850424	155
184	19851274	282
185	19851274	122
186	19860143	283
187	19860143	122
188	20071224	77
189	20080221	77
190	20080419	77
191	20081010	219
192	20090627	77
193	20090715	38
194	20090717	249
195	20090720	257
196	20090721	258
197	20090722	259
198	20090723	260
199	20090727	261
200	20090804	266
201	20090805	267
202	20090824	269
203	20090907	247
204	20090929	272
205	20091019	38
206	20091025	274
207	20091027	280
208	20091027	122
209	20091029	281
210	20091029	122
211	20091130	272
212	20092450	252
213	20092461	253
214	20092462	253
215	20100118	142
216	20100716	124
217	20100717	124
218	20101121	38
219	20110509	320
220	20110509	122
221	20120222	270
222	20130521	321
223	20140917	270
224	20150212	351
225	20150228	351
226	20150309	19
227	20180613	366
228	31111201	30
229	50202301	364
230	80806201	322
231	80811000	340
232	80811001	341
233	80811002	342
234	80811003	343
235	80811005	341
236	80811005	342
237	80811005	343
238	80811005	340
239	80811006	341
240	80811006	342
241	80811006	343
242	80811006	340
243	80811021	342
244	80811031	343
245	80811032	343
246	80811033	19
247	80926201	30
248	86021935	66
249	86021935	122
250	88880001	379
251	88880002	381
252	88880003	382
253	89104901	352
254	89112301	384
255	89266601	19
256	89266602	42
257	89266603	42
258	89266604	337
259	89267601	372
260	89267801	356
261	89267802	36
262	89267901	36
263	89267902	324
264	89268901	329
265	91016141	197
266	101526358	137
267	101526358	323
268	271261215	77
269	870001001	4
270	920170825	335
271	920170825	122
272	920170826	30
273	2015101414	270
274	2015101514	270
275	2016110701	348
276	2016110702	30
277	2018010601	347
278	2018010603	36
279	2018010901	354
280	88880004	380
281	88880005	19
282	89112401	385
283	34000401	386
284	34000402	386
285	34000501	386
286	34000502	386
287	89112402	385
288	89111901	387
289	89111902	387
290	89111903	387
291	89111904	388
292	89111905	388
293	89111906	388
294	89111907	389
295	89111908	389
296	89111909	390
297	89111910	390
298	89111911	390
299	89111912	36
300	8910804	373
301	20210315	122
302	20210315	270
303	91113	276
304	91114	276
305	80012101	392
306	83000121	270
307	88880401	398
308	88880402	398
309	88996201	404
310	2021050801	405
311	89115201	406
312	89115202	406
313	89115203	406
314	89115701	408
315	20210510	409
316	20210510	410
317	20210510	411
318	20210519	411
319	20210510	412
320	80702001	415
321	889962	36
322	89115901	417
323	89115902	417
324	80702701	416
325	80702702	270
326	89116401	419
327	89116402	419
328	89139601	418
329	891396	420
330	89139602	420
331	807012	270
332	20160601	270
333	891160	422
334	20160622	407
335	20160624	407
336	20160623	407
337	89117001	424
338	89117002	424
339	89117201	425
340	891176	19
341	807036	158
342	891175	426
343	89117202	427
344	89121801	429
345	89121802	36
346	89127101	430
347	891180	434
348	20210801	432
349	89118101	435
350	50509901	438
351	50509902	438
352	891181	434
353	2115	440
354	2115	441
355	2115	442
356	80101102	439
357	80101103	439
358	810209111	443
359	89289103	447
360	89289102	451
361	88875801	458
362	88875802	458
363	89289504	452
364	89289502	449
365	89289505	452
366	20200507	450
367	20180912	448
368	89293001	457
369	89293002	457
370	89289101	446
371	89289503	444
372	88877301	460
373	88877302	461
374	99980101	19
375	99990101	19
376	89294711	471
377	89297101	467
378	89297102	467
379	89297401	466
380	892974	468
381	89297402	469
382	89289801	453
383	8000341	474
384	800034	474
385	800034	122
386	20090722	475
387	19831114	476
388	19831114	122
389	198311141	476
390	88877801	477
391	89297501	480
392	89297502	36
393	89301101	472
394	20211201	19
395	80012701	490
396	89307801	487
397	5051001	494
398	89307801	122
399	89307802	493
400	89306901	36
401	89306902	491
402	89306401	491
403	89306903	495
404	79101001	499
405	79101002	36
406	79101101	500
407	80012702	502
408	80012703	501
409	80012704	503
410	80012705	504
411	80012706	505
412	8930400	36
413	8930401	486
414	89306501	507
415	80012708	506
416	80012713	19
417	80012716	19
418	80012726	19
419	89308901	498
420	89308902	498
421	89308903	498
422	89308904	498
423	89308905	498
424	89308906	498
425	20141216	509
426	80012714	270
427	80012724	503
428	80012712	270
429	5051002	494
430	79101102	30
431	89308907	498
432	80012707	270
433	80012709	270
434	80012711	270
435	80012722	270
436	893108	19
437	79007501	517
438	79007502	30
439	89312001	518
440	89312101	519
441	89312102	519
442	89312103	30
443	80012801	520
444	89316101	522
445	89316102	521
446	89316103	521
447	202205070	19
448	202205010	524
449	99990301	537
450	99990302	19
451	89320301	539
452	89320302	270
453	89316801	531
454	89319101	523
455	89321201	540
456	79102001	533
457	79102002	534
458	79102003	533
459	89324201	429
460	89324301	431
461	80012717	19
462	20141204	543
463	89116101	544
464	79201301	546
465	79201401	546
466	79201202	545
467	79201201	395
468	1122361	549
469	20141106	548
470	99990401	19
471	89334001	542
472	79201201	36
473	89324501	19
474	89316601	553
475	89316802	554
476	79106001	556
477	79106002	556
478	80811005	547
479	80811006	547
480	89334601	559
481	88892101	555
482	88892102	555
483	88892103	30
484	89330401	550
485	89330402	558
486	89337901	19
487	20210519	409
488	20210519	412
489	89331101	562
490	89331102	562
491	89331103	563
492	2013060601	567
493	2013060602	565
494	2013060603	566
495	2013060604	270
496	2013060605	270
497	2013060606	270
498	89306001	570
499	89334201	568
500	89334201	569
501	88889901	270
502	89331104	562
503	89306002	570
504	89312701	585
505	89312702	585
506	89338101	576
507	54266	49
508	54267	49
509	88816001	19
510	88816201	588
511	2022090601	30
512	88998601	36
513	88998602	598
514	88998901	599
515	89335901	38
516	89330301	270
517	89331301	19
518	89331105	601
519	89331106	562
520	2022090601	30
521	2022090601	30
522	2022090801	30
523	2022091401	30
524	2022091501	30
525	88996401	592
526	88996156	38
527	88996157	38
528	2022913	270
529	202291301	600
530	202291302	600
531	202291303	600
532	20221107	19
533	2022110701	19
534	20221115	605
535	89004901	30
536	89004902	606
537	89119501	19
538	8927603	222
539	8927600	614
540	8927605	612
541	8927606	614
542	8927602	612
543	8927601	611
544	89106201	270
545	89106201	122
546	89106202	350
547	81011101	609
548	81011501	608
549	89005401	270
550	89004601	270
551	89011104	30
552	81012501	616
553	81012701	615
554	89011701	621
555	88880801	631
556	88880802	270
557	22122701	617
558	89021501	638
559	89021502	19
560	89021503	639
561	89021505	638
562	79109002	30
563	89022701	637
564	89025201	641
565	89025202	641
566	89015201	626
567	81011101	642
568	20230315	648
569	89015401	632
570	89025301	625
571	89025302	625
572	89025303	624
573	89018001	647
574	89006401	650
575	89006402	650
576	88880803	270
577	20230315	649
578	89022301	19
579	88880804	651
580	88880805	652
581	99825602	653
582	99825603	654
583	99825604	655
584	99825605	656
