INT	INT	INT	STRING	INT	STRING	STRING
INT	INT	INT	STRING	INT	STRING	STRING
0	1	-1	燕子坞BOSS	-1		
1	1	-1	活动BOSS	-1		
2	1	-1	燕王古墓BOSS	-1		
3	1	-1	玄武岛BOSS	-1		
4	1	-1	苍山BOSS	-1		
5	1	-1	武夷BOSS	-1		
6	1	-1	草原BOSS	-1		
7	1	-1	镜湖BOSS	-1		
8	1	-1	圣兽山BOSS	-1		
9	1	-1	连环副本BOSS	-1		
10	1	-1	门派副本BOSS	-1		
11	1	-1	寒玉谷BOSS	-1		
12	1	-1	缥缈峰BOSS	-1		
13	1	-1	初战缥缈峰BOSS	-1		
14	1	-1	束河古镇BOSS	-1		
15	1	-1	秦皇地宫BOSS	-1		
16	1	-1	天降奇兽副本BOSS	-1		
17	1	-1	楼兰寻宝副本BOSS	-1		
18	1	-1	楼兰连环副本BOSS	-1		
19	1	-1	凤凰陵墓BOSS	-1		
20	1	-1	大理杀星	-1		
21	1	-1	新杀星-苍山破煞	-1		
22	1	-1	水月山庄BOSS	-1		
23	1	-1	青丘试炼BOSS	-1		
24	1	-1	青丘试炼（困难）BOSS	-1		
25	1	-1	玄武岛·镜BOSS	-1		
26	1	-1	其它场景BOSS	-1		
27	1	-1	雁关·无间度厄Boss	-1		
28	1	-1	往日梦境BOSS	-1		
29	1	-1	往日梦境（困难）BOSS	-1		
30	-1	0	慕容复	0	#Y[慕容复]	#Y[慕容复]#r#G挑战燕子坞#r60级以上组队挑战副本#ccc33cc#r掉落：#W#r秘银碎片#r新莽神符#r染料丝线#r套装#r宝石雕琢符#r珍兽蛋：英招#r要决：落马箭#r百变如意：慕容复#r天罡强化精华#r90级以上慕容复掉落寒冰星屑#r天罡强化精华#r80-89级慕容复掉落神兵符1级#r天罡强化精华#r90-99级慕容复掉落神兵符2级#r天罡强化精华#r100-119级慕容复掉落神兵符3级#r天罡强化精华
31	-1	0	鸠摩智	1	#Y[鸠摩智]	#Y[鸠摩智]#r#G挑战燕子坞#r60级以上组队挑战副本#ccc33cc#r掉落：#W#r精铁碎片#r染料丝线#r武器#r宝石雕琢符#r百变如意：鸠摩智#r天罡强化精华
32	-1	0	段延庆	2	#Y[段延庆]	#Y[段延庆]#r#G挑战燕子坞#r60级以上组队挑战副本#ccc33cc#r掉落：#W#r宝石雕琢符#r棉布碎片#r装备#r百变如意：段延庆#r天罡强化精华
33	-1	0	叶二娘	98	#Y[叶二娘]	#Y[叶二娘]#r#G挑战燕子坞#r60级以上组队挑战副本
34	-1	0	岳老三	99	#Y[岳老三]	#Y[岳老三]#r#G挑战燕子坞#r60级以上组队挑战副本
35	-1	0	云中鹤	100	#Y[云中鹤]	#Y[云中鹤]#r#G挑战燕子坞#r60级以上组队挑战副本
