INT	STRING	STRING	STRING
INT	STRING	STRING	STRING
1	WEB_BLOG	http://blog.sohu.com	搜狐博客
2	WEB_LOGON_VN	http://psp.gate.vn	越南网站
3	WEB_LOGON_MAIN	http://chong.changyou.com/common/skip2game.do?gameType=57	登陆充值平台
4	WEB_BINDPASSPOD	http://account.changyou.com/bindpasspod/synchronize1.jsp	贴身密报校准
5	WEB_CHANGEPWD	http://member.changyou.com/info_framework/parent_frame_aq_new.jsp?name=pwd	修改密码
6	WEB_MIBAO	http://tl.changyou.com/index_fd.shtml	防盗号_首页
7	WEB_EKEY	http://ekey.changyou.com	贴身密报首页
8	WEB_ACTIVITY_SEARCH	http://wenjuan1.changyou.com/s2/	调查
9	WEB_CHANGYOU_GM	https://gm.changyou.com/	畅游客服主页
10	WEB_MIBAO_TL	http://account.changyou.com/piccard/tlmibao.jsp	搜狐畅游账号管理中心_密保卡下载
11	WEB_FANGCHENMI	http://account.changyou.com/fangchenmi/submitlogin.jsp	账号管理中心-搜狐畅游一卡通
12	WEB_CYOU_INDEX	http://account.changyou.com/lndex.jsp	账号管理中心
13	WEB_SECURITY	http://account.changyou.com/security/aq1.jsp	安全中心-搜狐畅游
14	WEB_FANGDAO	http://tl.changyou.com/index_fd.shtml	防盗号
15	WEB_INVITE	http://www.cyou.com/User/Reg/invite	畅游网注册
16	WEB_BAOBEIHUIJIA	http://www.baobeihuijia.com/About.aspx	宝贝回家计划
17	WEB_WEBREPORT	http://crash2.changyou.com:8080/clientreconnect/uploadinfo.jsp	运维事故秒上报
18	WEB_FCMXT1	http://gm.changyou.com/html/forms/form-2541.jsp	防沉迷
19	WEB_FCMXT2	http://member.changyou.com/info_framework/parent_frame_aq_new.jsp?name=smFill	防沉迷
20	WEB_FCMXT3	http://member.changyou.com/info_framework/parent_frame_aq_new.jsp?name=smFill	防沉迷
21	WEB_HJWJ	http://wenjuan1.changyou.com/s2/5efd975ae543868d36040d09	怀旧服问卷
22	WEB_HJJY	http://wenjuan1.changyou.com/s2/5efd8d96e543868d36040d00	怀旧服建议
23	WEB_DOWNLOAD	http://jia.changyou.com/	下载畅游+连接
24	WEB_CHANGEPWD	http://member.changyou.com/info_framework/parent_frame_aq_new.jsp?name=pwd	找回密码
25	WEB_LOGON_MAIN	http://chong.changyou.com/common/skip2game.do?gameType=57	帐号充值
26	WEB_KEYFOUND	http://member.changyou.com/info_framework/parent_frame_aq_new.jsp?name=pwd	帐号管理中心
27	WEB_INPUTAUTHPHONE	http://member.changyou.com/newsm/activeTlInitPage.do?from=tl	补填认证手机
28	WEB_THREEDDAYFORBIT	https://gm.changyou.com	前往在线客服
29	WEB_LSOB	http://tlhj-activity.changyou.com/tlhj/activate/20200714/pc/index.shtml	怀旧ob通行链接
30	WEB_ZHJH	http://member.changyou.com/newsm/activeTlInitPage.do?from=tlhj	怀旧账号激活
31	WEB_DCWJ	http://wenjuan1.changyou.com/s2/5fa105f9e543868d360cad2c/?test_mode=1	调查问卷
32	WEB_JNHZB	https://live.douyin.com/963151153	嘉年华直播
33	WEB_CXG	http://cxghj.changyou.com	畅秀阁
34	WEB_SJRZ	http://member.changyou.com/newsm/activeTlInitPage.do?from=tlhj	手机认证
35	WEB_FCMXT4	http://member.changyou.com/info_framework/parent_frame_new.jsp?name=anti&project=xtlbbwyzh	防沉迷
36	WEB_FCMXT5	http://tlhj.changyou.com/ageTips.shtml	防沉迷
37	WEB_FCMXT6	http://imservice.changyou.com/login.html?gameType=tl1	版署防沉迷未开启防沉迷联系在线客服
38	WEB_FCMXT7	http://member.changyou.com/info_framework/parent_frame_new.jsp?name=anti&project=xtlbbwyzh	版署防沉迷已开启查询防沉迷信息
39	WEB_WEGAME_SJRZ	http://member.changyou.com/wegame/toCertification.do	手机认证
40	WEB_WEGAME_KF	http://gm.changyou.com/gm-wegame/index.html	WEGAME专属客服
41	WEB_GSCHITCHAT	http://hjgs.changyou.com/visitor/index.html	gschat专属客服
42	WEB_ZHOUNIANDAKA	https://tlhj-activity.changyou.com/tlhj/benefits/20220902/pc/index.shtml	周年打卡网页
43	WEB_ZBSZT	https://event.changyou.com/tlhj/202506/match/pc/index.shtml	争霸赛专题页
44	WEB_ZBSJC	https://tlhj-h5.changyou.com/tlhj/competition/20250625/bcf034db/pc/index.shtml	争霸赛竞猜页面
45	WEB_TVB	https://tlsp.changyou.com/xtl/show/20230319/public/tlhj/pc/index.shtml	tvb植入活动ugc页面
46	WEB_HELP	http://tlhj.changyou.com/events/helper/index.shtml	帮助系统
47	WEB_CTU	http://member.changyou.com/info_framework/parent_frame_aq_new.jsp?name=phone	修改手机验证
48	WEB_LTT	https://mp.weixin.qq.com/s/3XZ4jzXo4LmH4fhbfAA-aw	龙抬头
49	WEB_GUIDE	http://tlhjglz.changyou.com/index.shtml	养成攻略入口
50	WEB_XFFL	https://tlhj-activity.changyou.com/tlhj/newserver/20250528/9a1k1zc6/wegame/pc/index.shtml	风起新章馈豪侠
51	WEB_ZBSLIVE	https://event.changyou.com/tlhj/202509/match/pc/index.shtml 	天龙全球争霸赛
52	WEB_SURVEY	https://tlhj-h5.changyou.com/tphd/tlhj/vote/20250902/pc/index.shtml	超特服运营投票
