INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING
INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING
0	1	1	1	M²i ngày ð± bµ	Hôm nay ð± bµ trò ch½i	set:Huodong_12 image:Huodong_12_10	1	10	3	-1	-1	-1	#{ZHY_210301_21}	35	#{ZHY_210301_36}
1	1	2	1	Mµt ngàn Linh mµt cái nguy®n v÷ng	Hoàn thành mµt ngàn Linh mµt cái nguy®n v÷ng nhi®m vø	set:SalaryMission image:SalaryMission_1	1	20	2	1	186	182	Lß½ng ÐÕo Sî	35	#{ZHY_210301_37}
2	1	3	1	Tr×ng Hung Tá Ð°(Nh¤t)	Hoàn thành 1ThÑ Tr×ng Hung Tá Ð°	set:Huodong_12 image:Huodong_12_13	1	5	2	1	127	133	Ngô Gi¾i	35	#{ZHY_210301_38}
3	1	3	2	Tr×ng Hung Tá Ð°(Nh¸)	Hoàn thành 5ThÑ Tr×ng Hung Tá Ð°	set:Huodong_12 image:Huodong_12_13	5	5	2	1	127	133	Ngô Gi¾i	35	#{ZHY_210301_38}
4	1	3	3	Tr×ng Hung Tá Ð°(Tam)	Hoàn thành 10ThÑ Tr×ng Hung Tá Ð°	set:Huodong_12 image:Huodong_12_13	10	5	2	1	127	133	Ngô Gi¾i	35	#{ZHY_210301_38}
5	1	4	1	Tàng Bäo Ð°	M· ra 1ThÑ Tàng Bäo Ð°	set:Merchandise4 image:Merchandise4_16	1	5	3	-1	-1	-1	#{ZHY_210301_22}	35	#{ZHY_210301_39}
6	1	6	1	Sß môn nhi®m vø(Nh¤t)	Hoàn thành 1Hoàn sß môn nhi®m vø	set:SalaryMission image:SalaryMission_3	1	5	3	-1	-1	-1	#{ZHY_210301_24}	35	#{ZHY_210301_41}
7	1	6	2	Sß môn nhi®m vø(Nh¸)	Hoàn thành 5Hoàn sß môn nhi®m vø	set:SalaryMission image:SalaryMission_3	5	5	3	-1	-1	-1	#{ZHY_210301_24}	35	#{ZHY_210301_41}
8	1	6	3	Sß môn nhi®m vø(Tam)	Hoàn thành 10Hoàn sß môn nhi®m vø	set:SalaryMission image:SalaryMission_3	10	5	3	-1	-1	-1	#{ZHY_210301_24}	35	#{ZHY_210301_41}
9	1	7	1	ÐoÕt Bäo Mã T£c(Nh¤t)	Ðánh bÕi 1Chích ÐoÕt Bäo Mã T£c	set:Huodong_12 image:Huodong_12_14	1	5	3	-1	-1	-1	#{ZHY_210301_25}	35	#{ZHY_210301_42}
10	1	7	2	ÐoÕt Bäo Mã T£c(Nh¸)	Ðánh bÕi 10Chích ÐoÕt Bäo Mã T£c	set:Huodong_12 image:Huodong_12_14	10	5	3	-1	-1	-1	#{ZHY_210301_25}	35	#{ZHY_210301_42}
11	1	8	1	Tiêu Hóa Kim Nguyên Bäo	Ngày ðó luy kª tiêu phí 100nguyên bäo	set:CircularTaskTool6 image:CircularTaskTool6_7	100	10	1	222	-1	-1	-1	35	#{ZHY_210301_43}
12	1	9	1	Bäng Ð¸nh Nguyên Bäo Tiêu Hao	Vu Bäng Ð¸nh nguyên bäo cØa hàng Nµi tiêu phí 1ThÑ	set:CircularTaskTool64 image:CircularTaskTool64_16	1	5	1	222	-1	-1	-1	35	#{ZHY_210301_44}
13	2	10	1	Lão Tam Hoàn(Nh¤t)	Ðánh bÕi 1ThÑ Dã NgoÕi Phï TrÕi Trung Ðích S½n TrÕi ÐÕi Vß½ng	set:SalaryMission image:SalaryMission_6	1	20	2	1	62	162	Ti«n Hoành Vû	35	#{ZHY_210301_45}
14	2	10	2	Lão Tam Hoàn(Nh¸)	Ðánh bÕi 2ThÑ Dã NgoÕi Phï TrÕi Trung Ðích S½n TrÕi ÐÕi Vß½ng	set:SalaryMission image:SalaryMission_6	2	20	2	1	62	162	Ti«n Hoành Vû	35	#{ZHY_210301_45}
15	2	10	3	Lão Tam Hoàn(Tam)	Ðánh bÕi 3ThÑ Dã NgoÕi Phï TrÕi Trung Ðích S½n TrÕi ÐÕi Vß½ng	set:SalaryMission image:SalaryMission_6	3	20	2	1	62	162	Ti«n Hoành Vû	35	#{ZHY_210301_45}
16	2	10	4	Lão Tam Hoàn(TÑ)	Ðánh bÕi 4ThÑ Dã NgoÕi Phï TrÕi Trung Ðích S½n TrÕi ÐÕi Vß½ng	set:SalaryMission image:SalaryMission_6	4	20	2	1	62	162	Ti«n Hoành Vû	35	#{ZHY_210301_45}
