INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10100000	1	1	0	0	0	410	1	-1	-1	Thanh Ð°ng Ðao	1	Tân thü vû khí, không có gì giá tr¸. (Hæu Ki®n Ði¬m Kích có th¬ trang b¸)	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_1	Ðao Búa	0	2000	0
10100001	1	1	0	1	0	412	1	-1	-1	BÕt Phong Ðao	10	Chª tÕo b¢ng thanh ð°ng, dáng ðao cong, n£ng n«, nhæng ngß¶i có sÑc khöe nhß trâu m¾i có th¬ sØ døng	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_3	Ðao Búa	2000	2000	0
10100002	1	1	0	2	0	416	1	-1	-1	Chiªt Thiªt Ðao	20	S¯ng ðao rµng, lßÞi ðao dày h½i cùn, có th¬ ch£t s¡t, vì v§y m¾i có tên g÷i nhß v§y	540	540	137	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_5	Ðao Búa	2001	2000	0
10100003	1	1	0	3	0	420	1	-1	-1	C± Nguy®t Ðao	30	Thanh ðao có màu bÕc, ðao cong gi¯ng nhß mûi voi, lßÞi ðao bóng lßÞng s¡c bén, s¯ng ðao có th¬ móc l¤y kë ð¸ch, uy lñc trung bình.	1150	1150	150	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_9	Ðao Búa	2002	2000	0
10100004	1	1	0	4	0	419	1	-1	-1	Khai S½n Vi®n	40	S¯ng ðao cong gi¯ng nhß trång khuyªt, cong h½n næa không thÆng, có th¬ b± thÆng và cûng có th¬ chém ngang.	1780	1780	162	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	Ðao Búa	2003	2000	0
10100005	1	1	0	5	0	421	1	-1	-1	Kim B¯i Ðao	50	Thân ðao ch² g¥n chuôi nhö, lßÞi ðao ðªn t§n mûi ðao, sau ðó tiªo tøc cong ðªn s¯ng ðao, dày và có lñc, thân ðao có trang trí hoa vån màu vàng.	2700	2700	175	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_2	Ðao Búa	2004	2000	0
10100006	1	1	0	6	0	431	1	-1	-1	Nguy®t Nha Sän	60	ÐoÕn trß¾c cüa sän cong gi¯ng hình bán nguy®t, bên trong lõm, Nguy®t nha hß¾ng ra bên ngoài, phía cu¯i có chuôi n¡m gi¯ng hình chiªc rìu, ðoÕn cu¯i có lßÞi, khi t¤n công ð¸ch có th¬ sØ døng cä mûi và chuôi sän, khiªn cho k¬ ð¸nh không th¬ phòng ngñ ðßþc.	3850	3850	187	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_6	Ðao Búa	2005	2000	0
10100007	1	1	0	7	0	437	1	-1	-1	Li®t Di®m Ðao	70	Toàn thân vàng h°ng, gi¯ng nhß ng÷n lØa mÕnh, khí thª vô cùng, t¤n công thành r¤t thích hþp	5570	5570	200	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_10	Ðao Búa	2006	2000	0
10100008	1	1	0	8	0	443	1	-1	-1	Ô Long Sän	80	Tß½ng truy«n danh tß¾ng c± ðÕi thß¶ng dùng, ðßþc làm t× ô kim, trên ðó có kh¡c du long phi thiên, sát khí vây quanh.	7450	7450	212	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_15	Ðao Búa	2007	2000	0
