INT	INT	STRING
INT	INT	STRING
1	0	Nguy®n t¤t cä b¢ng hæu thân th¬ khöe mÕnh, hÕnh phúc bình an!
2	0	Khoái LÕc Thiên Long! Sung sß¾ng Thß¶ng Các\u0020hÕ!
3	0	Chúc phúc thª gi¾i hòa bình!
4	0	Nguy®n Ngã t± qu¯c cß¶ng th¸nh!
5	0	Hy v÷ng hôm nay Nång Loát Ðáo Ti¬u!
6	0	Hy v÷ng hôm nay Nång cß¾p ðßþc Phän!
7	0	Hy v÷ng Loát Ðáo Võ H°n!
8	0	Hy v÷ng Loát Ðáo Th¥n Phù!
9	0	Chúc s¾m mµt chút thoát khöi ðµc thân!
10	0	Chúc s¾m ngày v÷t t¾i Mãn C¤p!
11	0	Chúc s¾m ngày luy®n thành th¥n khí!
12	0	Chúc s¾m ngày thiên hÕ vô ð¸ch!
13	0	Hy v÷ng làm ra cñc ph¦m thü công!
14	0	Hy v÷ng khiêu chiªn Phiêu Mi¬u Phong thành công!
15	0	Hy v÷ng khiêu chiªn Sát Tinh thành công!
16	0	Hy v÷ng khiêu chiªn Yªn TØ ‘ thành công!
17	0	Hy v÷ng Loát Ðáo Trân Thú trang b¸!
18	0	Hy v÷ng Loát Ðáo tám mß½i C¤p t÷a kÜ!
19	0	Chúc cØa hàng sinh ý th¸nh vßþng!
20	0	Chúc bang hµi t× t× cß¶ng ðÕi, uy ch¤n giang h°!
21	0	Hy v÷ng M²i Chu Ðô Nã Hoa S½n lu§n kiªm thÑ nh¤t Danh!
22	0	Hy v÷ng Nång Xu¤t hoàn mÛ cøc cßng!
23	1	Chúc âu yªm Ðích Nhân m²i ngày vui vë!
24	1	Chúc âu yªm Ðích Nhân vînh vi­n hÕnh phúc!
25	1	Nguy®n tình yêu lâu dài!
26	1	Nguy®n Tác chim li«n cánh, Nguy®n Vi tình vþ ch°ng.
27	1	Ch¤p TØ tay, Dß TØ giai lão.
28	1	B¤t Vi vinh hoa phú quý, chï vì làm các\u0020hÕ cä ð¶i.
29	1	Nguy®n hæu tình lòng ngß¶i Tâm Tßþng „n, cä ð¶i hÕnh phúc.
30	1	Nguy®n hæu tình nhân ái Ý vînh t°n, cä ð¶i mÛ mãn.
31	1	Nguy®n hæu tình Nhân ng÷t ngào vînh vi­n, cä ð¶i mªn nhau.
32	1	Nguy®n tình yêu Vînh Chân, Nguy®n duyên ph§n vînh t°n.
33	1	Chúc sinh ra s¾m quý tØ!
34	1	Chúc Vînh Kªt Ð°ng Tâm!
35	1	Chúc ð¥u bÕc ðªn già!
36	1	Chúc Tình Tï Kim Kiên!
37	1	Chúc d¡t tay cä ð¶i, Ð°ng T¦u thiên nhai!
38	2	Chúc sß phó m÷i sñ hài lòng!
39	2	Chúc ð° ð® m²i ngày Khoái LÕc!
40	2	Nguy®n sß phó dÕy ð° ð® luy®n c¤p, Hñu Khoái Hñu vui vë!
41	2	Hy v÷ng ð° ð® s¾m ngày xu¤t sß, ánh sáng sß môn!
42	2	Nguy®n th¥y trò tình nghîa vînh t°n!
43	2	Nguy®n th¥y trò d¡t tay thiên hÕ, uy ch¤n giang h°!
44	2	Chúc th¥y trò cäm tình Häo kinh nghi®m Ða, làm các\u0020hÕ m²i mµt Thiên!
45	2	Chúc th¥y trò tình nghîa Tßþng TuÏ, sung sß¾ng Thß¶ng Các\u0020hÕ!
46	2	Chúc sß phó bình an hÕnh phúc!
47	2	Chúc ð° ð® ti«n ð° Tñ C¦m!
48	2	Chúc sß phó ðào lý kh¡p thiên hÕ!
49	2	Chúc ð° ð® giang h° m£c h¡n Hành!
50	2	Nguy®n th¥y trò Tâm Liên Tâm, Thß¶ng liên h®!
51	2	Nguy®n th¥y trò Ð°ng lßu lÕc giang h°, Khoái LÕc Thiên Long!
52	2	Nguy®n th¥y trò anh hùng vô ð¸ch, tái tÕo huy hoàng!
53	3	Nguy®n Huynh Ð® tình nghîa vînh t°n! Cùng nhau Khoái LÕc trò ch½i!
54	3	Nguy®n tÖ muµi tình nghîa vînh t°n! Cùng nhau Khoái LÕc trò ch½i!
55	3	Hy v÷ng chúng ta vînh vi­n ð«u là các\u0020hÕ t¯t!
56	3	Hy v÷ng các\u0020hÕ t¯t m²i ngày vô ßu vô lñ!
57	3	Hy v÷ng các\u0020hÕ t¯t vînh vi­n Khoái LÕc hÕnh phúc!
58	3	Nguy®n hæu ngh¸ Thiên Trß¶ng Ð¸a CØu!
59	3	Hy v÷ng các\u0020hÕ t¯t v§n may liên tøc!
60	3	Hy v÷ng các\u0020hÕ t¯t ti«n ð° Tñ C¦m!
61	3	Hy v÷ng các\u0020hÕ t¯t Nh§t Tiªn Ð¦u Kim!
62	3	Hy v÷ng các\u0020hÕ t¯t Thß¶ng liên h®, Vînh làm các\u0020hÕ!
63	3	Hy v÷ng các\u0020hÕ t¯t nghî th¥m, r¢ng Sñ Thành!
64	3	Hy v÷ng các\u0020hÕ t¯t M£c Sñ Nhß Ý!
65	3	Hy v÷ng các\u0020hÕ t¯t Phúc Mãn Càn Khôn!
66	3	Hy v÷ng các\u0020hÕ t¯t thân th¬ khöe mÕnh!
