INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
0	Öð½£	1	2	3	0	38003319	10	38003319	15	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0
1	Öð½£	1	1	3	0	38003319	10	38003319	15	-1	1	30900006	2	30900006	2	20310168	3	20310168	3	-1	0	-1	0	1	1
2	ÊÌ½£	2	3	4	0	38003319	10	38003319	15	-1	1	30900006	4	30900006	4	30008034	3	30008034	3	-1	0	-1	0	2	0
3	ÊÌ½£	2	2	4	0	38003319	10	38003319	15	-1	1	30900006	4	30900006	4	30008034	3	30008034	3	-1	0	-1	0	2	0
4	ÊÌ½£	2	1	4	0	38003319	10	38003319	15	-1	1	30900006	4	30900006	4	30008034	3	30008034	3	-1	0	-1	0	2	0
5	Óù½£	3	3	5	0	38003319	10	38003319	15	-1	1	30502002	3	30502002	3	20310116	2	20310116	2	-1	0	-1	0	1	1
6	Óù½£	3	2	5	0	38003319	10	38003319	15	-1	1	30502002	3	30502002	3	20310116	2	20310116	2	-1	0	-1	0	1	1
7	Óù½£	3	1	5	0	38003319	10	38003319	15	-1	1	30502002	3	30502002	3	20310116	2	20310116	2	-1	0	-1	0	1	1
8	×Ý½£	4	4	6	0	38003319	12	38003319	17	-1	1	20310131	5	20310131	5	20310122	5	20310122	5	-1	0	-1	0	0	2
9	×Ý½£	4	3	6	0	38003319	12	38003319	17	-1	1	20310149	5	20310149	5	20310140	5	20310140	5	-1	0	-1	0	0	2
10	×Ý½£	4	2	6	0	38003319	12	38003319	17	-1	1	20310131	5	20310131	5	20310122	5	20310122	5	-1	0	-1	0	0	2
11	×Ý½£	4	1	6	0	38003319	12	38003319	17	-1	1	20310149	5	20310149	5	20310140	5	20310140	5	-1	0	-1	0	0	2
12	°Á½£	5	4	8	0	38003319	15	38003319	20	-1	1	20502003	1	20502003	1	20501003	1	20501003	1	-1	0	-1	0	0	2
13	°Á½£	5	3	8	0	38003319	15	38003319	20	-1	1	20502003	1	20502003	1	20501003	1	20501003	1	-1	0	-1	0	0	2
14	°Á½£	5	2	8	0	38003319	15	38003319	20	-1	1	20502013	1	20502013	1	20501009	1	20501009	1	-1	0	-1	0	0	2
15	°Á½£	5	1	8	0	38003319	15	38003319	20	-1	1	20800022	1	20800022	1	-1	0	-1	0	-1	0	-1	0	0	1
16	°Ô½£	6	1	2000	0	38003319	19	38003319	24	-1	1	30310125	1	30310125	1	-1	0	-1	0	-1	0	-1	0	1	0
17	Öð½£	1	2	3	1	38003319	10	38003319	15	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0
18	Öð½£	1	1	3	1	38003319	10	38003319	15	-1	1	30900006	3	30900006	3	20310168	4	20310168	4	-1	0	-1	0	1	1
19	ÊÌ½£	2	3	4	1	38003319	10	38003319	15	-1	1	30900006	5	30900006	5	20800013	5	20800013	5	-1	0	-1	0	1	1
20	ÊÌ½£	2	2	4	1	38003319	10	38003319	15	-1	1	30900006	5	30900006	5	20800013	5	20800013	5	-1	0	-1	0	1	1
21	ÊÌ½£	2	1	4	1	38003319	10	38003319	15	-1	1	30900006	5	30900006	5	20800013	5	20800013	5	-1	0	-1	0	1	1
22	Óù½£	3	3	5	1	38003319	10	38003319	15	-1	1	20600002	1	20600002	1	20600045	1	20600045	1	-1	0	-1	0	0	2
23	Óù½£	3	2	5	1	38003319	10	38003319	15	-1	1	20600002	1	20600002	1	20600045	1	20600045	1	-1	0	-1	0	0	2
24	Óù½£	3	1	5	1	38003319	10	38003319	15	-1	1	20502003	1	20502003	1	20501003	1	20501003	1	-1	0	-1	0	0	2
25	×Ý½£	4	4	6	1	38003319	12	38003319	17	-1	1	38002524	2	38002524	2	38002533	3	38002533	3	-1	0	-1	0	2	0
26	×Ý½£	4	3	6	1	38003319	12	38003319	17	-1	1	38002524	2	38002524	2	38002533	3	38002533	3	-1	0	-1	0	2	0
27	×Ý½£	4	2	6	1	38003319	12	38003319	17	-1	1	38002524	2	38002524	2	38002533	3	38002533	3	-1	0	-1	0	2	0
28	×Ý½£	4	1	6	1	38003319	12	38003319	17	-1	1	20502003	1	20502003	1	20501003	1	20501003	1	-1	0	-1	0	0	2
