INT	INT	INT	STRING	INT	INT	INT	STRING
INT	INT	INT	STRING	INT	INT	INT	STRING
1	1	0	若雨惊风	3	69	78	第一名。
2	1	0	葬夜	8	69	78	第一名。
3	1	0	安安。	4	69	78	第一名。
4	1	0	小黎黎	6	69	78	第一名。
5	1	0	宠乔恩．	5	69	78	第一名。
6	1	0	晩冬愿	7	69	78	第一名。
7	1	1	随性ˋ	8	88	14	美少男壮士
8	1	1	迷雾ˋ	0	88	14	美少男壮士
9	1	1	星火｀	3	88	14	美少男壮士
10	1	1	乘风ˋ	4	89	14	美少男壮士
11	1	1	云川ˋ	8	88	14	美少男壮士
12	1	1	终点．ゝ	2	88	14	美少男壮士
13	1	2	星遥月．	0	119	10	星域小分队
14	1	2	小小少杰．	8	119	10	星域小分队
15	1	2	战神七．	8	119	10	星域小分队
16	1	2	天之痕．	7	119	10	星域小分队
17	1	2	萬疆域．	3	119	10	星域小分队
18	1	2	星域啊五˙﹡	4	119	10	星域小分队
