INT	INT	INT	STRING	INT	INT	INT	STRING
INT	INT	INT	STRING	INT	INT	INT	STRING
1	1	0	Kh¯c Trà Chü	0	68	9018	B« m£t - quä ð¤t cñc mÕnh
2	1	0	Di®m Ðª	3	69	9018	B« m£t - quä ð¤t cñc mÕnh
3	1	0	Noãn Dß½ng LÕc ngân hà	5	69	9018	B« m£t - quä ð¤t cñc mÕnh
4	1	0	Phß½ng ðông lá cây Chü	4	68	9018	B« m£t - quä ð¤t cñc mÕnh
5	1	0	??CØu Dã ??	5	69	9018	B« m£t - quä ð¤t cñc mÕnh
6	1	0	Ti¬u Hành Hoa.	3	68	9018	B« m£t - quä ð¤t cñc mÕnh
7	1	1	?Døc Man ?	4	88	9018	Ð® nh¸ thâm tình
8	1	1	?Ti¬u TÑ ?	7	88	9018	Ð® nh¸ thâm tình
9	1	1	'thÑ nh¤t thâm tình ?	0	88	9018	Ð® nh¸ thâm tình
10	1	1	?thÑ nh¤t thâm tình ?	5	88	9018	Ð® nh¸ thâm tình
11	1	1	Khuôn m£t tß½i cß¶i Li¬m Ti¬u	8	89	9018	Ð® nh¸ thâm tình
12	1	1	Tàn Mµ Vû.	3	88	9018	Ð® nh¸ thâm tình
13	1	2	Døc M£c Lßu Thù	0	119	9018	Giäo HoÕt Ðích m§p mÕp
14	1	2	Tung Ngã không u±ng công	3	119	9018	Giäo HoÕt Ðích m§p mÕp
15	1	2	Lan Nhßþc Vô Gi¾i	4	119	9018	Giäo HoÕt Ðích m§p mÕp
16	1	2	B¤t Phùng nß¾c t× trên núi chäy xu¯ng	8	119	9018	Giäo HoÕt Ðích m§p mÕp
17	1	2	Dao Thß Phi Thñ	7	119	9018	Giäo HoÕt Ðích m§p mÕp
18	1	2	Phong Hoàn Khinh Tiêu	8	119	9018	Giäo HoÕt Ðích m§p mÕp
