INT	INT	STRING	INT	INT	INT
INT	INT	STRING	INT	INT	INT
1	1503	虎慑组休息室	100	1	0
2	1504	虎慑组休息室	100	1	1
3	1505	虎慑组休息室	100	1	2
4	1506	虎慑组休息室	100	1	3
5	1507	虎慑组休息室	100	1	4
6	1508	虎慑组休息室	100	1	5
7	1509	虎慑组休息室	100	1	6
8	1510	龙威组休息室	100	2	0
9	1511	龙威组休息室	100	2	1
10	1512	龙威组休息室	100	2	2
11	1513	龙威组休息室	100	2	3
12	1514	龙威组休息室	100	2	4
13	1515	龙威组休息室	100	2	5
14	1516	龙威组休息室	100	2	6
15	2221	虎慑组休息室	101	1	0
16	2222	虎慑组休息室	101	1	1
17	2223	虎慑组休息室	101	1	2
18	2224	虎慑组休息室	101	1	3
19	2225	虎慑组休息室	101	1	4
20	2226	虎慑组休息室	101	1	5
21	2227	虎慑组休息室	101	1	6
22	2228	龙威组休息室	101	2	0
23	2229	龙威组休息室	101	2	1
24	2230	龙威组休息室	101	2	2
25	2231	龙威组休息室	101	2	3
26	2232	龙威组休息室	101	2	4
27	2233	龙威组休息室	101	2	5
28	2234	龙威组休息室	101	2	6
29	2939	虎慑组休息室	102	1	0
30	2940	虎慑组休息室	102	1	1
31	2941	虎慑组休息室	102	1	2
32	2942	虎慑组休息室	102	1	3
33	2943	虎慑组休息室	102	1	4
34	2944	虎慑组休息室	102	1	5
35	2945	虎慑组休息室	102	1	6
36	2946	龙威组休息室	102	2	0
37	2947	龙威组休息室	102	2	1
38	2948	龙威组休息室	102	2	2
39	2949	龙威组休息室	102	2	3
40	2950	龙威组休息室	102	2	4
41	2951	龙威组休息室	102	2	5
42	2952	龙威组休息室	102	2	6
43	3657	虎慑组休息室	103	1	0
44	3658	虎慑组休息室	103	1	1
45	3659	虎慑组休息室	103	1	2
46	3660	虎慑组休息室	103	1	3
47	3661	虎慑组休息室	103	1	4
48	3662	虎慑组休息室	103	1	5
49	3663	虎慑组休息室	103	1	6
50	3664	龙威组休息室	103	2	0
51	3665	龙威组休息室	103	2	1
52	3666	龙威组休息室	103	2	2
53	3667	龙威组休息室	103	2	3
54	3668	龙威组休息室	103	2	4
55	3669	龙威组休息室	103	2	5
56	3670	龙威组休息室	103	2	6
57	4375	虎慑组休息室	104	1	0
58	4376	虎慑组休息室	104	1	1
59	4377	虎慑组休息室	104	1	2
60	4378	虎慑组休息室	104	1	3
61	4379	虎慑组休息室	104	1	4
62	4380	虎慑组休息室	104	1	5
63	4381	虎慑组休息室	104	1	6
64	4382	龙威组休息室	104	2	0
65	4383	龙威组休息室	104	2	1
66	4384	龙威组休息室	104	2	2
67	4385	龙威组休息室	104	2	3
68	4386	龙威组休息室	104	2	4
69	4387	龙威组休息室	104	2	5
70	4388	龙威组休息室	104	2	6
71	5093	虎慑组休息室	105	1	0
72	5094	虎慑组休息室	105	1	1
73	5095	虎慑组休息室	105	1	2
74	5096	虎慑组休息室	105	1	3
75	5097	虎慑组休息室	105	1	4
76	5098	虎慑组休息室	105	1	5
77	5099	虎慑组休息室	105	1	6
78	5100	龙威组休息室	105	2	0
79	5101	龙威组休息室	105	2	1
80	5102	龙威组休息室	105	2	2
81	5103	龙威组休息室	105	2	3
82	5104	龙威组休息室	105	2	4
83	5105	龙威组休息室	105	2	5
84	5106	龙威组休息室	105	2	6
85	5811	虎慑组休息室	106	1	0
86	5812	虎慑组休息室	106	1	1
87	5813	虎慑组休息室	106	1	2
88	5814	虎慑组休息室	106	1	3
89	5815	虎慑组休息室	106	1	4
90	5816	虎慑组休息室	106	1	5
91	5817	虎慑组休息室	106	1	6
92	5818	龙威组休息室	106	2	0
93	5819	龙威组休息室	106	2	1
94	5820	龙威组休息室	106	2	2
95	5821	龙威组休息室	106	2	3
96	5822	龙威组休息室	106	2	4
97	5823	龙威组休息室	106	2	5
98	5824	龙威组休息室	106	2	6
99	6529	虎慑组休息室	107	1	0
100	6530	虎慑组休息室	107	1	1
101	6531	虎慑组休息室	107	1	2
102	6532	虎慑组休息室	107	1	3
103	6533	虎慑组休息室	107	1	4
104	6534	虎慑组休息室	107	1	5
105	6535	虎慑组休息室	107	1	6
106	6536	龙威组休息室	107	2	0
107	6537	龙威组休息室	107	2	1
108	6538	龙威组休息室	107	2	2
109	6539	龙威组休息室	107	2	3
110	6540	龙威组休息室	107	2	4
111	6541	龙威组休息室	107	2	5
112	6542	龙威组休息室	107	2	6
113	7247	虎慑组休息室	108	1	0
114	7248	虎慑组休息室	108	1	1
115	7249	虎慑组休息室	108	1	2
116	7250	虎慑组休息室	108	1	3
117	7251	虎慑组休息室	108	1	4
118	7252	虎慑组休息室	108	1	5
119	7253	虎慑组休息室	108	1	6
120	7254	龙威组休息室	108	2	0
121	7255	龙威组休息室	108	2	1
122	7256	龙威组休息室	108	2	2
123	7257	龙威组休息室	108	2	3
124	7258	龙威组休息室	108	2	4
125	7259	龙威组休息室	108	2	5
126	7260	龙威组休息室	108	2	6
127	7965	虎慑组休息室	109	1	0
128	7966	虎慑组休息室	109	1	1
129	7967	虎慑组休息室	109	1	2
130	7968	虎慑组休息室	109	1	3
131	7969	虎慑组休息室	109	1	4
132	7970	虎慑组休息室	109	1	5
133	7971	虎慑组休息室	109	1	6
134	7972	龙威组休息室	109	2	0
135	7973	龙威组休息室	109	2	1
136	7974	龙威组休息室	109	2	2
137	7975	龙威组休息室	109	2	3
138	7976	龙威组休息室	109	2	4
139	7977	龙威组休息室	109	2	5
140	7978	龙威组休息室	109	2	6
141	8683	虎慑组休息室	110	1	0
142	8684	虎慑组休息室	110	1	1
143	8685	虎慑组休息室	110	1	2
144	8686	虎慑组休息室	110	1	3
145	8687	虎慑组休息室	110	1	4
146	8688	虎慑组休息室	110	1	5
147	8689	虎慑组休息室	110	1	6
148	8690	龙威组休息室	110	2	0
149	8691	龙威组休息室	110	2	1
150	8692	龙威组休息室	110	2	2
151	8693	龙威组休息室	110	2	3
152	8694	龙威组休息室	110	2	4
153	8695	龙威组休息室	110	2	5
154	8696	龙威组休息室	110	2	6
155	9401	虎慑组休息室	111	1	0
156	9402	虎慑组休息室	111	1	1
157	9403	虎慑组休息室	111	1	2
158	9404	虎慑组休息室	111	1	3
159	9405	虎慑组休息室	111	1	4
160	9406	虎慑组休息室	111	1	5
161	9407	虎慑组休息室	111	1	6
162	9408	龙威组休息室	111	2	0
163	9409	龙威组休息室	111	2	1
164	9410	龙威组休息室	111	2	2
165	9411	龙威组休息室	111	2	3
166	9412	龙威组休息室	111	2	4
167	9413	龙威组休息室	111	2	5
168	9414	龙威组休息室	111	2	6
169	10119	虎慑组休息室	112	1	0
170	10120	虎慑组休息室	112	1	1
171	10121	虎慑组休息室	112	1	2
172	10122	虎慑组休息室	112	1	3
173	10123	虎慑组休息室	112	1	4
174	10124	虎慑组休息室	112	1	5
175	10125	虎慑组休息室	112	1	6
176	10126	龙威组休息室	112	2	0
177	10127	龙威组休息室	112	2	1
178	10128	龙威组休息室	112	2	2
179	10129	龙威组休息室	112	2	3
180	10130	龙威组休息室	112	2	4
181	10131	龙威组休息室	112	2	5
182	10132	龙威组休息室	112	2	6
183	10837	虎慑组休息室	113	1	0
184	10838	虎慑组休息室	113	1	1
185	10839	虎慑组休息室	113	1	2
186	10840	虎慑组休息室	113	1	3
187	10841	虎慑组休息室	113	1	4
188	10842	虎慑组休息室	113	1	5
189	10843	虎慑组休息室	113	1	6
190	10844	龙威组休息室	113	2	0
191	10845	龙威组休息室	113	2	1
192	10846	龙威组休息室	113	2	2
193	10847	龙威组休息室	113	2	3
194	10848	龙威组休息室	113	2	4
195	10849	龙威组休息室	113	2	5
196	10850	龙威组休息室	113	2	6
197	11555	虎慑组休息室	114	1	0
198	11556	虎慑组休息室	114	1	1
199	11557	虎慑组休息室	114	1	2
200	11558	虎慑组休息室	114	1	3
201	11559	虎慑组休息室	114	1	4
202	11560	虎慑组休息室	114	1	5
203	11561	虎慑组休息室	114	1	6
204	11562	龙威组休息室	114	2	0
205	11563	龙威组休息室	114	2	1
206	11564	龙威组休息室	114	2	2
207	11565	龙威组休息室	114	2	3
208	11566	龙威组休息室	114	2	4
209	11567	龙威组休息室	114	2	5
210	11568	龙威组休息室	114	2	6
211	12273	虎慑组休息室	115	1	0
212	12274	虎慑组休息室	115	1	1
213	12275	虎慑组休息室	115	1	2
214	12276	虎慑组休息室	115	1	3
215	12277	虎慑组休息室	115	1	4
216	12278	虎慑组休息室	115	1	5
217	12279	虎慑组休息室	115	1	6
218	12280	龙威组休息室	115	2	0
219	12281	龙威组休息室	115	2	1
220	12282	龙威组休息室	115	2	2
221	12283	龙威组休息室	115	2	3
222	12284	龙威组休息室	115	2	4
223	12285	龙威组休息室	115	2	5
224	12286	龙威组休息室	115	2	6
225	12991	虎慑组休息室	116	1	0
226	12992	虎慑组休息室	116	1	1
227	12993	虎慑组休息室	116	1	2
228	12994	虎慑组休息室	116	1	3
229	12995	虎慑组休息室	116	1	4
230	12996	虎慑组休息室	116	1	5
231	12997	虎慑组休息室	116	1	6
232	12998	龙威组休息室	116	2	0
233	12999	龙威组休息室	116	2	1
234	13000	龙威组休息室	116	2	2
235	13001	龙威组休息室	116	2	3
236	13002	龙威组休息室	116	2	4
237	13003	龙威组休息室	116	2	5
238	13004	龙威组休息室	116	2	6
239	13709	虎慑组休息室	117	1	0
240	13710	虎慑组休息室	117	1	1
241	13711	虎慑组休息室	117	1	2
242	13712	虎慑组休息室	117	1	3
243	13713	虎慑组休息室	117	1	4
244	13714	虎慑组休息室	117	1	5
245	13715	虎慑组休息室	117	1	6
246	13716	龙威组休息室	117	2	0
247	13717	龙威组休息室	117	2	1
248	13718	龙威组休息室	117	2	2
249	13719	龙威组休息室	117	2	3
250	13720	龙威组休息室	117	2	4
251	13721	龙威组休息室	117	2	5
252	13722	龙威组休息室	117	2	6
253	14427	虎慑组休息室	118	1	0
254	14428	虎慑组休息室	118	1	1
255	14429	虎慑组休息室	118	1	2
256	14430	虎慑组休息室	118	1	3
257	14431	虎慑组休息室	118	1	4
258	14432	虎慑组休息室	118	1	5
259	14433	虎慑组休息室	118	1	6
260	14434	龙威组休息室	118	2	0
261	14435	龙威组休息室	118	2	1
262	14436	龙威组休息室	118	2	2
263	14437	龙威组休息室	118	2	3
264	14438	龙威组休息室	118	2	4
265	14439	龙威组休息室	118	2	5
266	14440	龙威组休息室	118	2	6
267	15145	虎慑组休息室	119	1	0
268	15146	虎慑组休息室	119	1	1
269	15147	虎慑组休息室	119	1	2
270	15148	虎慑组休息室	119	1	3
271	15149	虎慑组休息室	119	1	4
272	15150	虎慑组休息室	119	1	5
273	15151	虎慑组休息室	119	1	6
274	15152	龙威组休息室	119	2	0
275	15153	龙威组休息室	119	2	1
276	15154	龙威组休息室	119	2	2
277	15155	龙威组休息室	119	2	3
278	15156	龙威组休息室	119	2	4
279	15157	龙威组休息室	119	2	5
280	15158	龙威组休息室	119	2	6
281	15863	虎慑组休息室	120	1	0
282	15864	虎慑组休息室	120	1	1
283	15865	虎慑组休息室	120	1	2
284	15866	虎慑组休息室	120	1	3
285	15867	虎慑组休息室	120	1	4
286	15868	虎慑组休息室	120	1	5
287	15869	虎慑组休息室	120	1	6
288	15870	龙威组休息室	120	2	0
289	15871	龙威组休息室	120	2	1
290	15872	龙威组休息室	120	2	2
291	15873	龙威组休息室	120	2	3
292	15874	龙威组休息室	120	2	4
293	15875	龙威组休息室	120	2	5
294	15876	龙威组休息室	120	2	6
295	16578	鹰扬组休息室	100	0	0
296	16579	鹰扬组休息室	100	0	1
297	16580	鹰扬组休息室	100	0	2
298	16581	鹰扬组休息室	100	0	3
299	16582	鹰扬组休息室	100	0	4
300	16583	鹰扬组休息室	100	0	5
301	16584	鹰扬组休息室	100	0	6
302	16585	鹰扬组休息室	101	0	0
303	16586	鹰扬组休息室	101	0	1
304	16587	鹰扬组休息室	101	0	2
305	16588	鹰扬组休息室	101	0	3
306	16589	鹰扬组休息室	101	0	4
307	16590	鹰扬组休息室	101	0	5
308	16591	鹰扬组休息室	101	0	6
309	16592	鹰扬组休息室	102	0	0
310	16593	鹰扬组休息室	102	0	1
311	16594	鹰扬组休息室	102	0	2
312	16595	鹰扬组休息室	102	0	3
313	16596	鹰扬组休息室	102	0	4
314	16597	鹰扬组休息室	102	0	5
315	16598	鹰扬组休息室	102	0	6
316	16599	鹰扬组休息室	103	0	0
317	16600	鹰扬组休息室	103	0	1
318	16601	鹰扬组休息室	103	0	2
319	16602	鹰扬组休息室	103	0	3
320	16603	鹰扬组休息室	103	0	4
321	16604	鹰扬组休息室	103	0	5
322	16605	鹰扬组休息室	103	0	6
323	16606	鹰扬组休息室	104	0	0
324	16607	鹰扬组休息室	104	0	1
325	16608	鹰扬组休息室	104	0	2
326	16609	鹰扬组休息室	104	0	3
327	16610	鹰扬组休息室	104	0	4
328	16611	鹰扬组休息室	104	0	5
329	16612	鹰扬组休息室	104	0	6
330	16613	鹰扬组休息室	105	0	0
331	16614	鹰扬组休息室	105	0	1
332	16615	鹰扬组休息室	105	0	2
333	16616	鹰扬组休息室	105	0	3
334	16617	鹰扬组休息室	105	0	4
335	16618	鹰扬组休息室	105	0	5
336	16619	鹰扬组休息室	105	0	6
337	16620	鹰扬组休息室	106	0	0
338	16621	鹰扬组休息室	106	0	1
339	16622	鹰扬组休息室	106	0	2
340	16623	鹰扬组休息室	106	0	3
341	16624	鹰扬组休息室	106	0	4
342	16625	鹰扬组休息室	106	0	5
343	16626	鹰扬组休息室	106	0	6
344	16627	鹰扬组休息室	107	0	0
345	16628	鹰扬组休息室	107	0	1
346	16629	鹰扬组休息室	107	0	2
347	16630	鹰扬组休息室	107	0	3
348	16631	鹰扬组休息室	107	0	4
349	16632	鹰扬组休息室	107	0	5
350	16633	鹰扬组休息室	107	0	6
351	16634	鹰扬组休息室	108	0	0
352	16635	鹰扬组休息室	108	0	1
353	16636	鹰扬组休息室	108	0	2
354	16637	鹰扬组休息室	108	0	3
355	16638	鹰扬组休息室	108	0	4
356	16639	鹰扬组休息室	108	0	5
357	16640	鹰扬组休息室	108	0	6
358	16641	鹰扬组休息室	109	0	0
359	16642	鹰扬组休息室	109	0	1
360	16643	鹰扬组休息室	109	0	2
361	16644	鹰扬组休息室	109	0	3
362	16645	鹰扬组休息室	109	0	4
363	16646	鹰扬组休息室	109	0	5
364	16647	鹰扬组休息室	109	0	6
365	16648	鹰扬组休息室	110	0	0
366	16649	鹰扬组休息室	110	0	1
367	16650	鹰扬组休息室	110	0	2
368	16651	鹰扬组休息室	110	0	3
369	16652	鹰扬组休息室	110	0	4
370	16653	鹰扬组休息室	110	0	5
