INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
??ID	??ID	????$1$	????$1$	????	????????	?????(?)	??????	????????	?????1	?????1	?????2	?????2	?????3	?????3	?????4	?????4	?????5	?????5	?????6	?????6	?????7	?????7	?????8	?????8	?????9	?????9	?????10	?????10
1	0	Kim Cang Kinh	Tên ð¥y ðü là kinh Kim Cß½ng ðã ghi nh§n lÕi c§u chuy®n cüa Ph§t Ðà Sá bäo v® qu¯c gia, trong sách kinh Kim Cß½ng có ¦n chÑa mµt lñc lßþng hàn ma, sau khi tu luy®n xong có th¬ nâng cao tï l® chính xác cüa ð® tØ Thiªu Lâm. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_1	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
2	0	Pháp Hoa Kinh	Tên ð¥y ðü là Miêu Pháp Liên Hoa Kinh, ðã ghi lÕi bí m§t cüa Ph§t Nhß Lai. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ Thiªu Lâm. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c 54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_2	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
3	0	ÐÕi Quang Minh Kinh	Mµt trong 3 loÕi sách kinh cüa Thiên Trúc Tr¤n Qu¯c ðã ghi lÕi ph§t pháp huy«n bí cüa Tây Thiên. Sau khi tu luy®n có th¬ nâng cao lñc sinh m®nh cüa ð® tØ Thiªu Lâm. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_3	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
4	0	ÐÕt Ma Tâm Kinh	Tâm kinh bí truy«n cüa B° Ð« ÐÕt Ma ðã ghi nh§n lÕi ðÕo lý tïnh ngµ cüa ph§t môn. Sau khi tu luy®n có th¬ nâng cao ngoÕi công lñc phòng ngñ cüa ð® tØ Thiªu Lâm. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_4	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
5	0	Long Thø Tâm Kinh	Tâm kinh bí truy«n cüa Long Thø B° Tát ðã ghi nh§n lÕi ðÕo lý ðµ lßþng cüa ph§t môn. Sau khi tu luy®n có th¬ nâng cao ngoÕi công công kích cüa ð® tØ Thiªu Lâm. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_5	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
6	0	Thích Ca Kinh	Là cu¯n sách kinh ði¬n ðã ghi nh§n lÕi nhæng l¶i nói cüa Ph§t Ðà lúc còn s¯ng, do ðÕi tØ Thích Di®p bí truy«n cho thª h® sau, ðßþc cho là cu¯n sách kinh cao thßþng nh¤t cüa ph§t môn. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ Thiªu Lâm. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_6	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
7	1	Th¤t Táng Quy«n	L¨ ra ðây là tr¤n phái chi bäo cüa phái Không Ðµng, nhßng ðã b¸ thª h® trß¾c cüa hµ giáo pháp vß½ng tranh ðoÕt thành Minh Giáo, công phu vô cùng bá ðÕo. Sau khi tu luy®n có th¬ nâng cao tï l® chính xác cüa ð® tØ phái Minh Giáo. #R#C54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_7	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
8	1	QuÏ Hoa Bí C¤p	Là cu¯n sách do các ti«n b¯i cüa ðÕi nµi cao thü tñ l§p ra, mß¶i m¤y nåm này cu¯n sách ¤y ðßþc cho là tr¤n giáo chi bäo cüa phái Minh Giáo. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ phái Minh Giáo. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_8	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
9	1	Thiên Ð¸a Na Di Pháp	Ba Tß Minh Giáo T±ng Giáo Tr¤n Giáo chi bäo, có th¬ kích phát thß¶ng nhân trong c½ th¬ ti«m tàng Ðích lñc lßþng. Tu t§p lúc sau có th¬ tång lên Minh Giáo Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa1_9	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
