INT	INT	STRING	STRING	STRING
INT	INT	STRING	STRING	STRING
0	0	#cfff263Lñc BÕt S½n H« Quy¬n	Xiulian1_14	Lñc BÕt S½n H« Quy¬n, ngoÕi công lñc, hùng h§u Nhi tr¥m ±n, hùng h§u Th¶i vô kiên b¤t t°i, tr¥m ±n th¶i thª không th¬ ðÞ, C¯ XÑng lñc ðÕo Nãi c§n chiªn võ h÷c Chi cån c½. Tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt lñc lßþng#W.
1	0	#cfff263Khí Quán Trß¶ng H°ng Quy¬n	Xiulian1_15	Khí Quán Trß¶ng H°ng Quy¬n, nµi kình lñc, Nµi Súc mÕnh m¨, NgoÕi Hi®n Miên Nhu, Bách Bµ · ngoài Ti®n Khä ngån ð¸ch, C¯ XÑng Linh Khí Nãi Vi­n Công võ h÷c Chi c½ bän. Tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt Linh Khí#W.
2	0	#cfff263kim cß½ng b¤t bÕi Quy¬n	Xiulian1_13	Kim cß½ng b¤t bÕi Quy¬n, t§p võ ngß¶i chú ý Cß¶ng Thân ki®n th¬, ð¤t rung Thiên Bång, Dã Khä lù lù b¤t ðµng, còn ðây là không c¥u Hoàn Thång Ðãn C¥u b¤t bÕi thu§t. Tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt th¬ lñc#W.
3	0	#cfff263häi nÕp Bách Xuyên Quy¬n	Xiulian1_11	Häi nÕp Bách Xuyên Quy¬n, châu lßu Løc Hß, Khí Ðµng ðan ði«n, Thü Th¶i Nång Dung hàng vÕn hàng nghìn nµi kình, Công thì th§t Khí liên miên không dÑt. Tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt ð¸nh lñc#W.
4	0	#cfff263t§t phong Hoá Änh Quy¬n	Xiulian1_12	T§t phong Hoá Änh Quy¬n, ði nhanh nhß gió, Phân Thân Hóa Änh, TÕi ð¯i phß½ng hß th§t b¤t tr¡c là lúc cho mµt kích trí m®nh. Tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt thân pháp#W.
5	1	#cfff263thª mÕnh nhß nß¾c Quy¬n	Xiulian1_6	Thª mÕnh nhß nß¾c Quy¬n, Chí Thu¥n chí dß½ng Ðích th¥n công, cho dù phiên giang ðäo häi - sông cuµn bi¬n g¥m Dã d­ nhß tr· bàn tay. Tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt ngoÕi công công kích#W.
6	1	#cfff263nß¾c chäy ðá mòn Quy¬n	Xiulian1_7	Nß¾c chäy ðá mòn Quy¬n, chí âm chí nhu Ðích th¥n công, cho dù mµt gi÷t nß¾c trong cûng có th¬ ðánh bÕi Ngoan ThÕch. Tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt nµi công công kích#W.
7	1	#cfff263Ð°ng Tß¶ng Thiªt Bích Quy¬n	Xiulian1_10	Ð°ng Tß¶ng Thiªt Bích Quy¬n, Kim Giáp hµ th¬, Bá Vß½ng oai hùng, Nång ch¯ng ðÞ hªt thäy ngoÕi lñc công kích, tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt ngoÕi công phòng ngñ#W.
8	1	#cfff263Khí Ð¸nh núi sông Quy¬n	Xiulian1_9	Khí Ð¸nh núi sông Quy¬n, tînh tâm Ngßng Th¥n, C¯ B±n Thü Nguyên, Nång ch¯ng ðÞ hªt thäy Nµi Kình Công Kích, tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt nµi công phòng ngñ#W.
9	1	#cfff263tråm l¥n không sai mµt Quy¬n	Xiulian1_5	Tråm l¥n không sai mµt Quy¬n, rèn luy®n tu t§p Giä Ðích nhãn lñc, Bách Bµ Xuyên Dß½ng, bách phát bách trúng, tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt M®nh Trung#W.
10	1	#cfff263bay cao Vi­n T§p Quy¬n	Xiulian1_8	Bay cao Vi­n T§p Quy¬n, rèn luy®n tu t§p Giä Ðích bµ pháp, ÐÕp Không mà ði, theo gió giß½ng cánh, tu luy®n H§u Khä vînh cØu tång lên tu luy®n giä Ðích#GtRø cµt Thi¬m T¸#W.
