INT	FLOAT	FLOAT
INT	FLOAT	FLOAT
1	0.5	0.5
2	0.5	0.5
3	0.5	0.5
4	0.5	0.5
5	0.5	0.5
6	0.5	0.5
7	0.5	0.5
8	0.5	0.5
9	0.5	0.5
10	0.5	0.5
11	0.5	0.5
12	0.5	0.5
13	0.5	0.5
14	0.5	0.5
15	0.5	0.5
16	0.5	0.5
17	0.5	0.5
18	0.5	0.5
19	0.5	0.5
20	0.5	0.5
21	0.5	0.5
22	0.5	0.5
23	0.5	0.5
24	0.5	0.5
25	0.5	0.5
26	0.5	0.5
27	0.5	0.5
28	0.5	0.5
29	0.5	0.5
30	0.5	0.5
31	0.5	0.5
32	0.5	0.5
33	0.5	0.5
34	0.5	0.5
35	0.5	0.5
36	0.5	0.5
37	0.5	0.5
38	0.5	0.5
39	0.5	0.5
40	0.5	0.5
41	0.5	0.5
42	0.5	0.5
43	0.5	0.5
44	0.5	0.5
45	0.5	0.5
46	0.5	0.5
47	0.5	0.5
48	0.5	0.5
49	0.5	0.5
50	0.5	0.5
51	0.51	0.5
52	0.52	0.5
53	0.53	0.5
54	0.54	0.5
55	0.55	0.5
56	0.56	0.5
57	0.57	0.5
58	0.58	0.5
59	0.59	0.5
60	0.6	0.5
61	0.61	0.51
62	0.62	0.52
63	0.63	0.53
64	0.64	0.54
65	0.65	0.55
66	0.66	0.56
67	0.67	0.57
68	0.68	0.58
69	0.69	0.59
70	0.7	0.6
71	0.71	0.61
72	0.72	0.62
73	0.73	0.63
74	0.74	0.64
75	0.75	0.65
76	0.76	0.66
77	0.77	0.67
78	0.78	0.68
79	0.79	0.69
80	0.8	0.7
81	0.81	0.71
82	0.82	0.72
83	0.83	0.73
84	0.84	0.74
85	0.85	0.75
86	0.86	0.76
87	0.87	0.77
88	0.88	0.78
89	0.89	0.79
90	0.9	0.8
91	0.91	0.81
92	0.92	0.82
93	0.93	0.83
94	0.94	0.84
95	0.95	0.85
96	0.96	0.86
97	0.97	0.87
98	0.98	0.88
99	0.99	0.89
100	1	0.9
101	1.01	0.91
102	1.02	0.92
103	1.03	0.93
104	1.04	0.94
105	1.05	0.95
106	1.06	0.96
107	1.07	0.97
108	1.08	0.98
109	1.09	0.99
110	1.1	1
111	1.11	1.01
112	1.12	1.02
113	1.13	1.03
114	1.14	1.04
115	1.15	1.05
116	1.16	1.06
117	1.17	1.07
118	1.18	1.08
119	1.19	1.09
120	1.2	1.1
121	1.21	1.11
122	1.22	1.12
123	1.23	1.13
124	1.24	1.14
125	1.25	1.15
126	1.26	1.16
127	1.27	1.17
128	1.28	1.18
129	1.29	1.19
130	1.3	1.2
131	1.31	1.21
132	1.32	1.22
133	1.33	1.23
134	1.34	1.24
135	1.35	1.25
136	1.36	1.26
137	1.37	1.27
138	1.38	1.28
139	1.39	1.29
140	1.4	1.3
141	1.41	1.31
142	1.42	1.32
143	1.43	1.33
144	1.44	1.34
145	1.45	1.35
146	1.46	1.36
147	1.47	1.37
148	1.48	1.38
149	1.49	1.39
150	1.5	1.4
