INT	INT	STRING	INT
INT	INT	STRING	INT
1	30900218	Sinh Tân	1
2	30900219	DßÞng th¥n	1
3	30900220	Ngñ Kháng	1
4	30900221	H¤p thu	1
5	30900223	Vô änh	1
6	30900224	Thông MÕch	1
7	30900225	Phøc Ki®n	1
8	30900226	Trøc Quang	1
9	30900227	Phá C¤m	1
10	30900228	An th¥n	1
11	30900229	Bång Ti­n	1
12	30900230	Tàn ðµc	1
13	30900231	Ph¥n Nµi	1
14	30900232	Th×a c½	1
15	30900233	Quyªt tâm	1
16	30900234	Mãnh Kích	1
17	30900235	Ngóng nhìn	1
18	30900236	Phá Phçu	1
19	30900237	Tr¥m Châu	1
20	30900238	Xuyên tim	1
21	30900239	Ai Bång	1
22	30900240	Kh¤p Hoä	1
23	30900241	Bi Huy«n	1
24	30900242	Thê Ðµc	1
25	30900243	T¤n Änh	1
26	30900244	Ði nhanh	1
27	30900246	Vø Vi­n	1
28	30900248	Bª TÑc	1
29	30900249	Chªt cÑng	1
30	30900250	Dao DÕ	1
31	30900251	Vînh C¯	1
32	30900252	Tän Khí	1
