INT	INT	INT	STRING	INT	INT	INT	INT	INT
INT	INT	INT	STRING	INT	INT	INT	INT	INT
1	1	30007010	Ti¬u H°i Ðan	1	0	1	51000	10
2	1	30007011	DßÞng khí Tän	1	0	1	51000	10
3	1	30007012	Ki®n Hành Tän	1	0	1	51000	10
4	1	30007013	Thôi Hàn Ðan	1	0	1	57000	10
5	1	30007014	Luy®n Di®m Ðan	1	0	1	57000	10
6	1	30007015	Huy«n Minh Tän	1	0	1	57000	10
7	1	30007016	Ðµc Sß½ng Hoàn	1	0	1	57000	10
8	1	30007017	Minh Møc Ðan	1	0	1	63000	10
9	1	30007018	D§t Thân Tän	1	0	1	63000	10
10	1	30007019	ÐÕi H°i Ðan	1	0	1	100000	10
11	1	30007020	Ki®n TÑc Ðan	1	0	1	100000	10
12	1	30007021	Th§p toàn th¥n dßþc	1	0	1	100000	10
13	1	30007022	Thông minh s¡c xäo Tän	1	0	1	113000	10
14	1	30007023	ÐoÕn tän mác	1	0	1	113000	10
15	1	30007024	Thßþng ph¦m Thôi Hàn Ðan	1	0	1	126000	10
16	1	30007025	Thßþng ph¦m Luy®n Di®m Ðan	1	0	1	126000	10
17	1	30007026	Thßþng ph¦m Huy«n Minh Tän	1	0	1	126000	10
18	1	30007027	Thßþng ph¦m Ðµc Sß½ng Hoàn	1	0	1	126000	10
19	1	30007028	Hoàn Xuân Ðan	1	0	1	244000	10
20	1	30007029	Quy nguyên Tän	1	0	1	244000	10
21	1	30007031	Ngßng Th¥n Hoàn	1	0	1	284000	10
22	1	30007032	Th¥n Hành Tän	1	0	1	284000	10
23	1	30007033	Quyªt tâm Ðan	1	0	1	284000	10
24	1	30007034	Phá NhÕc Tän	1	0	1	284000	10
25	1	30007046	Xuân v« Hoá Huyªt Tän	1	0	1	728000	10
26	1	30007047	Linh Tham HoÕt MÕch Hoàn	1	0	1	728000	10
27	1	30007035	Cñc ph¦m Thôi Hàn Ðan	1	0	1	728000	10
28	1	30007036	Cñc ph¦m Luy®n Di®m Ðan	1	0	1	728000	10
29	1	30007037	Cñc ph¦m Huy«n Minh Tän	1	0	1	728000	10
30	1	30007038	Cñc ph¦m Ðµc Sß½ng Hoàn	1	0	1	728000	10
31	2	30103089	Cây ¾t Sao Nhøc	1	0	1	135000	10
32	2	30103090	Du Muµn Du¦n	1	0	1	135000	10
33	2	30103091	Mµc Tu Nhøc	1	0	1	135000	10
34	2	30103092	Nhøc MÕt Gia TØ	1	0	1	150000	10
35	2	30103093	ThuÖ Tinh Hà Giäo	1	0	1	150000	10
36	2	30103094	Hß½ng C¥n Hoä Thoái	1	0	1	165000	10
37	2	30103095	Song Sao BÕch B¯i	1	0	1	165000	10
38	2	30103096	Xoa Thiêu Nhøc	1	0	1	290000	10
39	2	30103097	Hß½ng Cô cây cäi d¥u	1	0	1	290000	10
40	2	30103098	Tß½ng du Chßng Nhøc	1	0	1	290000	10
41	2	30103099	¿¾p lÕnh Løc Ð§u Cao	1	0	1	335000	10
42	2	30103100	Th¸t kho tàu Long Lý Ngß	1	0	1	335000	10
43	2	30103101	Liên TØ häi sän Canh	1	0	1	335000	10
44	2	30103102	Song Tiêu Thß½ng h® sþi	1	0	1	335000	10
45	2	30103103	Ng÷c ðái tôm bóc vö	1	0	1	380000	10
46	2	30103104	Ðß¶ng Th¯ sß¶n lþn rán	1	0	1	380000	10
47	2	30103105	Hß½ng Tiên Tuyªt Ngß	1	0	1	785000	10
48	2	30103106	Thanh Sao cäi b¡p	1	0	1	785000	10
49	2	30103107	HÕt dë Thiêu Kê	1	0	1	785000	10
50	2	30103108	Quª Hß½ng Nhû Lß½ng Cao	1	0	1	940000	10
51	2	30103109	H°ng Du Bµc Ð² Ti	1	0	1	940000	10
52	2	30103110	Ngû Bäo Trân Châu Canh	1	0	1	940000	10
53	2	30103111	Ngû Khu¦n Tùng Nhung Thang	1	0	1	940000	10
54	2	30103113	Quª Chi Nhân Tham Thang	1	0	1	1895000	10
55	2	30103114	Thanh La v¸t mu¯i Thang	1	0	1	1895000	10
56	2	30103115	Rong bi¬n Tiên B¯i Canh	1	0	1	1895000	10
57	2	30103116	T¯ Sao Hoàng Ti Khu¦n	1	0	1	1895000	10
58	3	38003072	Ti«n tài Tiêu	1	0	1	660000	10
59	3	38003073	Tinh höa ThÕch	1	0	1	720000	10
60	3	38003065	Th¥n Hành Giáp Mã	1	0	1	1390000	10
61	3	38003067	Vø †n Bäo HÕp	1	0	1	1600000	10
62	3	38003076	Thanh Long Linh KÏ	1	0	1	5500000	10
63	3	38003077	BÕch H± Linh KÏ	1	0	1	5500000	10
64	3	38003079	Chu Tß¾c Linh KÏ	1	0	1	8100000	10
65	3	38003080	Huy«n Vû Linh KÏ	1	0	1	8100000	10
