INT	INT	INT	STRING
INT	INT	INT	STRING
30001001	1	150	L§p tÑc khôi phøc sinh m®nh 450Ði¬m.
30001002	1	140	L§p tÑc khôi phøc sinh m®nh 964Ði¬m.
30001003	1	130	L§p tÑc khôi phøc sinh m®nh 1478Ði¬m.
30001004	1	120	L§p tÑc khôi phøc sinh m®nh 1992Ði¬m.
30001005	1	110	L§p tÑc khôi phøc sinh m®nh 2506Ði¬m.
30001006	1	100	L§p tÑc khôi phøc sinh m®nh 3020Ði¬m.
30001007	1	90	L§p tÑc khôi phøc sinh m®nh 3534Ði¬m.
30001008	1	80	L§p tÑc khôi phøc sinh m®nh 4048Ði¬m.
30001009	1	70	L§p tÑc khôi phøc sinh m®nh 4562Ði¬m.
30001010	1	60	L§p tÑc khôi phøc sinh m®nh 5076Ði¬m.
30001011	1	50	L§p tÑc khôi phøc sinh m®nh 2506Ði¬m.
30001012	1	40	L§p tÑc khôi phøc sinh m®nh 3020Ði¬m.
30001013	1	30	L§p tÑc khôi phøc sinh m®nh 3534Ði¬m.
30001014	1	20	L§p tÑc khôi phøc sinh m®nh 4048Ði¬m.
30001015	1	10	L§p tÑc khôi phøc sinh m®nh 4562Ði¬m.
30002001	2	150	L§p tÑc tr¸ li®u Khí 184Ði¬m.
30002002	2	140	L§p tÑc tr¸ li®u Khí 376Ði¬m.
30002003	2	130	L§p tÑc tr¸ li®u Khí 568Ði¬m.
30002004	2	120	L§p tÑc tr¸ li®u Khí 760Ði¬m.
30002005	2	110	L§p tÑc tr¸ li®u Khí 952Ði¬m.
30002006	2	100	L§p tÑc tr¸ li®u Khí 1144Ði¬m.
30002007	2	90	L§p tÑc tr¸ li®u Khí 1336Ði¬m.
30002008	2	80	L§p tÑc tr¸ li®u Khí 1528Ði¬m.
30002009	2	70	L§p tÑc tr¸ li®u Khí 1720Ði¬m.
30002010	2	60	L§p tÑc tr¸ li®u Khí 1912Ði¬m.
30002011	2	50	L§p tÑc tr¸ li®u Khí 952Ði¬m.
30002012	2	40	L§p tÑc tr¸ li®u Khí 1144Ði¬m.
30002013	2	30	L§p tÑc tr¸ li®u Khí 1336Ði¬m.
30002014	2	20	L§p tÑc tr¸ li®u Khí 1528Ði¬m.
30002015	2	10	L§p tÑc tr¸ li®u Khí 1720Ði¬m.
30601004	4	100	L§p tÑc tr¸ li®u Trân Thú#G10Ði¬m Khoái LÕc Ðµ#W.
30602004	3	40	L§p tÑc tr¸ li®u Trân Thú sinh m®nh#G55332Ði¬m#W.
30603004	3	30	L§p tÑc tr¸ li®u Trân Thú sinh m®nh#G55332Ði¬m#W.
30604004	3	20	L§p tÑc tr¸ li®u Trân Thú sinh m®nh#G55332Ði¬m#W.
30605004	3	10	L§p tÑc tr¸ li®u Trân Thú sinh m®nh#G55332Ði¬m#W.
30607000	3	70	L§p tÑc tr¸ li®u Trân Thú sinh m®nh#G5000Ði¬m#W.
30607001	3	50	L§p tÑc tr¸ li®u Trân Thú sinh m®nh#G10000Ði¬m#W.
30607002	3	60	L§p tÑc tr¸ li®u Trân Thú sinh m®nh#G5000Ði¬m#W.
30607004	3	90	L§p tÑc tr¸ li®u Trân Thú#G5000Ði¬m sinh m®nh Tr¸#WThß thêm vào tr¸ li®u Trân Thú#G5%#WÐích sinh m®nh Tr¸.
30607005	3	80	L§p tÑc tr¸ li®u Trân Thú#G10000Ði¬m sinh m®nh Tr¸#WThß thêm vào tr¸ li®u Trân Thú#G5%#WÐích sinh m®nh Tr¸.
31000000	1	190	L§p tÑc khôi phøc sinh m®nh 2500Ði¬m.
31000001	1	160	L§p tÑc khôi phøc sinh m®nh 5000Ði¬m.
31000002	2	180	L§p tÑc tr¸ li®u Khí 1000Ði¬m.
31000003	2	170	L§p tÑc tr¸ li®u Khí 2000Ði¬m.
31000006	1	170	L§p tÑc khôi phøc sinh m®nh 1500Ði¬m.
31000007	2	160	L§p tÑc tr¸ li®u Khí 1000Ði¬m.
