INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
0	281	3266	0	1	0	0	0	0	Phøc H± Quy«n
1	282	0	0	2	0	5	3	0	Kim Cang Phøc Ma Khuyên
2	283	0	0	1	0	0	0	0	ÐÕi Lñc Kim Cß½ng Chß·ng
3	291	0	0	1	0	0	0	0	Ma Kha Vô Lßþng
4	295	0	0	1	0	0	0	0	Nh¤t Phách LßÞng Tän
5	311	3269	1	1	0	0	0	0	Thôi Tâm Chß·ng
6	312	0	1	2	0	5	3	0	Huyªt Tr§n Bát Phß½ng
7	313	0	1	1	0	0	0	0	Viêm Long Vô Song
8	321	0	1	1	0	0	0	0	Thüy Yêm Th¤t Quân
9	325	0	1	1	0	0	0	0	Höa Thiêu Xích Bích
10	341	3267	2	1	0	0	0	0	Bàn Long Kích
11	342	0	2	2	0	5	3	0	Thiên Lý Hoành Hành
12	343	0	2	1	0	0	0	0	Xung Tr§n Träm Tß¾ng
13	347	0	2	1	0	0	0	0	Phi Long TÕi Thiên
14	351	0	2	1	0	0	0	0	Thanh Long Xu¤t Thüy
15	355	0	2	1	0	0	0	0	Ch¤n Kinh Bách Lý
16	361	0	2	2	0	5	3	0	Thiên HÕ Vô C¦u
17	364	0	2	1	0	0	0	0	B±ng Ðä C¦u Ð¥u
18	365	0	2	3	90	0	0	0	Hoành Täo Càn Khôn
19	371	0	3	1	0	0	0	0	Bát Quái Chß·ng
20	372	0	3	2	0	5	3	0	Chân ThÑc Th¤t Tiªt Tr§n
21	373	0	3	1	0	0	0	0	LßÞng Nghi Kiªm
22	374	0	3	2	5	5	3	0	Tam Hoàn Sáo Nguy®t
23	377	0	3	1	0	0	0	0	Thiên Mã Phi BÕo
24	381	0	3	1	0	0	0	0	Tiên Nhân Chï Lµ
25	385	0	3	1	0	0	0	0	Ng÷c Næ Xuyên Xoa
26	391	0	3	1	0	0	0	0	Thiên NgoÕi Phi Tiên
27	395	0	3	2	7	7	5	0	Th¤t Tinh Tø Thü
28	401	0	4	1	0	0	0	0	Ðiêu Thuy«n Bái Nguy®t
29	403	0	4	1	0	0	0	0	Tây TØ B±ng Tâm
30	404	0	4	1	0	0	0	0	Kim Ðïnh Miên Chß·ng
31	415	0	4	1	0	0	0	0	Chß¾ng Nhãn Pháp
32	421	0	4	1	0	0	0	0	CØu Dß½ng Th¥n Träo
33	406	0	4	5	3	3	7	0	Ph§t Quang Ph± Chiªu
34	407	0	4	5	1	0	0	0	Xung Hß DßÞng Khí
35	424	0	4	5	2	0	0	0	Thanh Tâm Ph± Thi®n Chú
36	431	0	5	1	0	0	0	0	Lam Sa Thü
37	432	0	5	2	0	5	3	0	Liên Châu Hü Thi Ðµc
38	433	0	5	1	0	0	0	0	Huy«n Minh Th¥n Chß·ng
39	437	0	5	1	0	0	0	0	Tiªu Lý Tàng Ðao
40	441	0	5	1	0	0	0	0	Thanh Xà Ðµc Chß·ng
41	445	0	5	1	0	0	0	0	Bång T¢m Ðµc Chß·ng
42	451	0	5	1	0	0	0	0	Hoá C¯t Miên Chß·ng
43	455	0	5	1	0	0	0	0	Nh¤t Nh§t Táng M®nh Tán
44	461	0	6	1	0	0	0	0	Chính Dß½ng Thü
45	462	0	6	2	0	5	3	0	Tam Dß½ng Khai Thái
46	463	0	6	1	0	0	0	0	Nh¤t Dß½ng Chï
47	471	0	6	1	0	0	0	0	Døc C¥m Ð¸ch Tung
48	475	0	6	1	0	0	0	0	Tuyªt œng Lam Quan
49	481	0	6	1	0	0	0	0	Thiªu TrÕch Kiªm
50	487	0	6	1	0	0	0	0	Thß½ng dß½ng kiªm
51	491	3268	7	1	0	0	0	0	NhÕn Nam Phi
52	492	0	7	2	0	5	3	0	¿ng Kích Trß¶ng Không
53	493	0	7	1	0	0	0	0	Phøng Vû CØu Thiên
54	498	0	7	3	108	0	0	0	Di Hoa Tiªp Mµc
55	501	0	7	1	0	0	0	0	Tuyªt Hoa Løc Xu¤t
56	505	0	7	1	0	0	0	0	Mai Hoa Tam Lµng
57	507	0	7	1	0	0	0	0	Hàn Mai N· Rµ
58	511	0	7	1	0	0	0	0	Ð°ng Sinh Cµng TØ
59	521	0	8	1	0	0	0	0	LÕc Anh Kiªm
60	523	0	8	1	0	0	0	0	Ðàn Chï Th¥n Công
61	533	0	8	1	0	0	0	0	Tiêu Tß½ng DÕ Vû
62	535	0	8	1	0	0	0	0	Khê S½n Hành Læ
63	541	0	8	1	0	0	0	0	Côn Dßþc B¡c Minh
64	544	0	8	2	0	15	3	0	Ð¸nh Häi Th¥n Châm
65	545	0	8	3	120	0	0	0	Bµ Bµ Sinh Hoa
66	696	0	-1	7	50	0	0	0	Huyªt Tª
67	697	0	-1	7	50	1	0	0	Cao C¤p Huyªt Tª
68	686	0	-1	6	50	0	0	0	Cµng Sinh
69	687	0	-1	6	50	1	0	0	Cao C¤p Cµng Sinh
70	760	0	10	1	0	0	0	0	Dß âm lßþn l¶
71	761	0	10	1	0	0	0	0	Hàn Giang Tuyªt
72	763	0	10	1	0	0	0	0	Jieshi Ði®u
73	769	0	10	1	0	0	0	0	Gió lÕnh Hæu Tín
74	771	0	10	1	0	0	0	0	Trß¶ng_Tß½ng_Tß
75	775	0	10	1	0	0	0	0	Nhß Mµng Linh
76	785	0	10	1	0	0	0	0	Huy«n Lµng Hoa Änh
