INT	INT	INT	STRING
INT	INT	INT	STRING
1	3	-1	Tung S½n
2	4	-1	Thái H°
3	5	-1	Kính K°
4	6	-1	Vô Lßþng S½n
5	7	-1	Kiªm Các
6	8	-1	Ðôn Hoàng
7	18	-1	NhÕn Nam
8	19	-1	NhÕn B¡c
9	20	-1	Thäo Nguyên
10	21	-1	Liêu Tây
11	22	-1	Trß¶ng BÕch S½n
12	23	-1	Hoàng Long Phü
13	24	-1	Nhî Häi
14	25	-1	Thß½ng S½n
15	26	-1	ThÕch Lâm
16	27	-1	Ng÷c Khê
17	28	-1	Nam Chiêu
18	29	-1	Miêu Cß½ng
19	30	-1	Tây H°
20	31	-1	Long Tuy«n
21	32	-1	Võ Di
22	33	-1	Mai Lînh
23	34	-1	Nam Vñc
24	35	-1	QuÏnh Châu
25	39	-1	Huy«n Vû Ðäo
26	73	-1	Vô Lßþng S½n 2
27	74	-1	Vô Lßþng S½n 3
28	75	-1	Kiªm Các 2
29	76	-1	Kiªm Các 3
30	121	-1	Tây H°
31	123	-1	Bäo Tàng Ðµng T¥ng 1
32	126	-1	Bäo Tàng Ðµng T¥ng 2
33	148	-1	Bäo Tàng Ðµng T¥ng 3
34	149	-1	Bäo Tàng Ðµng T¥ng 4
35	150	-1	Bäo Tàng Ðµng T¥ng 5
36	156	-1	ÐÕi Quân Thäo Li®u Trß¶ng
37	157	-1	Miêu Nhân Ðµng
38	158	-1	Thánh Thú S½n
39	159	-1	Yên Vß½ng C± MÕc T¥ng 1
40	160	-1	Yên Vß½ng C± MÕc T¥ng 2
41	161	-1	Yên Vß½ng C± MÕc T¥ng 3
42	162	-1	Yên Vß½ng C± MÕc T¥ng 4
43	163	-1	Yên Vß½ng C± MÕc T¥ng 5
44	164	-1	Yên Vß½ng C± MÕc T¥ng 6
45	165	-1	Yên Vß½ng C± MÕc T¥ng 7
46	166	-1	Yên Vß½ng C± MÕc T¥ng 8
47	167	-1	Yên Vß½ng C± MÕc T¥ng 9
48	168	-1	S½n Ðµng Thuy«n ‘
49	169	-1	Kiªm Chüng
50	170	-1	Ma Nhai Ðµng
51	171	-1	Dã Nhân Câu
52	172	-1	Ôn Tuy«n Ðµng
53	173	-1	Hoàng Long Ðµng
54	174	-1	ThuÖ Tinh H°
55	175	-1	Tiên Vß½ng Ph¥n
56	176	-1	Thiên Khanh Thø Ðµng
57	177	-1	Ðào Hoa Nguyên
58	178	-1	Häi T£c Ðµng
59	179	-1	Tuyªt Lang H°
60	188	-1	Ngân Ngai Tuyªt Nguyên
61	201	-1	Tát Mã Nhî Hãn
62	202	-1	Thánh Hoä Cung
63	203	-1	T¥n Hoàng Ð¸a Cung TÑ T¢ng
