INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	-1	1	10	0	1	20600000	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	-1	2	20	0	1	20600005	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600006	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	-1	3	30	0	1	20600000	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	-1	4	40	0	1	20600005	2	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600045	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	-1	5	50	1	0	38002806	1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002806	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002806	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	6	60	0	1	20600000	2	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600001	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	7	70	0	1	20600006	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600046	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	-1	8	80	0	1	20600001	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	-1	9	90	0	1	20600006	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600045	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600046	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	-1	10	100	0	1	20600001	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	-1	11	110	0	1	20600006	1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	-1	12	120	0	1	20600001	1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002817	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
