INT	INT	INT	INT
INT	INT	INT	INT
1	20230206	20230213	20230219
2	20230220	20230227	20230312
3	20230313	20230327	20230402
4	20230403	20230410	20230416
5	20230417	20230424	20230430
6	20230501	20230508	20230514
7	20230515	20230522	20230528
8	20230529	20230605	20230611
9	20230612	20230619	20230625
10	20230626	20230703	20230709
11	20230710	20230717	20230723
12	20230724	20230731	20230806
13	20230807	20230814	20230820
14	20230821	20230828	20230903
15	20230904	20230911	20230917
16	20230918	20230925	20231001
17	20231002	20231009	20231015
18	20231016	20231023	20231029
19	20231030	20231106	20231112
20	20231113	20231120	20231126
21	20231127	20231204	20231210
22	20231211	20231218	20231224
23	20231225	20240101	20240107
24	20240108	20240115	20240121
25	20240122	20240129	20240204
26	20240219	20240304	20240310
27	20240311	20240318	20240324
28	20240325	20240401	20240407
29	20240408	20240415	20240421
30	20240422	20240429	20240505
31	20240506	20240513	20240519
32	20240520	20240527	20240602
33	20240603	20240610	20240616
34	20240617	20240624	20240630
35	20240701	20240708	20240714
36	20240715	20240722	20240728
37	20240729	20240805	20240811
38	20240812	20240819	20240825
39	20240826	20240902	20240908
40	20240909	20240916	20240922
41	20240923	20240930	20241006
42	20241007	20241014	20241020
43	20241021	20241028	20241103
44	20241104	20241111	20241117
45	20241118	20241125	20241201
46	20241202	20241209	20241215
47	20241216	20241223	20241229
48	20241230	20250106	20250112
49	20250113	20250120	20250126
50	20250127	20250203	20250209
51	20250210	20250217	20250223
52	20250224	20250303	20250309
53	20250310	20250317	20250323
54	20250324	20250331	20250406
55	20250407	20250414	20250420
56	20250421	20250428	20250504
57	20250505	20250512	20250518
58	20250519	20250526	20250601
59	20250602	20250609	20250615
60	20250616	20250623	20250629
61	20250630	20250707	20250713
62	20250714	20250721	20250727
63	20250728	20250804	20250810
64	20250811	20250818	20250824
65	20250825	20250901	20250907
66	20250908	20250915	20250921
67	20250922	20250929	20251005
68	20251006	20251013	20251019
69	20251020	20251027	20251102
70	20251103	20251110	20251116
71	20251117	20251124	20251130
72	20251201	20251208	20251214
73	20251215	20251222	20251228
74	20251229	20260105	20260111
