INT	INT	INT
INT	INT	INT
1	30310010	31349
2	30309987	30939
3	30309531	30039
4	30309822	23319
5	30309833	23179
6	30309733	22059
7	30309734	22129
8	30309725	8879
9	30309065	22649
10	30309058	22579
11	30309747	22279
12	30309754	22349
13	30309683	8339
14	30309612	7839
15	30309605	7699
16	30309703	8539
17	30309731	8939
18	30310019	24821
19	30310063	27561
20	30310075	27639
21	30310038	24979
22	30310086	27721
23	30310085	27709
24	30310113	27901
25	30310112	27889
26	30310116	27819
27	30310137	30261
28	30310140	30249
29	30310148	6799
30	38003421	6869
31	30310156	27998
32	30310157	28011
33	38003496	25919
34	30310167	25988
35	30310168	25991
