INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	10124359	M£c Nhi­m Lan Hß½ng 15Thiên	1	0	1	1000	-1	-1	1	1	0
2	10142214	T÷a kÜ: Ti¬u H± Ngao Ô 7Thiên	1	0	1	2500	-1	-1	1	3	0
3	20307224	Trß¶ng Vû ki¬u tóc Ð°	1	1	1	600	-1	-1	1	4	0
4	30008210	Ð¸nh Nhan Châu: Huy«n Tß	1	0	1	1000	-1	-1	1	5	0
5	10125129	Các\u0020hÕ Khanh Vû 15Thiên	1	0	1	1500	-1	-1	1	7	0
6	38002846	Danh hi®u: S½n Häi Cµng Giám ð°ng tâm Duyên	1	0	1	12000	-1	-1	1	8	0
7	38002618	Hoan Võ: Khinh Nhung Änh	1	0	1	16000	-1	-1	1	9	0
8	10142298	T÷a kÜ: Dß½ng Ðà 7Thiên	1	0	1	2000	-1	-1	1	2	0
9	10125058	Thiên Hoa Phùng Vû	1	0	1	1300	-1	-1	1	6	0
