INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
1	1	20600002	Cao c¤p Trß¶ng Xuân Ng÷c	1	1	1	10000	30	1	1
2	1	20600003	Siêu c¤p Trß¶ng Xuân Ng÷c	1	1	1	20000	20	1	2
3	1	38002799	Minh Kính Chú Ð° L­ HÕp	1	0	1	1500	25	1	3
4	1	38002800	Song Si Chú Ð° L­ HÕp	1	0	1	1500	25	1	4
5	1	38002812	B¤t Lão ThÕch Phù	1	0	1	400	1	1	5
6	1	38002817	Ð¸a Giai Giäi Bäng Linh	1	0	1	6000	10	1	6
7	1	38002818	Thiên Giai Giäi Bäng Linh	1	0	1	52000	10	1	7
8	2	20600002	Cao c¤p Trß¶ng Xuân Ng÷c	1	1	1	10000	30	1	1
9	2	20600003	Siêu c¤p Trß¶ng Xuân Ng÷c	1	1	1	20000	20	1	2
10	2	38002801	Toä Giáp Chú Ð° L­ HÕp	1	0	1	1500	25	1	3
11	2	38002802	Ng÷c Câu Chú Ð° L­ HÕp	1	0	1	1500	25	1	4
12	2	38002812	B¤t Lão ThÕch Phù	1	0	1	400	1	1	5
13	2	38002817	Ð¸a Giai Giäi Bäng Linh	1	0	1	6000	10	1	6
14	2	38002818	Thiên Giai Giäi Bäng Linh	1	0	1	52000	10	1	7
15	3	20600002	Cao c¤p Trß¶ng Xuân Ng÷c	1	1	1	10000	30	1	1
16	3	20600003	Siêu c¤p Trß¶ng Xuân Ng÷c	1	1	1	20000	20	1	2
17	3	38002803	C¦m Ðái Chú Ð° L­ HÕp	1	0	1	1500	25	1	3
18	3	38002804	Ðoän ChuÖ Chú Ð° L­ HÕp	1	0	1	1500	25	1	4
19	3	38002812	B¤t Lão ThÕch Phù	1	0	1	400	1	1	5
20	3	38002817	Ð¸a Giai Giäi Bäng Linh	1	0	1	6000	10	1	6
21	3	38002818	Thiên Giai Giäi Bäng Linh	1	0	1	52000	10	1	7
