INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	60	10141915	39920094	1	1	10141916	39920095	1	1	38002228	2	1	38002228	1	1	39920091	200	100	200	60	200	100	200	60
2	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	180	100	180	60	180	100	180	60
3	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	160	100	160	60	160	100	160	60
4	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60
5	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60
6	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60
7	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60
8	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60
9	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60
10	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60
11	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
12	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
13	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
14	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
15	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
16	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
17	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
18	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
19	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
20	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60
21	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
22	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
23	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
24	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
25	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
26	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
27	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
28	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
29	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
30	60	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60
