INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	1	0	30700233	武魂延寿丹	1	0	1	1	70	0	1	0	0	0	5
2	1	0	38002625	财富通宝	1	0	1	1	7	0	10	0	0	0	4
3	1	0	20310168	金蚕丝	1	1	1	1	18	0	50	0	0	0	3
4	2	0	38002625	财富通宝	1	0	1	2	7	0	10	0	0	0	6
5	2	0	30503140	虹耀石	1	0	1	2	90	0	2	0	0	0	5
6	2	0	30700233	武魂延寿丹	1	0	1	2	70	0	1	0	0	0	4
7	2	0	20310168	金蚕丝	1	1	1	2	18	0	30	0	0	0	3
8	1	1	30700233	武魂延寿丹	1	0	1	1	70	0	1	0	0	0	3
9	1	1	38002625	财富通宝	1	0	1	1	7	0	10	0	0	0	2
10	1	1	30900006	天罡强化精华	1	0	1	1	20	0	50	0	0	0	1
11	2	1	38002625	财富通宝	1	0	1	2	7	0	10	0	0	0	4
12	2	1	30503140	虹耀石	1	0	1	2	90	0	2	0	0	0	3
13	2	1	30700233	武魂延寿丹	1	0	1	2	70	0	1	0	0	0	2
14	2	1	30900006	天罡强化精华	1	0	1	2	20	0	30	0	0	0	1
15	1	2	30700233	武魂延寿丹	1	0	1	1	70	0	1	0	0	0	4
16	1	2	38002625	财富通宝	1	0	1	1	7	0	10	0	0	0	3
17	1	2	20600003	超级长春玉	1	1	1	1	1000	0	1	0	0	0	2
18	1	2	20600046	天阶漱玉泉	1	1	1	1	700	0	1	0	0	0	1
19	2	2	38002625	财富通宝	1	0	1	2	7	0	10	0	0	0	5
20	2	2	30503140	虹耀石	1	0	1	2	90	0	2	0	0	0	4
21	2	2	30700233	武魂延寿丹	1	0	1	2	70	0	1	0	0	0	3
22	2	2	20600002	高级长春玉	1	1	1	2	270	0	2	0	0	0	2
23	2	2	20600045	地阶漱玉泉	1	1	1	2	200	0	2	0	0	0	1
24	1	3	38002625	财富通宝	1	0	1	1	7	0	10	0	0	0	6
25	1	3	38002533	淬魂液	1	0	1	1	25	0	10	0	0	0	5
26	1	3	38002532	淬魂髓	1	0	1	1	70	0	5	0	0	0	4
27	1	3	30700233	武魂延寿丹	1	0	1	1	70	0	1	0	0	0	3
28	1	3	38002676	荒兽魂玉礼盒	1	0	1	1	200	0	8	0	0	0	2
29	1	3	38002675	神兽魂玉礼盒	1	0	1	1	800	0	4	0	0	0	1
30	2	3	38002625	财富通宝	1	0	1	2	7	0	10	0	0	0	6
31	2	3	30700233	武魂延寿丹	1	0	1	2	70	0	1	0	0	0	5
32	2	3	30503140	虹耀石	1	0	1	2	90	0	2	0	0	0	4
33	2	3	38002527	灵蝉魂玉	1	0	1	2	40	0	5	0	0	0	3
34	2	3	38002522	霜鹤魂玉	1	0	1	2	150	0	8	0	0	0	2
35	2	3	38002519	九尾魂玉	1	0	1	2	500	0	4	0	0	0	1
36	1	0	20310174	灵蚕丝	1	1	1	1	50	0	5	0	0	0	2
37	1	0	38003161	秀草纹艺匣	1	0	1	1	600	0	2	0	0	0	1
38	2	0	20310174	灵蚕丝	1	1	1	2	50	0	5	0	0	0	2
39	2	0	38003161	秀草纹艺匣	1	0	1	2	600	0	2	0	0	0	1
