INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	38003680	Toái Tinh Viên	1	0	1	358000	1	0	0	0	1	1
2	38003679	Miên Vân NgoÕ Nguy®t	1	0	1	358000	1	0	0	0	1	2
3	38003683	Bách Tßþng Hµi Quy¬n·Hàm Nguy®t	1	1	1	558000	1	0	0	0	1	3
4	38003670	Kiªm Ý N°ng	1	1	1	358000	1	0	0	0	1	4
5	38003327	Kinh Phong Du	1	1	1	358000	1	0	0	0	1	5
6	38003583	Kim Vû cái hµp kiªm	1	1	1	458000	1	0	0	0	1	6
7	38003584	Ngân Sß½ng cái hµp kiªm	1	1	1	458000	1	0	0	0	1	7
8	38003425	Xích DÕ Hoàng Änh	1	1	1	358000	1	0	0	0	1	8
9	38003565	Long Hñu CØu Châu	1	1	1	358000	1	0	0	0	1	9
10	38003587	TrÕm Kim Thß½ng	1	1	1	358000	1	0	0	0	1	10
11	38003216	TØ Thanh bäo kiªm	1	1	1	358000	1	0	0	0	1	10
12	38003663	Tr× tà	1	1	1	358000	1	0	0	0	1	10
